First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110133"",""R-HSA-110133"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73788"",""R-HSA-73788"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110137"",""R-HSA-110137"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110138"",""R-HSA-110138"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110138"",""R-HSA-110138"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110137"",""R-HSA-110137"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110141"",""R-HSA-110141"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74220"",""R-HSA-74220"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111285"",""R-HSA-111285"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111289"",""R-HSA-111289"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111289"",""R-HSA-111289"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111285"",""R-HSA-111285"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111289"",""R-HSA-111289"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73815"",""R-HSA-73815"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111742"",""R-HSA-111742"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111746"",""R-HSA-111746"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111751"",""R-HSA-111751"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73646"",""R-HSA-73646"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111804"",""R-HSA-111804"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73646"",""R-HSA-73646"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111925"",""R-HSA-111925"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-265682"",""R-HSA-265682"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111925"",""R-HSA-111925"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381713"",""R-HSA-381713"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111925"",""R-HSA-111925"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381644"",""R-HSA-381644"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111925"",""R-HSA-111925"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163418"",""R-HSA-163418"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112033"",""R-HSA-112033"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74242"",""R-HSA-74242"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112034"",""R-HSA-112034"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74249"",""R-HSA-74249"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112265"",""R-HSA-112265"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112266"",""R-HSA-112266"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112266"",""R-HSA-112266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112265"",""R-HSA-112265"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362408"",""R-HSA-1362408"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395512"",""R-HSA-2395512"")","Lill, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474158"",""R-HSA-1474158"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474146"",""R-HSA-1474146"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1497784"",""R-HSA-1497784"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1497796"",""R-HSA-1497796"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1497853"",""R-HSA-1497853"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1497869"",""R-HSA-1497869"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163214"",""R-HSA-163214"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164651"",""R-HSA-164651"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163489"",""R-HSA-163489"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163416"",""R-HSA-163416"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163549"",""R-HSA-163549"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163402"",""R-HSA-163402"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163568"",""R-HSA-163568"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163418"",""R-HSA-163418"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163670"",""R-HSA-163670"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163688"",""R-HSA-163688"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163670"",""R-HSA-163670"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164423"",""R-HSA-164423"")","Gopinathrao, G"
