First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""R-HSA-113504"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68914"",""R-HSA-68914"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""R-HSA-113504"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68950"",""R-HSA-68950"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""R-HSA-113504"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668597"",""R-HSA-9668597"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363274"",""R-HSA-1363274"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363314"",""R-HSA-1363314"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363276"",""R-HSA-1363276"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363306"",""R-HSA-1363306"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363331"",""R-HSA-1363331"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187552"",""R-HSA-187552"")","Pagano, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363331"",""R-HSA-1363331"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363328"",""R-HSA-1363328"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141423"",""R-HSA-141423"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174104"",""R-HSA-174104"")","Lorca, T"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141439"",""R-HSA-141439"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141431"",""R-HSA-141431"")","Yen, TJ"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156678"",""R-HSA-156678"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170149"",""R-HSA-170149"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163120"",""R-HSA-163120"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163096"",""R-HSA-163096"")","Seidel, J"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1638821"",""R-HSA-1638821"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2467809"",""R-HSA-2467809"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170070"",""R-HSA-170070"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170153"",""R-HSA-170153"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170153"",""R-HSA-170153"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5244669"",""R-HSA-5244669"")","Orlic-Milacic, M"
