First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791173"",""R-HSA-1791173"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9653893"",""R-HSA-9653893"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187934"",""R-HSA-187934"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3788708"",""R-HSA-3788708"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187934"",""R-HSA-187934"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3788705"",""R-HSA-3788705"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209109"",""R-HSA-3209109"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209111"",""R-HSA-3209111"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209165"",""R-HSA-3209165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8979082"",""R-HSA-8979082"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3222593"",""R-HSA-3222593"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3240295"",""R-HSA-3240295"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3225851"",""R-HSA-3225851"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73646"",""R-HSA-73646"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3225867"",""R-HSA-3225867"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3225851"",""R-HSA-3225851"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229089"",""R-HSA-3229089"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3223200"",""R-HSA-3223200"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229102"",""R-HSA-3229102"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3222593"",""R-HSA-3222593"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229102"",""R-HSA-3229102"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229089"",""R-HSA-3229089"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229138"",""R-HSA-3229138"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209111"",""R-HSA-3209111"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3240295"",""R-HSA-3240295"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229089"",""R-HSA-3229089"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3341343"",""R-HSA-3341343"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73646"",""R-HSA-73646"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371467"",""R-HSA-3371467"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371537"",""R-HSA-3371537"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371467"",""R-HSA-3371467"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371518"",""R-HSA-3371518"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371467"",""R-HSA-3371467"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371554"",""R-HSA-3371554"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371503"",""R-HSA-3371503"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371422"",""R-HSA-3371422"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371527"",""R-HSA-3371527"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5324617"",""R-HSA-5324617"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371527"",""R-HSA-3371527"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371582"",""R-HSA-3371582"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371527"",""R-HSA-3371527"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082405"",""R-HSA-5082405"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371527"",""R-HSA-3371527"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5082387"",""R-HSA-5082387"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371527"",""R-HSA-3371527"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5333051"",""R-HSA-5333051"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371554"",""R-HSA-3371554"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371518"",""R-HSA-3371518"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371567"",""R-HSA-3371567"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371518"",""R-HSA-3371518"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371531"",""R-HSA-3371531"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371435"",""R-HSA-3371435"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4793911"",""R-HSA-4793911"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371503"",""R-HSA-3371503"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618098"",""R-HSA-5618098"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""R-HSA-3371586"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618110"",""R-HSA-5618110"")","Shamovsky, V"
