First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109955"",""R-HSA-109955"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782141"",""R-HSA-6782141"")","Hoeijmakers, JH"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109955"",""R-HSA-109955"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785732"",""R-HSA-6785732"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109955"",""R-HSA-109955"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5686657"",""R-HSA-5686657"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110311"",""R-HSA-110311"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5655835"",""R-HSA-5655835"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110311"",""R-HSA-110311"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5652151"",""R-HSA-5652151"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110311"",""R-HSA-110311"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5656105"",""R-HSA-5656105"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110322"",""R-HSA-110322"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5655835"",""R-HSA-5655835"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110322"",""R-HSA-110322"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5656105"",""R-HSA-5656105"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110349"",""R-HSA-110349"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110157"",""R-HSA-110157"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110349"",""R-HSA-110349"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110156"",""R-HSA-110156"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""R-HSA-110350"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110210"",""R-HSA-110210"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""R-HSA-110350"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110159"",""R-HSA-110159"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""R-HSA-110350"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110158"",""R-HSA-110158"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110351"",""R-HSA-110351"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110164"",""R-HSA-110164"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110208"",""R-HSA-110208"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110211"",""R-HSA-110211"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110213"",""R-HSA-110213"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110212"",""R-HSA-110212"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110353"",""R-HSA-110353"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110171"",""R-HSA-110171"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110353"",""R-HSA-110353"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110172"",""R-HSA-110172"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110354"",""R-HSA-110354"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110235"",""R-HSA-110235"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110354"",""R-HSA-110354"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110236"",""R-HSA-110236"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110355"",""R-HSA-110355"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110237"",""R-HSA-110237"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110356"",""R-HSA-110356"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110240"",""R-HSA-110240"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110356"",""R-HSA-110356"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110239"",""R-HSA-110239"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110356"",""R-HSA-110356"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110238"",""R-HSA-110238"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110363"",""R-HSA-110363"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687484"",""R-HSA-5687484"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110363"",""R-HSA-110363"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110363"",""R-HSA-110363"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110364"",""R-HSA-110364"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110364"",""R-HSA-110364"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649708"",""R-HSA-5649708"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110364"",""R-HSA-110364"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649854"",""R-HSA-5649854"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110364"",""R-HSA-110364"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110360"",""R-HSA-110360"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110353"",""R-HSA-110353"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110355"",""R-HSA-110355"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110354"",""R-HSA-110354"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110356"",""R-HSA-110356"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110349"",""R-HSA-110349"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110351"",""R-HSA-110351"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110375"",""R-HSA-110375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""R-HSA-110350"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110380"",""R-HSA-110380"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649708"",""R-HSA-5649708"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110380"",""R-HSA-110380"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649854"",""R-HSA-5649854"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110380"",""R-HSA-110380"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110360"",""R-HSA-110360"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110380"",""R-HSA-110380"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3785704"",""R-HSA-3785704"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110380"",""R-HSA-110380"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687673"",""R-HSA-5687673"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110380"",""R-HSA-110380"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649726"",""R-HSA-5649726"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110380"",""R-HSA-110380"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110376"",""R-HSA-110376"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112118"",""R-HSA-112118"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657665"",""R-HSA-5657665"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112118"",""R-HSA-112118"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657649"",""R-HSA-5657649"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112118"",""R-HSA-112118"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657641"",""R-HSA-5657641"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112118"",""R-HSA-112118"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3785704"",""R-HSA-3785704"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112120"",""R-HSA-112120"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657665"",""R-HSA-5657665"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112120"",""R-HSA-112120"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657649"",""R-HSA-5657649"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112120"",""R-HSA-112120"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657641"",""R-HSA-5657641"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112120"",""R-HSA-112120"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3785704"",""R-HSA-3785704"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112121"",""R-HSA-112121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657665"",""R-HSA-5657665"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112121"",""R-HSA-112121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657649"",""R-HSA-5657649"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112121"",""R-HSA-112121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657641"",""R-HSA-5657641"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112121"",""R-HSA-112121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3785704"",""R-HSA-3785704"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112123"",""R-HSA-112123"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3785704"",""R-HSA-3785704"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112123"",""R-HSA-112123"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657637"",""R-HSA-5657637"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112123"",""R-HSA-112123"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657617"",""R-HSA-5657617"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112123"",""R-HSA-112123"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657642"",""R-HSA-5657642"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112124"",""R-HSA-112124"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3785704"",""R-HSA-3785704"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112124"",""R-HSA-112124"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657637"",""R-HSA-5657637"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112124"",""R-HSA-112124"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657617"",""R-HSA-5657617"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112124"",""R-HSA-112124"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657642"",""R-HSA-5657642"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112125"",""R-HSA-112125"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3785704"",""R-HSA-3785704"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112125"",""R-HSA-112125"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657637"",""R-HSA-5657637"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112125"",""R-HSA-112125"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657617"",""R-HSA-5657617"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112125"",""R-HSA-112125"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5657642"",""R-HSA-5657642"")","Pegg, AE"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358579"",""R-HSA-5358579"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6782138"",""R-HSA-6782138"")","Hoeijmakers, JH"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358579"",""R-HSA-5358579"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5689317"",""R-HSA-5689317"")","Hoeijmakers, JH"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358579"",""R-HSA-5358579"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6788385"",""R-HSA-6788385"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358579"",""R-HSA-5358579"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5693542"",""R-HSA-5693542"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358579"",""R-HSA-5358579"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358599"",""R-HSA-5358599"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358579"",""R-HSA-5358579"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358619"",""R-HSA-5358619"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5444523"",""R-HSA-5444523"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358519"",""R-HSA-5358519"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649701"",""R-HSA-5649701"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110235"",""R-HSA-110235"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649701"",""R-HSA-5649701"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110236"",""R-HSA-110236"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649724"",""R-HSA-5649724"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649701"",""R-HSA-5649701"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649724"",""R-HSA-5649724"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649708"",""R-HSA-5649708"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649724"",""R-HSA-5649724"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649854"",""R-HSA-5649854"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649724"",""R-HSA-5649724"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110360"",""R-HSA-110360"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649724"",""R-HSA-5649724"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649726"",""R-HSA-5649726"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649724"",""R-HSA-5649724"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3785704"",""R-HSA-3785704"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649724"",""R-HSA-5649724"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687673"",""R-HSA-5687673"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649724"",""R-HSA-5649724"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110376"",""R-HSA-110376"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110353"",""R-HSA-110353"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110352"",""R-HSA-110352"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110355"",""R-HSA-110355"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110354"",""R-HSA-110354"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110356"",""R-HSA-110356"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110349"",""R-HSA-110349"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110351"",""R-HSA-110351"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110350"",""R-HSA-110350"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651782"",""R-HSA-5651782"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5687484"",""R-HSA-5687484"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651782"",""R-HSA-5651782"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649873"",""R-HSA-5649873"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651782"",""R-HSA-5651782"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110364"",""R-HSA-110364"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651792"",""R-HSA-5651792"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651773"",""R-HSA-5651773"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651792"",""R-HSA-5651792"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110371"",""R-HSA-110371"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651792"",""R-HSA-5651792"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5358592"",""R-HSA-5358592"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651792"",""R-HSA-5651792"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649708"",""R-HSA-5649708"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651792"",""R-HSA-5651792"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649854"",""R-HSA-5649854"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651792"",""R-HSA-5651792"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-110360"",""R-HSA-110360"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5651792"",""R-HSA-5651792"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3785704"",""R-HSA-3785704"")","Orlic-Milacic, M"
