First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1176059"",""R-HSA-1176059"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6791035"",""R-HSA-6791035"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222412"",""R-HSA-1222412"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222690"",""R-HSA-1222690"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""R-HSA-1222417"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222346"",""R-HSA-1222346"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""R-HSA-1222417"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222526"",""R-HSA-1222526"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""R-HSA-1222417"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222431"",""R-HSA-1222431"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222485"",""R-HSA-1222485"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222363"",""R-HSA-1222363"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222485"",""R-HSA-1222485"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""R-HSA-1222417"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222644"",""R-HSA-1222644"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222755"",""R-HSA-1222755"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""R-HSA-1222655"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222346"",""R-HSA-1222346"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""R-HSA-1222655"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222526"",""R-HSA-1222526"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""R-HSA-1222655"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222431"",""R-HSA-1222431"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222690"",""R-HSA-1222690"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""R-HSA-1222655"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1225949"",""R-HSA-1225949"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1225956"",""R-HSA-1225956"")","Orlic-Milacic, M"
