First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-113504,R-HSA-68914,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""Detection of damage during initiation of DNA synthesis in S-phase"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68914"",""DNA polymerase alpha:primase binds at the origin"")",
R-HSA-113504,R-HSA-68950,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""Detection of damage during initiation of DNA synthesis in S-phase"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68950"",""The polymerase component of DNA polymerase alpha:primase synthesizes a 20-nucleotide primer at the origin"")",
R-HSA-113504,R-HSA-9668597,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113504"",""Detection of damage during initiation of DNA synthesis in S-phase"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668597"",""DNA polymerase:primase binds G-strand of the telomere"")","Orlic-Milacic, M"
R-HSA-1363274,R-HSA-1363314,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363274"",""Dephosphorylation of p107 (RBL1) by PP2A"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363314"",""p107 (RBL1) binds CyclinE/A:CDK2"")","Orlic-Milacic, M"
R-HSA-1363276,R-HSA-1363306,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363276"",""Dephosphorylation of p130 (RBL2) by PP2A"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363306"",""p130 (RBL2) binds Cyclin E/A:CDK2"")","Orlic-Milacic, M"
R-HSA-1363331,R-HSA-187552,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363331"",""Ubiquitination of p130 (RBL2) by SCF (Skp2)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187552"",""Binding of phospho-p27/p21:Cdk2:Cyclin E/A to the SCF(Skp2):Cks1 complex"")","Pagano, M"
R-HSA-1363331,R-HSA-1363328,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363331"",""Ubiquitination of p130 (RBL2) by SCF (Skp2)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1363328"",""Phosphorylated p130 (RBL2) binds SCF(Skp2):Cks1 complex"")","Orlic-Milacic, M"
R-HSA-141423,R-HSA-174104,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141423"",""Binding of the MCC complex to the APC/C complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174104"",""Ubiquitination of Cyclin A by APC/C:Cdc20 complex"")","Lorca, T"
R-HSA-141439,R-HSA-141431,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141439"",""Release of activated MAD2 from kinetochores"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141431"",""MAD2 associates with the Mad1 kinetochore complex"")","Yen, TJ"
R-HSA-156678,R-HSA-170149,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156678"",""Activation of Cdc25C"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170149"",""Translocation of active Cdc25C to the nucleus"")",
R-HSA-163120,R-HSA-163096,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163120"",""Disassociation of Telomerase RNP and the Chromosome End"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163096"",""Recruitment of Telomerase RNP to the Telomeric Chromosome End"")","Seidel, J"
R-HSA-1638821,R-HSA-2467809,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1638821"",""PP2A-B56 dephosphorylates centromeric cohesin"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2467809"",""ESPL1 (Separase) cleaves centromeric cohesin"")","Orlic-Milacic, M"
