First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-1791173,R-HSA-9653893,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791173"",""Expression of ATF3"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9653893"",""ATF4, CEBPB, and ATF3 bind the CHAC1 promoter"")","May, B"
R-HSA-187934,R-HSA-3788708,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187934"",""Inactivation of Cyclin A:Cdk2 complexes by p27/p21"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3788708"",""CDKN1A (p21) prevents association of Cyclin A:Cdk2 with Cdh1"")","Orlic-Milacic, M"
R-HSA-187934,R-HSA-3788705,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187934"",""Inactivation of Cyclin A:Cdk2 complexes by p27/p21"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3788705"",""CDKN1A (p21) prevents phosphorylation of Cdh1 by Cyclin A:Cdk2"")","Orlic-Milacic, M"
R-HSA-3209109,R-HSA-3209111,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209109"",""E2F1/E2F2/E2F3 and SP1 stimulate transcription of p14ARF mRNA"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209111"",""Translation of p14ARF mRNA is inhibited by miR-24"")","Orlic-Milacic, M"
R-HSA-3209165,R-HSA-8979082,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209165"",""ID1 sequesters ETS2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8979082"",""Phosphorylated ETS2 binds p16INK4A promoter"")","Orlic-Milacic, M"
R-HSA-3222593,R-HSA-3240295,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3222593"",""KDM6B demethylates H3K27me3 on p16INK4A promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3240295"",""PRC2-EZH2 trimethylates nucleosomes associated with CDKN2A promoter"")","Orlic-Milacic, M"
R-HSA-3225851,R-HSA-73646,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3225851"",""ROS oxidize thioredoxin and activate MAP3K5"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73646"",""thioredoxin, oxidized + NADPH + H+ => thioredoxin, reduced + NADP+"")","Jassal, B"
R-HSA-3225867,R-HSA-3225851,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3225867"",""Expression of MINK1/TNIK is positively regulated by ROS"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3225851"",""ROS oxidize thioredoxin and activate MAP3K5"")","Orlic-Milacic, M"
R-HSA-3229089,R-HSA-3223200,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229089"",""PRC1.4 complex binds H3K27Me3 nucleosomes on CDKN2A promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3223200"",""Demethylation of H3K27Me3 by KDM6B stimulates p16INK4A transcription, while binding of PRC1.4 complex to H3K27Me3 represses p16INK4A transcription"")","Orlic-Milacic, M"
R-HSA-3229102,R-HSA-3222593,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229102"",""p-MAPKAPK3 phosphorylates BMI1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3222593"",""KDM6B demethylates H3K27me3 on p16INK4A promoter"")","Orlic-Milacic, M"
