First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-1176059,R-HSA-6791035,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1176059"",""Translocation of Influenza A virus nonstructural protein 1 (NS1A) into the nucleus"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6791035"",""Release of NS1 homodimer"")","Gillespie, ME"
R-HSA-1222412,R-HSA-1222690,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222412"",""lpdC dimer reactivates dlaT"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222690"",""DlaT reactivates AhpD"")","Stephan, R"
R-HSA-1222417,R-HSA-1222346,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""TrxA reactivates AhpC"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222346"",""AhpC reduces H2O2"")","Stephan, R"
R-HSA-1222417,R-HSA-1222526,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""TrxA reactivates AhpC"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222526"",""AhpC reduces peroxidated lipids"")","Stephan, R"
R-HSA-1222417,R-HSA-1222431,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""TrxA reactivates AhpC"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222431"",""Peroxynitrite is reduced to nitrite by AhpC"")","Stephan, R"
R-HSA-1222485,R-HSA-1222363,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222485"",""TrxB reactivates TrxA"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222363"",""MsrA/B reduces peptide-methionine S/R-sulfoxides"")","Stephan, R"
R-HSA-1222485,R-HSA-1222417,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222485"",""TrxB reactivates TrxA"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222417"",""TrxA reactivates AhpC"")","Stephan, R"
R-HSA-1222644,R-HSA-1222755,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222644"",""TrxA/B1 reactivates Tpx"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222755"",""Peroxynitrite is reduced to nitrite by Tpx"")","Stephan, R"
R-HSA-1222655,R-HSA-1222346,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""AhpD reactivates AhpC"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222346"",""AhpC reduces H2O2"")","Stephan, R"
R-HSA-1222655,R-HSA-1222526,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""AhpD reactivates AhpC"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222526"",""AhpC reduces peroxidated lipids"")","Stephan, R"
R-HSA-1222655,R-HSA-1222431,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""AhpD reactivates AhpC"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222431"",""Peroxynitrite is reduced to nitrite by AhpC"")","Stephan, R"
R-HSA-1222690,R-HSA-1222655,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222690"",""DlaT reactivates AhpD"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1222655"",""AhpD reactivates AhpC"")","Stephan, R"
R-HSA-1225949,R-HSA-1225956,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1225949"",""Binding of CBL to ligand-responsive p-6Y-EGFR mutants"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1225956"",""Inefficient ubiquitination of ligand-responsive p-6Y-EGFR mutants by p-Y371-CBL"")","Orlic-Milacic, M"
