First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-112054,R-HSA-112054,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")","Geiduschek, EP"
R-HSA-112055,R-HSA-112055,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")","Geiduschek, EP"
R-HSA-112149,R-HSA-112149,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")","Geiduschek, EP"
R-HSA-112153,R-HSA-112149,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")","Geiduschek, EP"
R-HSA-112153,R-HSA-112055,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")","Geiduschek, EP"
R-HSA-112153,R-HSA-112054,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")","Geiduschek, EP"
R-HSA-112153,R-HSA-112153,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")","Geiduschek, EP"
R-HSA-112155,R-HSA-112149,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")","Geiduschek, EP"
R-HSA-112155,R-HSA-112055,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")","Geiduschek, EP"
R-HSA-112155,R-HSA-112054,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")","Geiduschek, EP"
