First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-114252,R-HSA-351876,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""Cleavage of Procaspase-3 by the apoptosome"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351876"",""Caspase-mediated cleavage of occludin"")","Schulze-Osthoff, K"
R-HSA-114252,R-HSA-201636,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""Cleavage of Procaspase-3 by the apoptosome"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201636"",""Caspase-mediated cleavage of Desmoplakin"")","Schulze-Osthoff, K"
R-HSA-114252,R-HSA-201595,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""Cleavage of Procaspase-3 by the apoptosome"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201595"",""Caspase-mediated cleavage of plakophilin-1"")","Schulze-Osthoff, K"
R-HSA-114252,R-HSA-351871,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""Cleavage of Procaspase-3 by the apoptosome"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351871"",""Caspase-mediated cleavage of Z0-2"")","Schulze-Osthoff, K"
R-HSA-114252,R-HSA-351913,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""Cleavage of Procaspase-3 by the apoptosome"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351913"",""Caspase-mediated cleavage of TJP1"")","Schulze-Osthoff, K"
R-HSA-114252,R-HSA-418852,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""Cleavage of Procaspase-3 by the apoptosome"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418852"",""Caspase cleavage of UNC5B"")","Garapati, P V"
R-HSA-114252,R-HSA-418846,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""Cleavage of Procaspase-3 by the apoptosome"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418846"",""Caspase cleavage of UNC5A"")","Garapati, P V"
R-HSA-114252,R-HSA-373705,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""Cleavage of Procaspase-3 by the apoptosome"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373705"",""Caspase cleavage of DCC"")","Garapati, P V"
R-HSA-114256,R-HSA-9627089,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114256"",""CYCS:APAF1 binds procaspase-9"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9627089"",""CASP9 is phosphorylated at T125"")","Shamovsky, V"
R-HSA-114306,R-HSA-9627104,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114306"",""SMAC binds XIAP:Caspase-3"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9627104"",""XIAP binds CASP3"")","Shamovsky, V"
