First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-109527,R-HSA-109529,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109527"",""Equilibrative transport (import) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109529"",""Equilibrative transport (export) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 2"")","D'Eustachio, P"
R-HSA-109529,R-HSA-109527,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109529"",""Equilibrative transport (export) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109527"",""Equilibrative transport (import) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 2"")","D'Eustachio, P"
R-HSA-109534,R-HSA-109536,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109534"",""Equilibrative transport (export) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109536"",""Equilibrative transport (import) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 1"")","D'Eustachio, P"
R-HSA-109534,R-HSA-109538,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109534"",""Equilibrative transport (export) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109538"",""Concentrative transport (import) of a nucleoside and two sodium ions by solute carrier family 28 (sodium-coupled nucleoside transporter), member 3"")","D'Eustachio, P"
R-HSA-109536,R-HSA-109534,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109536"",""Equilibrative transport (import) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109534"",""Equilibrative transport (export) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 1"")","D'Eustachio, P"
R-HSA-109538,R-HSA-109534,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109538"",""Concentrative transport (import) of a nucleoside and two sodium ions by solute carrier family 28 (sodium-coupled nucleoside transporter), member 3"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109534"",""Equilibrative transport (export) of nucleosides and free bases by solute carrier family 29 (nucleoside transporters), member 1"")","D'Eustachio, P"
R-HSA-111925,R-HSA-5682101,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111925"",""cAMP induces dissociation of inactive PKA tetramers"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5682101"",""PKA phosphorylates 4xPALM-C-p-2S-ABCA1 tetramer"")","Jassal, B"
R-HSA-1237325,R-HSA-1247668,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237325"",""Hemoglobin A is protonated and carbamated causing release of oxygen"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1247668"",""Hemoglobin A binds oxygen and releases protons and carbon dioxide"")","May, B"
R-HSA-1247668,R-HSA-1237325,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1247668"",""Hemoglobin A binds oxygen and releases protons and carbon dioxide"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237325"",""Hemoglobin A is protonated and carbamated causing release of oxygen"")","May, B"
R-HSA-171087,R-HSA-6784734,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-171087"",""LDLR [endosome membrane] => LDLR [plasma membrane]"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6784734"",""PCSK9 binds LDLR"")","Sanchis, A"
R-HSA-174660,R-HSA-266315,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""nascent chylomicron + spherical HDL:apoC-II:apoC-III:apoE =>spherical  HDL + chylomicron"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-266315"",""LCAT + spherical HDL <=> LCAT:spherical HDL complex"")","D'Eustachio, P"
R-HSA-174660,R-HSA-349404,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""nascent chylomicron + spherical HDL:apoC-II:apoC-III:apoE =>spherical  HDL + chylomicron"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-349404"",""CETP + spherical HDL + torcetrapib => CETP:spherical HDL:torcetrapib complex"")","D'Eustachio, P"
R-HSA-174660,R-HSA-266303,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""nascent chylomicron + spherical HDL:apoC-II:apoC-III:apoE =>spherical  HDL + chylomicron"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-266303"",""Spherical HDL binds C and E apolipoproteins"")","D'Eustachio, P"
R-HSA-174660,R-HSA-266328,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""nascent chylomicron + spherical HDL:apoC-II:apoC-III:apoE =>spherical  HDL + chylomicron"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-266328"",""CETP-mediated lipid exchange: spherical HDL gains triacylglycerol"")","D'Eustachio, P"
R-HSA-174660,R-HSA-266299,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""nascent chylomicron + spherical HDL:apoC-II:apoC-III:apoE =>spherical  HDL + chylomicron"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-266299"",""Spherical HDL binds membrane-associated free cholesterol and phospholipids"")","D'Eustachio, P"
R-HSA-174660,R-HSA-174690,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""nascent chylomicron + spherical HDL:apoC-II:apoC-III:apoE =>spherical  HDL + chylomicron"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174690"",""TG-depleted chylomicron + spherical HDL => chylomicron remnant + spherical HDL:apoA-I:apoA-II:apoA-IV:apoC-II:apoC-III"")","D'Eustachio, P"
R-HSA-174660,R-HSA-349637,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""nascent chylomicron + spherical HDL:apoC-II:apoC-III:apoE =>spherical  HDL + chylomicron"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-349637"",""spherical HDL and SR-BI receptor form a complex at the cell surface"")","D'Eustachio, P"
R-HSA-174660,R-HSA-8858252,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""nascent chylomicron + spherical HDL:apoC-II:apoC-III:apoE =>spherical  HDL + chylomicron"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8858252"",""HDLBP binds HDL"")","Jassal, B"
