First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592278"",""R-HSA-1592278"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8940554"",""R-HSA-8940554"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592297"",""R-HSA-1592297"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1564169"",""R-HSA-1564169"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592297"",""R-HSA-1592297"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375135"",""R-HSA-375135"")","de Bono, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592362"",""R-HSA-1592362"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8940561"",""R-HSA-8940561"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592387"",""R-HSA-1592387"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2328048"",""R-HSA-2328048"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1602458"",""R-HSA-1602458"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485111"",""R-HSA-2485111"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1602458"",""R-HSA-1602458"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2533944"",""R-HSA-2533944"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1602466"",""R-HSA-1602466"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1605825"",""R-HSA-1605825"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1604690"",""R-HSA-1604690"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2168982"",""R-HSA-2168982"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1604722"",""R-HSA-1604722"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2168982"",""R-HSA-2168982"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1604732"",""R-HSA-1604732"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8942302"",""R-HSA-8942302"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1604763"",""R-HSA-1604763"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8940561"",""R-HSA-8940561"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2089971"",""R-HSA-2089971"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2022073"",""R-HSA-2022073"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2129362"",""R-HSA-2129362"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485148"",""R-HSA-2485148"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2129362"",""R-HSA-2129362"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2396399"",""R-HSA-2396399"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2129375"",""R-HSA-2129375"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592387"",""R-HSA-1592387"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2168923"",""R-HSA-2168923"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088264"",""R-HSA-4088264"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2168923"",""R-HSA-2168923"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2471621"",""R-HSA-2471621"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213195"",""R-HSA-2213195"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3787997"",""R-HSA-3787997"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213195"",""R-HSA-2213195"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4084501"",""R-HSA-4084501"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213195"",""R-HSA-2213195"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4086216"",""R-HSA-4086216"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213195"",""R-HSA-2213195"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1564120"",""R-HSA-1564120"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213200"",""R-HSA-2213200"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1604722"",""R-HSA-1604722"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213200"",""R-HSA-2213200"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1604732"",""R-HSA-1604732"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213200"",""R-HSA-2213200"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592278"",""R-HSA-1592278"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2327803"",""R-HSA-2327803"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2426450"",""R-HSA-2426450"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395257"",""R-HSA-2395257"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395324"",""R-HSA-2395324"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395257"",""R-HSA-2395257"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2250301"",""R-HSA-2250301"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395302"",""R-HSA-2395302"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395322"",""R-HSA-2395322"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3787997"",""R-HSA-3787997"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213192"",""R-HSA-2213192"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948222"",""R-HSA-8948222"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948219"",""R-HSA-8948219"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948222"",""R-HSA-8948222"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1981128"",""R-HSA-1981128"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948222"",""R-HSA-8948222"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1981157"",""R-HSA-1981157"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948224"",""R-HSA-8948224"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948219"",""R-HSA-8948219"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948224"",""R-HSA-8948224"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1981128"",""R-HSA-1981128"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948224"",""R-HSA-8948224"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1981157"",""R-HSA-1981157"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948226"",""R-HSA-8948226"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948230"",""R-HSA-8948230"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948230"",""R-HSA-8948230"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1980233"",""R-HSA-1980233"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948231"",""R-HSA-8948231"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948228"",""R-HSA-8948228"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948232"",""R-HSA-8948232"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1981104"",""R-HSA-1981104"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8948234"",""R-HSA-8948234"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2002460"",""R-HSA-2002460"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-216045"",""R-HSA-216045"")","Horwitz, AR"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-216043"",""R-HSA-216043"")","Horwitz, AR"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2327695"",""R-HSA-2327695"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4084910"",""R-HSA-4084910"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114563"",""R-HSA-114563"")","Horwitz, AR"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474210"",""R-HSA-1474210"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474213"",""R-HSA-1474213"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1454822"",""R-HSA-1454822"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2473594"",""R-HSA-2473594"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2473596"",""R-HSA-2473596"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1458433"",""R-HSA-1458433"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1474266"",""R-HSA-1474266"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2473584"",""R-HSA-2473584"")","Jupe, S"
