First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""R-HSA-112054"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""R-HSA-112054"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""R-HSA-112055"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""R-HSA-112055"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""R-HSA-112149"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""R-HSA-112149"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""R-HSA-112149"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""R-HSA-112055"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""R-HSA-112054"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""R-HSA-112153"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""R-HSA-112149"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""R-HSA-112055"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""R-HSA-112054"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""R-HSA-112155"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""R-HSA-112149"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""R-HSA-112055"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""R-HSA-112054"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""R-HSA-112156"")","Geiduschek, EP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112381"",""R-HSA-112381"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814885"",""R-HSA-6814885"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""R-HSA-109639"")","Reinberg, D"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","Gopinathrao, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112379"",""R-HSA-112379"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613494"",""R-HSA-9613494"")","Timmers, HTM"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""R-HSA-9613497"")","Timmers, HTM"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75949"",""R-HSA-75949"")","Timmers, HTM"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73758"",""R-HSA-73758"")","Comai, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""R-HSA-109639"")","Reinberg, D"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""R-HSA-112383"")","Gopinathrao, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112379"",""R-HSA-112379"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613494"",""R-HSA-9613494"")","Timmers, HTM"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""R-HSA-9613497"")","Timmers, HTM"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75949"",""R-HSA-75949"")","Timmers, HTM"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""R-HSA-112385"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73758"",""R-HSA-73758"")","Comai, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112392"",""R-HSA-112392"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113411"",""R-HSA-113411"")","Gopinathrao, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112392"",""R-HSA-112392"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113414"",""R-HSA-113414"")","Gopinathrao, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112392"",""R-HSA-112392"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""R-HSA-113429"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112429"",""R-HSA-112429"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805061"",""R-HSA-6805061"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112430"",""R-HSA-112430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810234"",""R-HSA-6810234"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112434"",""R-HSA-112434"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814549"",""R-HSA-6814549"")","May, B"
