First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114670"",""R-HSA-114670"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""R-HSA-429529"")","Akkerman, JW"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114697"",""R-HSA-114697"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114552"",""R-HSA-114552"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114697"",""R-HSA-114697"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114558"",""R-HSA-114558"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140664"",""R-HSA-140664"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114697"",""R-HSA-114697"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140664"",""R-HSA-140664"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""R-HSA-429529"")","Akkerman, JW"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140664"",""R-HSA-140664"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5578883"",""R-HSA-5578883"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140696"",""R-HSA-140696"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141026"",""R-HSA-141026"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""R-HSA-140700"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114697"",""R-HSA-114697"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""R-HSA-140700"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429529"",""R-HSA-429529"")","Akkerman, JW"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""R-HSA-140700"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158419"",""R-HSA-158419"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""R-HSA-140700"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158137"",""R-HSA-158137"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""R-HSA-140700"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5578883"",""R-HSA-5578883"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""R-HSA-140700"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140840"",""R-HSA-140840"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""R-HSA-140700"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141046"",""R-HSA-141046"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""R-HSA-140700"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140599"",""R-HSA-140599"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140700"",""R-HSA-140700"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140791"",""R-HSA-140791"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140777"",""R-HSA-140777"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140825"",""R-HSA-140825"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140777"",""R-HSA-140777"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140686"",""R-HSA-140686"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140823"",""R-HSA-140823"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5607023"",""R-HSA-5607023"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140842"",""R-HSA-140842"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140599"",""R-HSA-140599"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140851"",""R-HSA-140851"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158766"",""R-HSA-158766"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141040"",""R-HSA-141040"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5607058"",""R-HSA-5607058"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158137"",""R-HSA-158137"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158118"",""R-HSA-158118"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158137"",""R-HSA-158137"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5607043"",""R-HSA-5607043"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158137"",""R-HSA-158137"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5607002"",""R-HSA-5607002"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158164"",""R-HSA-158164"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140769"",""R-HSA-140769"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158164"",""R-HSA-158164"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140825"",""R-HSA-140825"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158251"",""R-HSA-158251"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158313"",""R-HSA-158313"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158333"",""R-HSA-158333"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5607023"",""R-HSA-5607023"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158721"",""R-HSA-158721"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158722"",""R-HSA-158722"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158721"",""R-HSA-158721"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158756"",""R-HSA-158756"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158721"",""R-HSA-158721"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158941"",""R-HSA-158941"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158722"",""R-HSA-158722"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158721"",""R-HSA-158721"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158744"",""R-HSA-158744"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158756"",""R-HSA-158756"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158744"",""R-HSA-158744"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158800"",""R-HSA-158800"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158744"",""R-HSA-158744"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158747"",""R-HSA-158747"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158744"",""R-HSA-158744"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158942"",""R-HSA-158942"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158750"",""R-HSA-158750"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158784"",""R-HSA-158784"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158750"",""R-HSA-158750"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158795"",""R-HSA-158795"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158750"",""R-HSA-158750"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158942"",""R-HSA-158942"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158781"",""R-HSA-158781"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158747"",""R-HSA-158747"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158925"",""R-HSA-158925"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158941"",""R-HSA-158941"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158925"",""R-HSA-158925"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158893"",""R-HSA-158893"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158925"",""R-HSA-158925"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158747"",""R-HSA-158747"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158925"",""R-HSA-158925"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158942"",""R-HSA-158942"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158941"",""R-HSA-158941"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158925"",""R-HSA-158925"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158959"",""R-HSA-158959"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158942"",""R-HSA-158942"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158982"",""R-HSA-158982"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158941"",""R-HSA-158941"")","D'Eustachio, P"
