First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1006169"",""R-HSA-1006169"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-977363"",""R-HSA-977363"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""R-HSA-1015702"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8985201"",""R-HSA-8985201"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""R-HSA-1015702"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169397"",""R-HSA-1169397"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""R-HSA-1015702"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169399"",""R-HSA-1169399"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1015702"",""R-HSA-1015702"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169307"",""R-HSA-1169307"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028816"",""R-HSA-1028816"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3134883"",""R-HSA-3134883"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028816"",""R-HSA-1028816"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-933536"",""R-HSA-933536"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028821"",""R-HSA-1028821"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-933531"",""R-HSA-933531"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028821"",""R-HSA-1028821"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9604487"",""R-HSA-9604487"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1028821"",""R-HSA-1028821"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2032396"",""R-HSA-2032396"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1031716"",""R-HSA-1031716"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-983146"",""R-HSA-983146"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1031716"",""R-HSA-1031716"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213240"",""R-HSA-2213240"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1031716"",""R-HSA-1031716"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8856157"",""R-HSA-8856157"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1067646"",""R-HSA-1067646"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-449976"",""R-HSA-449976"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1067646"",""R-HSA-1067646"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-448427"",""R-HSA-448427"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1067676"",""R-HSA-1067676"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1067651"",""R-HSA-1067651"")","Ray, KP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112604"",""R-HSA-1112604"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112755"",""R-HSA-1112755"")","Ray, KP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112604"",""R-HSA-1112604"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112565"",""R-HSA-1112565"")","Ray, KP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112604"",""R-HSA-1112604"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112708"",""R-HSA-1112708"")","Ray, KP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112755"",""R-HSA-1112755"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1112602"",""R-HSA-1112602"")","Ray, KP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168459"",""R-HSA-1168459"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5674385"",""R-HSA-5674385"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168636"",""R-HSA-1168636"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5672950"",""R-HSA-5672950"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168636"",""R-HSA-1168636"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9658253"",""R-HSA-9658253"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168636"",""R-HSA-1168636"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5658435"",""R-HSA-5658435"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168636"",""R-HSA-1168636"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649736"",""R-HSA-9649736"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168636"",""R-HSA-1168636"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5674018"",""R-HSA-5674018"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168636"",""R-HSA-1168636"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5624494"",""R-HSA-5624494"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168643"",""R-HSA-1168643"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5684248"",""R-HSA-5684248"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168643"",""R-HSA-1168643"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168642"",""R-HSA-1168642"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168777"",""R-HSA-1168777"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362465"",""R-HSA-1362465"")","Herington, AC"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168777"",""R-HSA-1168777"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362485"",""R-HSA-1362485"")","Herington, AC"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""R-HSA-1168894"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-452102"",""R-HSA-452102"")","Ray, KP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""R-HSA-1168894"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168813"",""R-HSA-1168813"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""R-HSA-1168894"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168809"",""R-HSA-1168809"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""R-HSA-1168894"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168445"",""R-HSA-1168445"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""R-HSA-1168894"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168393"",""R-HSA-1168393"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168894"",""R-HSA-1168894"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1168839"",""R-HSA-1168839"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169394"",""R-HSA-1169394"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-936462"",""R-HSA-936462"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169394"",""R-HSA-1169394"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169403"",""R-HSA-1169403"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169394"",""R-HSA-1169394"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""R-HSA-1169404"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169395"",""R-HSA-1169395"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169403"",""R-HSA-1169403"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169395"",""R-HSA-1169395"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1176059"",""R-HSA-1176059"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169395"",""R-HSA-1169395"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""R-HSA-1169404"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169398"",""R-HSA-1169398"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169403"",""R-HSA-1169403"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169398"",""R-HSA-1169398"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""R-HSA-1169404"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169402"",""R-HSA-1169402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169403"",""R-HSA-1169403"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169402"",""R-HSA-1169402"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""R-HSA-1169404"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169403"",""R-HSA-1169403"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1678843"",""R-HSA-1678843"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""R-HSA-1169404"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169397"",""R-HSA-1169397"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169405"",""R-HSA-1169405"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169403"",""R-HSA-1169403"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169405"",""R-HSA-1169405"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""R-HSA-1169404"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169406"",""R-HSA-1169406"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1678841"",""R-HSA-1678841"")","Garapati, P V"
