First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111237"",""R-HSA-111237"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77614"",""R-HSA-77614"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111238"",""R-HSA-111238"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77615"",""R-HSA-77615"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111437"",""R-HSA-111437"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77585"",""R-HSA-77585"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111437"",""R-HSA-111437"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111438"",""R-HSA-111438"")","Marzluff, WF"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111439"",""R-HSA-111439"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-77095"",""R-HSA-77095"")","Buratowski, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191830"",""R-HSA-191830"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191763"",""R-HSA-191763"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429845"",""R-HSA-429845"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429978"",""R-HSA-429978"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429955"",""R-HSA-429955"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450551"",""R-HSA-450551"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429955"",""R-HSA-429955"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158484"",""R-HSA-158484"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429955"",""R-HSA-429955"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-159050"",""R-HSA-159050"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429955"",""R-HSA-429955"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158447"",""R-HSA-158447"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429992"",""R-HSA-429992"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450551"",""R-HSA-450551"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429992"",""R-HSA-429992"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158484"",""R-HSA-158484"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429992"",""R-HSA-429992"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-159050"",""R-HSA-159050"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-429992"",""R-HSA-429992"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-158447"",""R-HSA-158447"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-430021"",""R-HSA-430021"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8941312"",""R-HSA-8941312"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785722"",""R-HSA-6785722"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6793127"",""R-HSA-6793127"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785722"",""R-HSA-6785722"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6793122"",""R-HSA-6793122"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785722"",""R-HSA-6785722"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6793096"",""R-HSA-6793096"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6785722"",""R-HSA-6785722"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6793057"",""R-HSA-6793057"")","May, B"
