First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156808"",""R-HSA-156808"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72673"",""R-HSA-72673"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156808"",""R-HSA-156808"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72676"",""R-HSA-72676"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156808"",""R-HSA-156808"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156808"",""R-HSA-156808"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156808"",""R-HSA-156808"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-157849"",""R-HSA-157849"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156808"",""R-HSA-156808"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72697"",""R-HSA-72697"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156908"",""R-HSA-156908"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156915"",""R-HSA-156915"")","Gopinathrao, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156915"",""R-HSA-156915"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156913"",""R-HSA-156913"")","Gopinathrao, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-157849"",""R-HSA-157849"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72673"",""R-HSA-72673"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-157849"",""R-HSA-157849"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72676"",""R-HSA-72676"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-157849"",""R-HSA-157849"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156808"",""R-HSA-156808"")","Matthews, L"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-157849"",""R-HSA-157849"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-157849"",""R-HSA-157849"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-157849"",""R-HSA-157849"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72697"",""R-HSA-72697"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-157849"",""R-HSA-157849"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72621"",""R-HSA-72621"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791083"",""R-HSA-1791083"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694433"",""R-HSA-5694433"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791083"",""R-HSA-1791083"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203977"",""R-HSA-203977"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791076"",""R-HSA-1791076"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791143"",""R-HSA-1791143"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791137"",""R-HSA-1791137"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791138"",""R-HSA-1791138"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791139"",""R-HSA-1791139"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791075"",""R-HSA-1791075"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791084"",""R-HSA-1791084"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791144"",""R-HSA-1791144"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791083"",""R-HSA-1791083"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8953336"",""R-HSA-8953336"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791156"",""R-HSA-1791156"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791092"",""R-HSA-1791092"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791157"",""R-HSA-1791157"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791158"",""R-HSA-1791158"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791121"",""R-HSA-1791121"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791088"",""R-HSA-1791088"")","May, B"
