First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""R-HSA-1475026"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475022"",""R-HSA-1475022"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""R-HSA-1475026"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-200555"",""R-HSA-200555"")","Gopinathrao, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""R-HSA-1475026"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75851"",""R-HSA-75851"")","Gopinathrao, G"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""R-HSA-1475026"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8876889"",""R-HSA-8876889"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475026"",""R-HSA-1475026"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73577"",""R-HSA-73577"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475025"",""R-HSA-1475025"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237081"",""R-HSA-1237081"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475025"",""R-HSA-1475025"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475017"",""R-HSA-1475017"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237045"",""R-HSA-1237045"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237081"",""R-HSA-1237081"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237045"",""R-HSA-1237045"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475017"",""R-HSA-1475017"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475032"",""R-HSA-1475032"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475028"",""R-HSA-1475028"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475032"",""R-HSA-1475032"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70555"",""R-HSA-70555"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1475032"",""R-HSA-1475032"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70773"",""R-HSA-70773"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855165"",""R-HSA-1855165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71590"",""R-HSA-71590"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855165"",""R-HSA-1855165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453358"",""R-HSA-453358"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855165"",""R-HSA-1855165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71515"",""R-HSA-71515"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855165"",""R-HSA-1855165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453339"",""R-HSA-453339"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855165"",""R-HSA-1855165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372843"",""R-HSA-372843"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855165"",""R-HSA-1855165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70449"",""R-HSA-70449"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855165"",""R-HSA-1855165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237160"",""R-HSA-1237160"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855165"",""R-HSA-1855165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74242"",""R-HSA-74242"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855165"",""R-HSA-1855165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74249"",""R-HSA-74249"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855165"",""R-HSA-1855165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112265"",""R-HSA-112265"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855165"",""R-HSA-1855165"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74376"",""R-HSA-74376"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855166"",""R-HSA-1855166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71590"",""R-HSA-71590"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855166"",""R-HSA-1855166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453358"",""R-HSA-453358"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855166"",""R-HSA-1855166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71515"",""R-HSA-71515"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855166"",""R-HSA-1855166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453339"",""R-HSA-453339"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855166"",""R-HSA-1855166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372843"",""R-HSA-372843"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855166"",""R-HSA-1855166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70449"",""R-HSA-70449"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855166"",""R-HSA-1855166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237160"",""R-HSA-1237160"")","Stephan, R"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855166"",""R-HSA-1855166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74242"",""R-HSA-74242"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855166"",""R-HSA-1855166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74249"",""R-HSA-74249"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855166"",""R-HSA-1855166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112265"",""R-HSA-112265"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855166"",""R-HSA-1855166"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74376"",""R-HSA-74376"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855198"",""R-HSA-1855198"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71590"",""R-HSA-71590"")",
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1855198"",""R-HSA-1855198"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453358"",""R-HSA-453358"")","D'Eustachio, P"
