First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1297444"",""R-HSA-1297444"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1296043"",""R-HSA-1296043"")","Mahajan, SS"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170671"",""R-HSA-170671"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170686"",""R-HSA-170686"")","Le Novere, N"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170674"",""R-HSA-170674"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392206"",""R-HSA-392206"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374922"",""R-HSA-374922"")","Mahajan, SS"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372505"",""R-HSA-372505"")","Mahajan, SS"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380905"",""R-HSA-380905"")","Mahajan, SS"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210426"",""R-HSA-210426"")","Mahajan, SS"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380574"",""R-HSA-380574"")","Mahajan, SS"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210430"",""R-HSA-210430"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-917744"",""R-HSA-917744"")","Mahajan, SS"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372529"",""R-HSA-372529"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374922"",""R-HSA-374922"")","Mahajan, SS"
