First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1368140"",""R-HSA-1368140"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592233"",""R-HSA-1592233"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1368140"",""R-HSA-1368140"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592244"",""R-HSA-1592244"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592240"",""R-HSA-1592240"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592234"",""R-HSA-1592234"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592240"",""R-HSA-1592240"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2466391"",""R-HSA-2466391"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592240"",""R-HSA-1592240"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592249"",""R-HSA-1592249"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592242"",""R-HSA-1592242"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592250"",""R-HSA-1592250"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592242"",""R-HSA-1592242"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2466367"",""R-HSA-2466367"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1605428"",""R-HSA-1605428"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592231"",""R-HSA-1592231"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1605428"",""R-HSA-1605428"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592238"",""R-HSA-1592238"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1605428"",""R-HSA-1605428"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592247"",""R-HSA-1592247"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1605428"",""R-HSA-1605428"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8940309"",""R-HSA-8940309"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617825"",""R-HSA-5617825"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5624949"",""R-HSA-5624949"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617828"",""R-HSA-5617828"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617825"",""R-HSA-5617825"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617829"",""R-HSA-5617829"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5624949"",""R-HSA-5624949"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618328"",""R-HSA-5618328"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618331"",""R-HSA-5618331"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618331"",""R-HSA-5618331"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618328"",""R-HSA-5618328"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5623513"",""R-HSA-5623513"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5623508"",""R-HSA-5623508"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5624125"",""R-HSA-5624125"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617815"",""R-HSA-5617815"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5624125"",""R-HSA-5624125"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5624126"",""R-HSA-5624126"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5624129"",""R-HSA-5624129"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5624127"",""R-HSA-5624127"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5625424"",""R-HSA-5625424"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5624949"",""R-HSA-5624949"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5638009"",""R-HSA-5638009"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617816"",""R-HSA-5617816"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5638016"",""R-HSA-5638016"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5638007"",""R-HSA-5638007"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5638016"",""R-HSA-5638016"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5638004"",""R-HSA-5638004"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5688289"",""R-HSA-5688289"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5688276"",""R-HSA-5688276"")","Jupe, S"
