First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351876"",""R-HSA-351876"")","Schulze-Osthoff, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201636"",""R-HSA-201636"")","Schulze-Osthoff, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201595"",""R-HSA-201595"")","Schulze-Osthoff, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351871"",""R-HSA-351871"")","Schulze-Osthoff, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351913"",""R-HSA-351913"")","Schulze-Osthoff, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418852"",""R-HSA-418852"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418846"",""R-HSA-418846"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114252"",""R-HSA-114252"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373705"",""R-HSA-373705"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114256"",""R-HSA-114256"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9627089"",""R-HSA-9627089"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114306"",""R-HSA-114306"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9627104"",""R-HSA-9627104"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114392"",""R-HSA-114392"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9627107"",""R-HSA-9627107"")","Shamovsky, V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114419"",""R-HSA-114419"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-351876"",""R-HSA-351876"")","Schulze-Osthoff, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114419"",""R-HSA-114419"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-201636"",""R-HSA-201636"")","Schulze-Osthoff, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114419"",""R-HSA-114419"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202939"",""R-HSA-202939"")","Schulze-Osthoff, K"
