First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299475"",""R-HSA-1299475"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299487"",""R-HSA-1299487"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299475"",""R-HSA-1299475"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299480"",""R-HSA-1299480"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299482"",""R-HSA-1299482"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299487"",""R-HSA-1299487"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299482"",""R-HSA-1299482"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1299480"",""R-HSA-1299480"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033478"",""R-HSA-9033478"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033526"",""R-HSA-9033526"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033478"",""R-HSA-9033478"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033509"",""R-HSA-9033509"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033491"",""R-HSA-9033491"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033526"",""R-HSA-9033526"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033491"",""R-HSA-9033491"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033509"",""R-HSA-9033509"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033491"",""R-HSA-9033491"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033240"",""R-HSA-9033240"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033499"",""R-HSA-9033499"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033238"",""R-HSA-9033238"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033499"",""R-HSA-9033499"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033236"",""R-HSA-9033236"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033499"",""R-HSA-9033499"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033533"",""R-HSA-9033533"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033499"",""R-HSA-9033499"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033516"",""R-HSA-9033516"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033499"",""R-HSA-9033499"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033232"",""R-HSA-9033232"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033505"",""R-HSA-9033505"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033238"",""R-HSA-9033238"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033505"",""R-HSA-9033505"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033236"",""R-HSA-9033236"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033505"",""R-HSA-9033505"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033533"",""R-HSA-9033533"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033505"",""R-HSA-9033505"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033516"",""R-HSA-9033516"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033526"",""R-HSA-9033526"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9033478"",""R-HSA-9033478"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603775"",""R-HSA-9603775"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603784"",""R-HSA-9603784"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603775"",""R-HSA-9603775"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603804"",""R-HSA-9603804"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603775"",""R-HSA-9603775"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603801"",""R-HSA-9603801"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603791"",""R-HSA-9603791"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603797"",""R-HSA-9603797"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603791"",""R-HSA-9603791"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9603784"",""R-HSA-9603784"")","May, B"
