First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""R-HSA-109807"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5672950"",""R-HSA-5672950"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""R-HSA-109807"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9658253"",""R-HSA-9658253"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""R-HSA-109807"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5658435"",""R-HSA-5658435"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""R-HSA-109807"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649736"",""R-HSA-9649736"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""R-HSA-109807"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5674018"",""R-HSA-5674018"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109807"",""R-HSA-109807"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8981355"",""R-HSA-8981355"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-205286"",""R-HSA-205286"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250486"",""R-HSA-1250486"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1306969"",""R-HSA-1306969"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250488"",""R-HSA-1250488"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8851804"",""R-HSA-8851804"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8851900"",""R-HSA-8851900"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250380"",""R-HSA-1250380"")","Stern, DF"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9036949"",""R-HSA-9036949"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9032073"",""R-HSA-9032073"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9028328"",""R-HSA-9028328"")","Orlic-Milacic, M"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5654423"",""R-HSA-5654423"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5654664"",""R-HSA-5654664"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5654416"",""R-HSA-5654416"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5654646"",""R-HSA-5654646"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109813"",""R-HSA-109813"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5654615"",""R-HSA-5654615"")","Rothfels, K"
