First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109527"",""R-HSA-109527"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109529"",""R-HSA-109529"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109529"",""R-HSA-109529"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109527"",""R-HSA-109527"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109534"",""R-HSA-109534"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109536"",""R-HSA-109536"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109534"",""R-HSA-109534"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109538"",""R-HSA-109538"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109536"",""R-HSA-109536"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109534"",""R-HSA-109534"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109538"",""R-HSA-109538"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109534"",""R-HSA-109534"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111925"",""R-HSA-111925"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5682101"",""R-HSA-5682101"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237325"",""R-HSA-1237325"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1247668"",""R-HSA-1247668"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1247668"",""R-HSA-1247668"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237325"",""R-HSA-1237325"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-171087"",""R-HSA-171087"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6784734"",""R-HSA-6784734"")","Sanchis, A"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""R-HSA-174660"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-266315"",""R-HSA-266315"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""R-HSA-174660"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-349404"",""R-HSA-349404"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""R-HSA-174660"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-266303"",""R-HSA-266303"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""R-HSA-174660"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-266328"",""R-HSA-266328"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""R-HSA-174660"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-266299"",""R-HSA-266299"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""R-HSA-174660"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174690"",""R-HSA-174690"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""R-HSA-174660"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-349637"",""R-HSA-349637"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174660"",""R-HSA-174660"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8858252"",""R-HSA-8858252"")","Jassal, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194079"",""R-HSA-194079"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-264679"",""R-HSA-264679"")","D'Eustachio, P"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-194083"",""R-HSA-194083"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-264679"",""R-HSA-264679"")","D'Eustachio, P"
