First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190782"",""R-HSA-190782"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190541"",""R-HSA-190541"")","Falk, MM"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190877"",""R-HSA-190877"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190520"",""R-HSA-190520"")","Falk, MM"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-190877"",""R-HSA-190877"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2316347"",""R-HSA-2316347"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203973"",""R-HSA-203973"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694417"",""R-HSA-5694417"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""R-HSA-376357"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""R-HSA-376357"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""R-HSA-376357"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376369"",""R-HSA-376369"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""R-HSA-376357"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376364"",""R-HSA-376364"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""R-HSA-376357"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8863718"",""R-HSA-8863718"")","Rothfels, K"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""R-HSA-376357"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1449574"",""R-HSA-1449574"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376364"",""R-HSA-376364"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""R-HSA-376357"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376364"",""R-HSA-376364"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376369"",""R-HSA-376369"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376364"",""R-HSA-376364"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376364"",""R-HSA-376364"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376364"",""R-HSA-376364"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1449574"",""R-HSA-1449574"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376369"",""R-HSA-376369"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376357"",""R-HSA-376357"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376369"",""R-HSA-376369"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376369"",""R-HSA-376369"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376369"",""R-HSA-376369"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376364"",""R-HSA-376364"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376369"",""R-HSA-376369"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1449574"",""R-HSA-1449574"")","May, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421831"",""R-HSA-421831"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-350769"",""R-HSA-350769"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421835"",""R-HSA-421835"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421831"",""R-HSA-421831"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421835"",""R-HSA-421835"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432706"",""R-HSA-432706"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421836"",""R-HSA-421836"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421831"",""R-HSA-421831"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421836"",""R-HSA-421836"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432706"",""R-HSA-432706"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421836"",""R-HSA-421836"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421833"",""R-HSA-421833"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421836"",""R-HSA-421836"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432712"",""R-HSA-432712"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421836"",""R-HSA-421836"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421836"",""R-HSA-421836"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421836"",""R-HSA-421836"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432688"",""R-HSA-432688"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432688"",""R-HSA-432688"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421831"",""R-HSA-421831"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432688"",""R-HSA-432688"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432706"",""R-HSA-432706"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432688"",""R-HSA-432688"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421833"",""R-HSA-421833"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432688"",""R-HSA-432688"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432712"",""R-HSA-432712"")","Gillespie, ME"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432688"",""R-HSA-432688"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421836"",""R-HSA-421836"")","Gillespie, ME"
