PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities
ISG15 antiviral mechanism,ISGylation of IRF3,R-HSA-1169394,"[ATP [cytosol],IRF3 [cytosol],ISG15:UBCH8:ISG15 E3 ligase [cytosol]]","[PPi [cytosol],ISGylated IRF3 [cytosol],ISG15 E3 ligases [cytosol],AMP [cytosol],UBE2L6 [cytosol]]","[ISG15:UBCH8:ISG15 E3 ligase [cytosol],ISG15 E3 ligases [cytosol],TRIM25 [cytosol],ARIH1 [cytosol],HERC5 [cytosol],ISG15:UBCH8 [cytosol],UBE2L6 [cytosol],ISG15 [cytosol]]"
FCERI mediated Ca+2 mobilization,Recruitment of TEC kinases to p-SLP-76,R-HSA-2730885,"[p-5Y-LAT:p-SHC1:GRB2:SOS1:GADS:p-Y113,Y128,Y145-SLP-76:PLCG1:VAV [plasma membrane],PI(3,4,5)P3 [plasma membrane],TEC,BTK,ITK,(TXK) [cytosol]]","[p-5Y-LAT:p-SHC1:GRB2:SOS1:GADS:p-Y113,Y128,Y145-SLP-76:PLCG1:VAV:TEC kinases:PIP3 [plasma membrane]]",[]
The NLRP3 inflammasome,SGT1:HSP90 binds inactive NLRP3,R-HSA-873951,"[SUGT1:HSP90 [cytosol],NLRP3 [cytosol]]",[NLRP3:SUGT1:HSP90 [cytosol]],[]
Pexophagy,USP30 binds ATM dimer:Ub-p-PEX5,R-HSA-9674131,"[ATM dimer:Ub-p-PEX5 [peroxisomal membrane],USP30 [peroxisomal membrane]]",[ATM dimer:Ub-p-PEX5:USP30 [peroxisomal membrane]],[]
Neutrophil degranulation,Exocytosis of ficolin-rich granule membrane proteins,R-HSA-6800426,[Ficolin-rich granule membrane proteins [ficolin-1-rich granule membrane]],[Ficolin-rich granule membrane proteins [plasma membrane]],[]
Downstream TCR signaling,Translocation of PDK1 to Plasma membrane,R-HSA-202164,"[PIP3, PI(3,4)P2 [plasma membrane],PDPK1 [cytosol]]","[PDK1:PIP2,PIP3 [plasma membrane]]",[]
ROS and RNS production in phagocytes,Peroxynitrite oxidizes Peptide-Methionine residues,R-HSA-1222411,"[Peptide-Methionine [cytosol],Peroxynitrite [cytosol]]","[Nitrite [cytosol],Peptide-Methionine (S)-Sulfoxide [cytosol]]",[]
Activation of NF-kappaB in B cells,PRKCB (PKC-beta) phosphorylates CARMA1,R-HSA-1168635,"[ATP [cytosol],CARMA1 oligomer [cytosol]]","[ADP [cytosol],p-CARMA1 Oligomer [plasma membrane]]","[Activated PKC beta [plasma membrane],PRKCB [plasma membrane],DAG [plasma membrane],PS [plasma membrane],Ca2+ [plasma membrane]]"
Regulation of Complement cascade,Factor H binds to membrane-associated C3b,R-HSA-981728,"[Cell surface:C3b [plasma membrane],CFH, CFHR3 [extracellular region]]","[Cell surface:FH,FHR3:C3b [plasma membrane]]","[CFH:Host cell surface [plasma membrane],CFH [extracellular region],Host cell surface [plasma membrane],Cell surface [plasma membrane],Heparins [plasma membrane],Sialic acid [plasma membrane]]"
TRAF3-dependent IRF activation pathway,"Recruitment of IRF3,IRF7",R-HSA-918232,"[IRF3,IRF7 [cytosol],viral dsRNA:IFIH1, viral dsRNA:K63polyUb-DDX58:MAVS:K63polyUb-TRAF3:IKK related kinases TBK1/IKK epsilon [mitochondrial outer membrane]]","[viral dsRNA:IFIH1, viral dsRNA:K63polyUb-DDX58:MAVS:K63polyUb-TRAF3:IKK related kinases TBK1/IKK epsilon:IRF3,IRF7 [mitochondrial outer membrane]]",[]
