ReactioneName,ReactionID,Category,Class,EntityName,UniprotID
EEF1A1 dissociates from p-GFAP,R-HSA-9626034,Input,Complex,UniProt:P68104 EEF1A1,P68104
EEF1A1 dissociates from p-GFAP,R-HSA-9626034,Input,Complex,UniProt:P14136 GFAP,P14136
EEF1A1:GTP translocates from lysosomal membrane to cytosol,R-HSA-9626067,Input,Complex,UniProt:P68104 EEF1A1,P68104
HSPA8:LAMP2a multimers depolymerizes to monomers,R-HSA-9626256,Input,Polymer,UniProt:P13473 LAMP2,P13473
HSPA8:LAMP2a multimers depolymerizes to monomers,R-HSA-9626256,Input,Polymer,UniProt:P07900 HSP90AA1,P07900
HSPA8:LAMP2a multimers depolymerizes to monomers,R-HSA-9626256,Input,Polymer,UniProt:P08238 HSP90AB1,P08238
HSPA8:LAMP2a multimers depolymerizes to monomers,R-HSA-9626256,Input,Polymer,UniProt:P11142 HSPA8,P11142
EEF1A1 binds GTP,R-HSA-9626038,Input,SimpleEntity,UniProt:P68104 EEF1A1,P68104
EEF1A1 binds GTP,R-HSA-9626038,Input,EntityWithAccessionedSequence,UniProt:P68104 EEF1A1,P68104
pGFAP binds GFAP in LAMP2a multimer,R-HSA-9626039,Input,Complex,UniProt:P14136 GFAP,P14136
pGFAP binds GFAP in LAMP2a multimer,R-HSA-9626039,Input,Complex,UniProt:P13473 LAMP2,P13473
pGFAP binds GFAP in LAMP2a multimer,R-HSA-9626039,Input,Complex,UniProt:P07900 HSP90AA1,P07900
pGFAP binds GFAP in LAMP2a multimer,R-HSA-9626039,Input,Complex,UniProt:P08238 HSP90AB1,P08238
pGFAP binds GFAP in LAMP2a multimer,R-HSA-9626039,Input,EntityWithAccessionedSequence,UniProt:P14136 GFAP,P14136
pGFAP binds GFAP in LAMP2a multimer,R-HSA-9626039,Input,EntityWithAccessionedSequence,UniProt:P13473 LAMP2,P13473
pGFAP binds GFAP in LAMP2a multimer,R-HSA-9626039,Input,EntityWithAccessionedSequence,UniProt:P07900 HSP90AA1,P07900
pGFAP binds GFAP in LAMP2a multimer,R-HSA-9626039,Input,EntityWithAccessionedSequence,UniProt:P08238 HSP90AB1,P08238
HSPA8 dissociates from LAMP2a,R-HSA-9626235,Input,Complex,UniProt:P13473 LAMP2,P13473
HSPA8 dissociates from LAMP2a,R-HSA-9626235,Input,Complex,UniProt:P07900 HSP90AA1,P07900
HSPA8 dissociates from LAMP2a,R-HSA-9626235,Input,Complex,UniProt:P08238 HSP90AB1,P08238
HSPA8 dissociates from LAMP2a,R-HSA-9626235,Input,Complex,UniProt:P11142 HSPA8,P11142
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:P13473 LAMP2,P13473
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:P07998 RNASE1,P07998
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:Q99541 PLIN2,Q99541
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:O60664 PLIN3,O60664
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:P68871 HBB,P68871
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:P0CG48 UBC,P0CG48
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:P0CG47 UBB,P0CG47
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:P62987 UBA52,P62987
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:P62979 RPS27A,P62979
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:P13569 CFTR,P13569
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:Q12798 CETN1,Q12798
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:Q13099 IFT88,Q13099
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:Q3SXY8 ARL13B,Q3SXY8
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:O95613 PCNT,O95613
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:Q99497 PARK7,Q99497
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:Q9UBN7 HDAC6,Q9UBN7
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:P08670 VIM,P08670
HSPA8 dissociates from LAMP2A-bound substrate,R-HSA-9622840,Input,Complex,UniProt:P11142 HSPA8,P11142
Substrate:LAMP2a:HSP90 polymerizes,R-HSA-9624158,Input,Complex,UniProt:P13473 LAMP2,P13473
Substrate:LAMP2a:HSP90 polymerizes,R-HSA-9624158,Input,Complex,UniProt:P07998 RNASE1,P07998
