First_Reaction,Second_Reaction
R-HSA-9626046,R-HSA-9626034
R-HSA-9626038,R-HSA-9626067
R-HSA-9626253,R-HSA-9626256
R-HSA-9626034,R-HSA-9626038
R-HSA-9626060,R-HSA-9626039
R-HSA-9626034,R-HSA-9626039
R-HSA-9626256,R-HSA-9626235
R-HSA-9620197,R-HSA-9622840
R-HSA-9622831,R-HSA-9624158
R-HSA-9626039,R-HSA-9626242
R-HSA-9625196,R-HSA-9625188
R-HSA-9626235,R-HSA-9626276
R-HSA-9615721,R-HSA-9620197
R-HSA-9626276,R-HSA-9620197
R-HSA-9646685,R-HSA-9615721
R-HSA-9613666,R-HSA-9615721
R-HSA-9622840,R-HSA-9622831
R-HSA-9625197,R-HSA-9625196
R-HSA-9625188,R-HSA-9626060
R-HSA-9624158,R-HSA-9625197
R-HSA-9626242,R-HSA-9626253
R-HSA-380930,R-HSA-5673768
R-HSA-5672011,R-HSA-5672817
R-HSA-5678315,R-HSA-1632843
R-HSA-380927,R-HSA-5672017
R-HSA-165680,R-HSA-5672017
R-HSA-8959571,R-HSA-5682388
R-HSA-5205663,R-HSA-5682388
R-HSA-5205649,R-HSA-5205663
R-HSA-5205682,R-HSA-5205673
R-HSA-5205661,R-HSA-5205672
R-HSA-5205672,R-HSA-5205652
R-HSA-5205652,R-HSA-5205682
R-HSA-5205661,R-HSA-5205681
R-HSA-5205673,R-HSA-5205649
R-HSA-8948039,R-HSA-8948139
R-HSA-8948039,R-HSA-8948143
R-HSA-8948136,R-HSA-8948146
R-HSA-8959573,R-HSA-8959571
R-HSA-8948146,R-HSA-8959573
R-HSA-9613565,R-HSA-9613666
R-HSA-9613513,R-HSA-9613530
R-HSA-9613352,R-HSA-9613513
R-HSA-9613530,R-HSA-9613565
R-HSA-9664850,R-HSA-9664883
R-HSA-9664888,R-HSA-9674131
R-HSA-9664892,R-HSA-9664881
R-HSA-9664871,R-HSA-9664881
R-HSA-9664881,R-HSA-9664880
R-HSA-9664892,R-HSA-9664855
R-HSA-9664862,R-HSA-9664888
R-HSA-9664879,R-HSA-9664862
R-HSA-9664888,R-HSA-9664892
R-HSA-9664871,R-HSA-9664867
R-HSA-9664883,R-HSA-9664879
R-HSA-9674131,R-HSA-9674127
R-HSA-9639698,R-HSA-9640114
R-HSA-9646383,R-HSA-9646679
R-HSA-9646348,R-HSA-9646390
R-HSA-9646679,R-HSA-9646685
R-HSA-9640114,R-HSA-9641096
R-HSA-9646390,R-HSA-9646383
R-HSA-9631068,R-HSA-9631065
R-HSA-9615721,R-HSA-9631068
