First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-113503,R-HSA-113643,R-HSA-113646,Input,AND,1
R-HSA-113504,R-HSA-68914,R-HSA-68507,Input,OR,0
R-HSA-113504,R-HSA-68950,R-HSA-68507,Input,OR,0
R-HSA-113504,R-HSA-9668597,R-HSA-68507,Input,OR,0
R-HSA-113504,R-HSA-113503,R-ALL-113656,Input,OR,0
R-HSA-1226094,R-HSA-1363328,R-HSA-1226084,Input,OR,0
R-HSA-1226094,R-HSA-1363276,R-HSA-1226084,Input,OR,0
R-HSA-1226095,R-HSA-1363274,R-HSA-1226085,Input,OR,0
R-HSA-1362261,R-HSA-8964475,R-HSA-1362264,Input,OR,0
R-HSA-1362261,R-HSA-8964492,R-HSA-1362264,Input,OR,0
R-HSA-1362261,R-HSA-8964465,R-HSA-1362264,Input,OR,0
R-HSA-1362261,R-HSA-8964498,R-HSA-1362264,Input,OR,0
R-HSA-1362261,R-HSA-8964482,R-HSA-1362264,Input,OR,0
R-HSA-1362261,R-HSA-8964471,R-HSA-1362264,Input,OR,0
R-HSA-1362270,R-HSA-1362261,R-HSA-1362259,Input,AND,1
R-HSA-1363274,R-HSA-1363314,R-HSA-389104,Input,AND,1
R-HSA-1363276,R-HSA-1363306,R-HSA-389102,Input,AND,1
R-HSA-1363328,R-HSA-1363331,R-HSA-1363326,Input,OR,0
R-HSA-1363331,R-HSA-187552,R-HSA-187547,Input,OR,0
R-HSA-1363331,R-HSA-1363328,R-HSA-187547,Input,OR,0
R-HSA-141409,R-HSA-141431,R-HSA-141441,Input,AND,1
R-HSA-141422,R-HSA-141439,R-HSA-141432,Input,OR,0
R-HSA-141423,R-HSA-179410,R-HSA-141410,Input,OR,0
R-HSA-141423,R-HSA-174171,R-HSA-141410,Input,OR,0
R-HSA-141423,R-HSA-174104,R-HSA-141410,Input,OR,0
R-HSA-141423,R-HSA-174238,R-HSA-141410,Input,OR,0
R-HSA-141431,R-HSA-141422,R-HSA-141427,Input,AND,1
R-HSA-141437,R-HSA-141423,R-HSA-141440,Input,OR,0
R-HSA-141439,R-HSA-141437,R-HSA-141447,Input,OR,0
R-HSA-141439,R-HSA-141429,R-HSA-141447,Input,OR,0
R-HSA-141439,R-HSA-141431,R-HSA-141441,Input,AND,1
R-HSA-156678,R-HSA-170149,R-HSA-8981697,Input,OR,0
R-HSA-156682,R-HSA-9648114,R-HSA-156702,Input,AND,1
R-HSA-157906,R-HSA-69562,R-HSA-68374,Input,OR,0
R-HSA-157906,R-HSA-69195,R-HSA-68374,Input,OR,0
R-HSA-157906,R-HSA-188350,R-HSA-68374,Input,OR,0
R-HSA-163090,R-HSA-164620,R-HSA-163098,Input,AND,1
R-HSA-163096,R-HSA-163099,R-HSA-163088,Input,AND,1
R-HSA-163099,R-HSA-163090,R-HSA-164683,Input,AND,1
R-HSA-163120,R-HSA-163096,R-HSA-163101,Input,OR,0
R-HSA-163120,R-HSA-9668597,R-HSA-9671097,Input,AND,1
R-HSA-163120,R-HSA-163096,R-HSA-5686112,Input,OR,0
R-HSA-1638803,R-HSA-1638821,R-HSA-1638796,Input,OR,0
R-HSA-1638821,R-HSA-2467809,R-HSA-2500242,Input,AND,1
R-HSA-164616,R-HSA-163096,R-HSA-163101,Input,OR,0
R-HSA-164617,R-HSA-163120,R-HSA-164619,Input,OR,0
R-HSA-164620,R-HSA-164617,R-HSA-164684,Input,AND,1
R-HSA-170057,R-HSA-170055,R-HSA-170077,Input,OR,0
R-HSA-170070,R-HSA-170153,R-HSA-170065,Input,OR,0
R-HSA-170070,R-HSA-170072,R-HSA-170065,Input,OR,0
R-HSA-170076,R-HSA-170070,R-HSA-170073,Input,OR,0
R-HSA-170084,R-HSA-170116,R-HSA-170091,Input,OR,0
R-HSA-170087,R-HSA-170156,R-HSA-170092,Input,OR,0
R-HSA-170088,R-HSA-170087,R-HSA-170090,Input,OR,0
R-HSA-170116,R-HSA-170088,R-HSA-170085,Input,AND,1
R-HSA-170120,R-HSA-170161,R-HSA-157412,Input,OR,0
R-HSA-170153,R-HSA-2430533,R-HSA-170160,Catalyst,AND,1
R-HSA-170153,R-HSA-5195402,R-HSA-170160,Catalyst,AND,1
R-HSA-170153,R-HSA-5244669,R-HSA-170160,Catalyst,AND,1
R-HSA-170153,R-HSA-380278,R-HSA-170160,Catalyst,AND,1
R-HSA-170153,R-HSA-2245218,R-HSA-170160,Catalyst,AND,1
R-HSA-170153,R-HSA-2294600,R-HSA-170160,Catalyst,AND,1
R-HSA-170153,R-HSA-174122,R-HSA-170160,Catalyst,AND,1
R-HSA-170153,R-HSA-174251,R-HSA-170160,Catalyst,AND,1
R-HSA-170153,R-HSA-174132,R-HSA-170160,Catalyst,AND,1
R-HSA-170156,R-HSA-170158,R-HSA-170147,Input,OR,0
R-HSA-174054,R-HSA-174273,R-HSA-187501,Input,AND,1
R-HSA-174057,R-HSA-174058,R-HSA-174068,Input,OR,0
R-HSA-174070,R-HSA-174088,R-HSA-174181,Input,AND,1
R-HSA-174070,R-HSA-69015,R-HSA-174181,Input,AND,1
R-HSA-174088,R-HSA-174195,R-HSA-174107,Input,AND,1
R-HSA-174104,R-HSA-174255,R-HSA-174222,Input,OR,0
R-HSA-174105,R-HSA-174088,R-HSA-174181,Input,AND,1
R-HSA-174105,R-HSA-69015,R-HSA-174181,Input,AND,1
R-HSA-174110,R-HSA-187934,R-HSA-141608,Input,OR,0
R-HSA-174110,R-HSA-187949,R-HSA-141608,Input,OR,0
R-HSA-174110,R-HSA-174164,R-HSA-141608,Input,OR,0
R-HSA-174120,R-HSA-174227,R-HSA-174095,Input,AND,1
R-HSA-174121,R-HSA-174144,R-HSA-174212,Input,OR,0
R-HSA-174124,R-HSA-174070,R-HSA-174249,Input,AND,1
R-HSA-174144,R-HSA-174202,R-HSA-3095944,Input,OR,0
R-HSA-174157,R-HSA-174144,R-HSA-174081,Input,OR,0
R-HSA-174157,R-HSA-174121,R-HSA-174081,Input,OR,0
R-HSA-174157,R-HSA-174224,R-HSA-174081,Input,OR,0
R-HSA-174157,R-HSA-174227,R-HSA-174081,Input,OR,0
R-HSA-174157,R-HSA-174120,R-HSA-174081,Input,OR,0
R-HSA-174159,R-HSA-174203,R-HSA-174061,Input,OR,0
R-HSA-174164,R-HSA-174110,R-HSA-187907,Input,OR,0
R-HSA-174171,R-HSA-174104,R-HSA-174140,Input,AND,1
R-HSA-174195,R-HSA-174105,R-HSA-174248,Input,OR,0
R-HSA-174202,R-HSA-174144,R-HSA-174081,Input,OR,0
R-HSA-174202,R-HSA-174121,R-HSA-174081,Input,OR,0
R-HSA-174202,R-HSA-174224,R-HSA-174081,Input,OR,0
R-HSA-174202,R-HSA-174227,R-HSA-174081,Input,OR,0
R-HSA-174202,R-HSA-174120,R-HSA-174081,Input,OR,0
R-HSA-174203,R-HSA-174209,R-HSA-174155,Input,OR,0
R-HSA-174203,R-HSA-174159,R-HSA-174155,Input,OR,0
R-HSA-174209,R-HSA-174159,R-HSA-174138,Input,AND,1
R-HSA-174224,R-HSA-141423,R-HSA-174191,Input,OR,0
R-HSA-174224,R-HSA-174070,R-HSA-174191,Input,OR,0
R-HSA-174224,R-HSA-141437,R-HSA-141412,Input,OR,0
R-HSA-174224,R-HSA-141429,R-HSA-141412,Input,OR,0
R-HSA-174227,R-HSA-174157,R-HSA-174131,Input,OR,0
R-HSA-174238,R-HSA-174144,R-HSA-174081,Input,OR,0
R-HSA-174238,R-HSA-174121,R-HSA-174081,Input,OR,0
