First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-373714,R-HSA-451403,R-HSA-373679,Input,OR,0
R-HSA-373714,R-HSA-8981534,R-HSA-373679,Input,OR,0
R-HSA-373714,R-HSA-451377,R-HSA-373679,Input,OR,0
R-HSA-373714,R-HSA-373722,R-HSA-373679,Input,OR,0
R-HSA-373724,R-HSA-532603,R-HSA-373677,Input,AND,1
R-HSA-373727,R-HSA-451758,R-HSA-373680,Input,AND,1
R-HSA-373732,R-HSA-451757,R-HSA-373670,Input,OR,0
R-HSA-373732,R-HSA-373714,R-HSA-373670,Input,OR,0
R-HSA-373747,R-HSA-373734,R-HSA-374555,Input,OR,0
R-HSA-373747,R-HSA-373724,R-HSA-374555,Input,OR,0
R-HSA-373747,R-HSA-373727,R-HSA-374555,Input,OR,0
R-HSA-391156,R-HSA-391157,R-HSA-391115,Input,OR,0
R-HSA-391156,R-HSA-391153,R-HSA-391115,Input,OR,0
R-HSA-391156,R-HSA-391152,R-HSA-391115,Input,OR,0
R-HSA-391156,R-HSA-391150,R-HSA-391115,Input,OR,0
R-HSA-391157,R-HSA-391151,R-HSA-391118,Input,AND,1
R-HSA-391158,R-HSA-391156,R-HSA-391111,Input,OR,0
R-HSA-432909,R-HSA-432952,R-HSA-445996,Input,AND,1
R-HSA-432952,R-HSA-446089,R-HSA-445993,Input,AND,1
R-HSA-432956,R-HSA-446083,R-HSA-446010,Input,AND,1
R-HSA-433711,R-HSA-419011,R-HSA-433730,Input,AND,1
R-HSA-446083,R-HSA-446077,R-HSA-446066,Input,AND,1
R-HSA-446089,R-HSA-432956,R-HSA-445997,Input,AND,1
R-HSA-8981534,R-HSA-373747,R-HSA-8981533,Input,OR,0
