First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-1234167,R-HSA-1235035,R-HSA-1234099,Positive Regulator,AND,1
R-HSA-1234167,R-HSA-1235070,R-HSA-1234099,Positive Regulator,AND,1
R-HSA-1234167,R-HSA-1235037,R-HSA-1234099,Positive Regulator,AND,1
R-HSA-1234169,R-HSA-1234172,R-HSA-1234101,Input,OR,0
R-HSA-1234171,R-HSA-8932184,R-HSA-1234130,Input,AND,1
R-HSA-1234171,R-HSA-1234167,R-HSA-1234130,Input,AND,1
R-HSA-1234172,R-HSA-1234175,R-HSA-1234103,Input,AND,1
R-HSA-1234183,R-HSA-1234163,R-HSA-1234125,Input,OR,0
R-HSA-168136,R-HSA-450292,R-HSA-450237,Input,AND,1
R-HSA-1791173,R-HSA-9653893,R-HSA-535543,Input,AND,1
R-HSA-187934,R-HSA-3788708,R-HSA-187926,Negative Regulator,AND,-1
R-HSA-187934,R-HSA-3788705,R-HSA-187926,Negative Regulator,AND,-1
R-HSA-3209096,R-HSA-3209109,R-HSA-3209097,Positive Regulator,AND,1
R-HSA-3209098,R-HSA-3209114,R-HSA-3209105,Input,OR,0
R-HSA-3209109,R-HSA-3209111,R-HSA-3209107,Input,OR,0
R-HSA-3209111,R-HSA-9645672,R-HSA-9645669,Input,OR,0
R-HSA-3209151,R-HSA-3209114,R-HSA-3209131,Negative Regulator,AND,-1
R-HSA-3209151,R-HSA-3209111,R-HSA-3209131,Negative Regulator,AND,-1
R-HSA-3209160,R-HSA-3209159,R-HSA-3209166,Input,AND,1
R-HSA-3209165,R-HSA-8979082,R-HSA-3209172,Negative Regulator,AND,-1
R-HSA-3209177,R-HSA-3209179,R-HSA-3209182,Negative Regulator,AND,-1
R-HSA-3222533,R-HSA-3222546,R-HSA-3222535,Positive Regulator,AND,1
R-HSA-3222546,R-HSA-8979071,R-HSA-1629833,Input,AND,1
R-HSA-3222593,R-HSA-3240295,R-HSA-3222592,Input,OR,0
R-HSA-3223200,R-HSA-3209114,R-HSA-3209105,Input,OR,0
R-HSA-3225851,R-HSA-3229152,R-HSA-167709,Catalyst,AND,1
R-HSA-3225851,R-HSA-3228469,R-HSA-167709,Catalyst,AND,1
R-HSA-3225851,R-HSA-73646,R-HSA-73668,Input,OR,0
R-HSA-3229089,R-HSA-3229102,R-HSA-3229098,Input,OR,0
R-HSA-3229089,R-HSA-3223200,R-HSA-3229098,Input,OR,0
R-HSA-3229102,R-HSA-3222593,R-HSA-3222570,Input,OR,0
R-HSA-3229102,R-HSA-3229089,R-HSA-3222570,Input,OR,0
R-HSA-3229138,R-HSA-3209111,R-HSA-3209107,Input,OR,0
R-HSA-3238999,R-HSA-3239019,R-HSA-3239009,Input,OR,0
R-HSA-3239019,R-HSA-3239014,R-HSA-3239017,Catalyst,AND,1
R-HSA-3240295,R-HSA-3222593,R-HSA-3222570,Input,OR,0
R-HSA-3240295,R-HSA-3229089,R-HSA-3222570,Input,OR,0
R-HSA-3240765,R-HSA-3240782,R-HSA-3240767,Positive Regulator,AND,1
R-HSA-3240766,R-HSA-3240787,R-HSA-3240769,Positive Regulator,AND,1
R-HSA-3240777,R-HSA-3240783,R-HSA-3240771,Positive Regulator,AND,1
R-HSA-3240782,R-HSA-3240957,R-HSA-212278,Input,AND,1
R-HSA-3240783,R-HSA-3240957,R-HSA-212298,Input,AND,1
R-HSA-3240787,R-HSA-3240957,R-HSA-212217,Input,AND,1
R-HSA-3240957,R-HSA-3240295,R-HSA-212285,Catalyst,AND,1
R-HSA-3299753,R-HSA-3299691,R-HSA-3299679,Catalyst,AND,1
R-HSA-3322995,R-HSA-3323050,R-HSA-3323059,Input,OR,0
R-HSA-3323050,R-HSA-3697894,R-HSA-3323048,Input,OR,0
R-HSA-3323050,R-HSA-3322995,R-HSA-3323048,Input,OR,0
R-HSA-3341343,R-HSA-73646,R-HSA-73668,Input,OR,0
R-HSA-3371422,R-HSA-3371503,R-HSA-3371441,Input,OR,0
R-HSA-3371467,R-HSA-3371537,R-HSA-427531,Input,OR,0
R-HSA-3371467,R-HSA-3371518,R-HSA-427531,Input,OR,0
R-HSA-3371467,R-HSA-3371554,R-HSA-5082415,Input,OR,0
R-HSA-3371503,R-HSA-5618107,R-HSA-3371444,Input,AND,1
R-HSA-3371518,R-HSA-3371467,R-HSA-5082382,Input,OR,0
R-HSA-3371527,R-HSA-5324617,R-HSA-4793790,Input,OR,0
R-HSA-3371527,R-HSA-3371582,R-HSA-4793790,Input,OR,0
R-HSA-3371527,R-HSA-5082405,R-HSA-4793790,Input,OR,0
R-HSA-3371527,R-HSA-5082387,R-HSA-4793790,Input,OR,0
R-HSA-3371527,R-HSA-4793819,R-HSA-4793790,Input,OR,0
R-HSA-3371527,R-HSA-5333051,R-HSA-4793790,Input,OR,0
R-HSA-3371554,R-HSA-5082369,R-HSA-5082373,Input,OR,0
R-HSA-3371554,R-HSA-3371518,R-HSA-5082373,Input,OR,0
R-HSA-3371567,R-HSA-3371537,R-HSA-3371569,Input,AND,1
R-HSA-3371567,R-HSA-3371518,R-HSA-3371569,Input,AND,1
R-HSA-3371586,R-HSA-3371591,R-HSA-3371452,Input,OR,0
R-HSA-3371586,R-HSA-3371531,R-HSA-3371452,Input,OR,0
R-HSA-3371586,R-HSA-3371435,R-HSA-3371452,Input,OR,0
R-HSA-3371586,R-HSA-4793911,R-HSA-3371452,Input,OR,0
R-HSA-3371586,R-HSA-5618098,R-HSA-265269,Input,OR,0
R-HSA-3371586,R-HSA-5618110,R-HSA-265269,Input,OR,0
R-HSA-3371590,R-HSA-3371422,R-HSA-3371563,Input,OR,0
R-HSA-3371591,R-HSA-3371527,R-HSA-4793915,Input,AND,1
R-HSA-3697838,R-HSA-4837364,R-HSA-3697840,Input,AND,1
R-HSA-3697860,R-HSA-8951723,R-HSA-8951722,Input,AND,1
R-HSA-3697882,R-HSA-73646,R-HSA-73668,Input,OR,0
R-HSA-3697894,R-HSA-3323050,R-HSA-3323059,Input,OR,0
R-HSA-3780958,R-HSA-3780979,R-HSA-3780962,Input,OR,0
R-HSA-3780979,R-HSA-3777112,R-HSA-3777109,Catalyst,AND,1
R-HSA-3785704,R-HSA-3785768,R-ALL-75165,Input,AND,1
R-HSA-3785711,R-HSA-5682020,R-ALL-3785706,Input,AND,1
R-HSA-3785768,R-HSA-5693612,R-HSA-3785763,Input,AND,1
R-HSA-3786258,R-HSA-4647613,R-HSA-3786257,Input,AND,1
R-HSA-3786258,R-HSA-4647593,R-HSA-3786257,Input,AND,1
R-HSA-3788708,R-HSA-3788705,R-HSA-188374,Input,OR,0
R-HSA-3788725,R-HSA-3788724,R-HSA-3788733,Input,AND,1
R-HSA-3797196,R-HSA-3797202,R-HSA-3797203,Positive Regulator,AND,1
R-HSA-381128,R-HSA-9635927,R-HSA-381016,Input,OR,0
R-HSA-381128,R-HSA-9635892,R-HSA-381016,Input,OR,0
R-HSA-381128,R-HSA-9635804,R-HSA-381016,Input,OR,0
R-HSA-381128,R-HSA-9635936,R-HSA-381016,Input,OR,0
R-HSA-381128,R-HSA-9635915,R-HSA-381016,Input,OR,0
R-HSA-381128,R-HSA-9654752,R-HSA-381016,Input,OR,0
R-HSA-381128,R-HSA-9653893,R-HSA-381016,Input,OR,0
R-HSA-381128,R-HSA-9654792,R-HSA-381016,Input,OR,0
R-HSA-381128,R-HSA-9655086,R-HSA-381016,Input,OR,0
R-HSA-381128,R-HSA-9653742,R-HSA-381016,Input,OR,0
R-HSA-3857305,R-HSA-3790130,R-HSA-3857324,Positive Regulator,AND,1
R-HSA-3857308,R-HSA-3790137,R-HSA-3857319,Positive Regulator,AND,1
R-HSA-3857328,R-HSA-3857336,R-HSA-3857339,Input,AND,1
R-HSA-3857329,R-HSA-3857328,R-HSA-3857343,Input,OR,0
R-HSA-3857336,R-HSA-3857345,R-HSA-3857334,Input,OR,0
R-HSA-3857336,R-HSA-3857308,R-HSA-3857334,Input,OR,0
R-HSA-3857336,R-HSA-3857305,R-HSA-3857334,Input,OR,0
R-HSA-3857345,R-HSA-3857348,R-HSA-3857347,Positive Regulator,AND,1
R-HSA-3858387,R-HSA-3857329,R-HSA-381378,Input,OR,0
R-HSA-3858387,R-HSA-9653893,R-HSA-381378,Input,OR,0
R-HSA-3878123,R-HSA-4647594,R-HSA-3878132,Input,OR,0
R-HSA-450292,R-HSA-3797196,R-HSA-450327,Input,OR,0
R-HSA-450292,R-HSA-4568737,R-HSA-450327,Input,OR,0
R-HSA-450292,R-HSA-3222533,R-HSA-450327,Input,OR,0
R-HSA-450325,R-HSA-450292,R-HSA-450283,Input,AND,1
R-HSA-450333,R-HSA-450222,R-HSA-450213,Input,OR,0
R-HSA-4568737,R-HSA-4568740,R-HSA-4568738,Positive Regulator,AND,1
R-HSA-4647593,R-HSA-4647613,R-HSA-4647605,Negative Regulator,AND,-1
R-HSA-4647593,R-HSA-4647594,R-HSA-4647605,Negative Regulator,AND,-1
R-HSA-4793819,R-HSA-5082384,R-HSA-4793813,Input,OR,0
R-HSA-4793819,R-HSA-5082356,R-HSA-4793813,Input,OR,0
R-HSA-4837364,R-HSA-3299682,R-HSA-3299688,Catalyst,AND,1
R-HSA-5082384,R-HSA-3371554,R-HSA-5082415,Input,OR,0
R-HSA-5082387,R-HSA-5082356,R-HSA-5082353,Positive Regulator,AND,1
R-HSA-5082391,R-HSA-5324617,R-HSA-4793790,Input,OR,0
R-HSA-5082391,R-HSA-3371582,R-HSA-4793790,Input,OR,0
R-HSA-5082391,R-HSA-5082405,R-HSA-4793790,Input,OR,0
R-HSA-5082391,R-HSA-5082387,R-HSA-4793790,Input,OR,0
R-HSA-5082391,R-HSA-4793819,R-HSA-4793790,Input,OR,0
R-HSA-5082391,R-HSA-5333051,R-HSA-4793790,Input,OR,0
R-HSA-5082405,R-HSA-5082356,R-HSA-5082354,Positive Regulator,AND,1
R-HSA-5082409,R-HSA-5082391,R-HSA-5082385,Input,AND,1
R-HSA-5251942,R-HSA-5252041,R-HSA-5252091,Input,AND,1
R-HSA-5252041,R-HSA-5251955,R-HSA-5252002,Input,OR,0
R-HSA-5324632,R-HSA-3371591,R-HSA-3371452,Input,OR,0
R-HSA-5324632,R-HSA-3371531,R-HSA-3371452,Input,OR,0
R-HSA-5324632,R-HSA-3371435,R-HSA-3371452,Input,OR,0
R-HSA-5324632,R-HSA-4793911,R-HSA-3371452,Input,OR,0
R-HSA-5324632,R-HSA-5618098,R-HSA-265269,Input,OR,0
R-HSA-5324632,R-HSA-5618110,R-HSA-265269,Input,OR,0
R-HSA-5618073,R-HSA-5618105,R-HSA-5618096,Input,AND,1
R-HSA-5618085,R-HSA-5618110,R-HSA-5618076,Input,OR,0
R-HSA-5618098,R-HSA-5618073,R-HSA-5618074,Input,OR,0
R-HSA-5618098,R-HSA-3371590,R-HSA-5618079,Input,AND,1
R-HSA-5618098,R-HSA-3371503,R-HSA-443857,Input,OR,0
R-HSA-5618099,R-HSA-5618080,R-HSA-8948970,Input,OR,0
R-HSA-5618105,R-HSA-5618098,R-HSA-5618095,Input,OR,0
R-HSA-5618107,R-HSA-5618105,R-HSA-5618106,Input,OR,0
R-HSA-5618107,R-HSA-5618085,R-HSA-5618106,Input,OR,0
R-HSA-5618110,R-HSA-3371590,R-HSA-5618079,Input,AND,1
R-HSA-5618110,R-HSA-3371503,R-HSA-443857,Input,OR,0
R-HSA-5660479,R-HSA-5660530,R-HSA-5660451,Positive Regulator,AND,1
R-HSA-5660514,R-HSA-5660503,R-HSA-5660435,Positive Regulator,AND,1
R-HSA-5662606,R-HSA-5662613,R-HSA-5662573,Input,OR,0
R-HSA-5682018,R-HSA-6792712,R-HSA-5682021,Input,OR,0
R-HSA-5682020,R-HSA-5682018,R-HSA-5682022,Input,AND,1
R-HSA-5682026,R-HSA-5693609,R-HSA-5693527,Catalyst,AND,1
R-HSA-5682044,R-HSA-5693540,R-HSA-5682035,Input,OR,0
R-HSA-5693540,R-HSA-5693609,R-HSA-5693527,Catalyst,AND,1
R-HSA-5693609,R-HSA-3786258,R-HSA-349474,Input,AND,1
R-HSA-5693609,R-HSA-4647594,R-HSA-349474,Input,AND,1
R-HSA-5693612,R-HSA-5682044,R-HSA-3785779,Input,OR,0
R-HSA-6792712,R-HSA-5682026,R-HSA-6792710,Input,OR,0
R-HSA-6804996,R-HSA-5693609,R-HSA-3209194,Input,OR,0
R-HSA-6804996,R-HSA-3239014,R-HSA-3209194,Input,OR,0
R-HSA-6804996,R-HSA-6804879,R-HSA-6804995,Negative Regulator,AND,-1
R-HSA-6804998,R-HSA-6804996,R-HSA-6804999,Input,OR,0
R-HSA-73646,R-HSA-3341343,R-HSA-66000,Input,OR,0
R-HSA-73646,R-HSA-3697882,R-HSA-66000,Input,OR,0
R-HSA-8951723,R-HSA-3299753,R-HSA-3299706,Input,OR,0
R-HSA-8979071,R-HSA-3222593,R-HSA-3222589,Catalyst,AND,1
R-HSA-8979071,R-HSA-3223200,R-HSA-3222589,Catalyst,AND,1
R-HSA-9633005,R-HSA-9633742,R-HSA-9633013,Input,OR,0
R-HSA-9633008,R-HSA-381128,R-HSA-9633006,Positive Regulator,AND,1
R-HSA-9633008,R-HSA-9650722,R-HSA-9633006,Positive Regulator,AND,1
R-HSA-9633008,R-HSA-9653745,R-HSA-9633006,Positive Regulator,AND,1
R-HSA-9633008,R-HSA-9650710,R-HSA-9633006,Positive Regulator,AND,1
R-HSA-9633742,R-HSA-9633008,R-HSA-9633821,Catalyst,AND,1
R-HSA-9635804,R-HSA-9644926,R-HSA-9635843,Positive Regulator,AND,1
R-HSA-9635892,R-HSA-1791173,R-HSA-9635905,Positive Regulator,AND,1
R-HSA-9635915,R-HSA-1791118,R-HSA-9635898,Positive Regulator,AND,1
R-HSA-9635918,R-HSA-3857329,R-HSA-381378,Input,OR,0
R-HSA-9635918,R-HSA-9653893,R-HSA-381378,Input,OR,0
R-HSA-9635927,R-HSA-9635912,R-HSA-9635876,Positive Regulator,AND,1
R-HSA-9635936,R-HSA-9635918,R-HSA-9635875,Positive Regulator,AND,1
R-HSA-9639286,R-HSA-9640175,R-HSA-9640184,Input,AND,1
R-HSA-9639287,R-HSA-9640195,R-HSA-9639281,Negative Regulator,AND,-1
R-HSA-9640167,R-HSA-9640168,R-HSA-9639283,Input,OR,0
R-HSA-9640168,R-HSA-9640175,R-HSA-9640172,Input,AND,1
R-HSA-9640168,R-HSA-9645608,R-HSA-9639277,Input,AND,1
R-HSA-9640175,R-HSA-9640167,R-HSA-9640192,Input,OR,0
R-HSA-9640237,R-HSA-9640195,R-HSA-9639281,Negative Regulator,AND,-1
R-HSA-9644926,R-HSA-9650722,R-HSA-9650719,Input,OR,0
R-HSA-9645598,R-HSA-9640175,R-HSA-9640184,Input,AND,1
R-HSA-9645608,R-HSA-9646468,R-HSA-9645607,Input,AND,1
R-HSA-9645672,R-HSA-6804998,R-HSA-1629813,Input,OR,0
R-HSA-9646468,R-HSA-9640195,R-HSA-9646467,Input,OR,0
R-HSA-9648880,R-HSA-9648883,R-HSA-9648893,Input,OR,0
R-HSA-9648883,R-HSA-9648888,R-HSA-9648885,Catalyst,AND,1
R-HSA-9648888,R-HSA-381128,R-HSA-9633006,Positive Regulator,AND,1
R-HSA-9648888,R-HSA-9650722,R-HSA-9633006,Positive Regulator,AND,1
R-HSA-9648888,R-HSA-9653745,R-HSA-9633006,Positive Regulator,AND,1
