First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-3215385,R-HSA-5205799,R-HSA-5205604,Input,AND,1
R-HSA-3215385,R-HSA-5661117,R-HSA-5205604,Input,AND,1
R-HSA-3215385,R-HSA-3215426,R-HSA-5205604,Input,AND,1
R-HSA-3215391,R-HSA-3215406,R-HSA-5211300,Negative Regulator,AND,-1
R-HSA-3215426,R-HSA-5216234,R-HSA-5212675,Catalyst,AND,1
R-HSA-3215426,R-HSA-5205861,R-HSA-5212675,Catalyst,AND,1
R-HSA-3215448,R-HSA-5205799,R-HSA-5226883,Positive Regulator,AND,1
R-HSA-3215448,R-HSA-5205861,R-HSA-5226883,Positive Regulator,AND,1
R-HSA-5159250,R-HSA-4827382,R-HSA-5159246,Positive Regulator,AND,1
R-HSA-5205798,R-HSA-5661124,R-HSA-4754240,Input,OR,0
R-HSA-5205798,R-HSA-5661126,R-HSA-4754240,Input,OR,0
R-HSA-5423038,R-HSA-5651654,R-HSA-5423110,Input,OR,0
R-HSA-5423038,R-HSA-5423117,R-HSA-5423110,Input,OR,0
R-HSA-5423117,R-HSA-5423038,R-HSA-181902,Input,OR,0
R-HSA-5423117,R-HSA-5205798,R-HSA-181902,Input,OR,0
R-HSA-5423117,R-HSA-3321883,R-HSA-181902,Input,OR,0
R-HSA-5423117,R-HSA-3662318,R-HSA-181902,Input,OR,0
R-HSA-5423117,R-HSA-3321805,R-HSA-181902,Input,OR,0
R-HSA-5651654,R-HSA-5651657,R-HSA-5651652,Input,OR,0
R-HSA-5661124,R-HSA-5423038,R-HSA-181902,Input,OR,0
R-HSA-5661124,R-HSA-5205798,R-HSA-181902,Input,OR,0
R-HSA-5661124,R-HSA-3321883,R-HSA-181902,Input,OR,0
R-HSA-5661124,R-HSA-3662318,R-HSA-181902,Input,OR,0
R-HSA-5661124,R-HSA-3321805,R-HSA-181902,Input,OR,0
R-HSA-5661125,R-HSA-5661124,R-HSA-4754240,Input,OR,0
R-HSA-5661125,R-HSA-5661126,R-HSA-4754240,Input,OR,0
R-HSA-3214912,R-HSA-5159245,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5159245,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-5638332,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5638332,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-5634750,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5634750,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-5638333,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5638333,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-4827383,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-4827383,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-5649801,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5649801,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-5218952,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5218952,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-5205799,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5205799,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-5205824,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5205824,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-5205822,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5205822,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-5229010,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5229010,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-5225649,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5225649,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-3318486,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-3318486,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-3301237,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-3301237,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-3662335,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-3662335,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-3697008,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-3697008,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-5144542,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-5144542,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-3301345,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-3301345,R-HSA-212281,Input,OR,0
R-HSA-3214912,R-HSA-3697920,R-HSA-212070,Input,OR,0
R-HSA-3214912,R-HSA-3697920,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5159245,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5638332,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5634750,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5638333,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-4827383,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5649801,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5218952,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5205799,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5205824,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5205822,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5229010,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5225649,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-3318486,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-3301237,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-3662335,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-3697008,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-5144542,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-3301345,R-HSA-212281,Input,OR,0
R-HSA-3247569,R-HSA-3697920,R-HSA-212281,Input,OR,0
R-HSA-4722133,R-HSA-5159245,R-HSA-212070,Input,OR,0
R-HSA-4722133,R-HSA-5159245,R-HSA-212281,Input,OR,0
R-HSA-4722133,R-HSA-5638332,R-HSA-212070,Input,OR,0
R-HSA-4722133,R-HSA-5638332,R-HSA-212281,Input,OR,0
R-HSA-4722133,R-HSA-5634750,R-HSA-212070,Input,OR,0
R-HSA-4722133,R-HSA-5634750,R-HSA-212281,Input,OR,0
R-HSA-4722133,R-HSA-5638333,R-HSA-212070,Input,OR,0
R-HSA-4722133,R-HSA-5638333,R-HSA-212281,Input,OR,0
R-HSA-4722133,R-HSA-4827383,R-HSA-212070,Input,OR,0
R-HSA-4722133,R-HSA-4827383,R-HSA-212281,Input,OR,0
R-HSA-4722133,R-HSA-5649801,R-HSA-212070,Input,OR,0
