First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-1368069,R-HSA-400342,R-HSA-5663269,Negative Regulator,AND,-1
R-HSA-1368087,R-HSA-400342,R-HSA-5663268,Positive Regulator,AND,1
R-HSA-1368133,R-HSA-5663273,R-HSA-400325,Input,OR,0
R-HSA-1368133,R-HSA-5663246,R-HSA-400325,Input,OR,0
R-HSA-1368133,R-HSA-5663264,R-HSA-400325,Input,OR,0
R-HSA-1368133,R-HSA-5663293,R-HSA-400325,Input,OR,0
R-HSA-1368133,R-HSA-1368087,R-HSA-400325,Input,OR,0
R-HSA-1368140,R-HSA-5663273,R-HSA-442481,Input,OR,0
R-HSA-1368140,R-HSA-1368087,R-HSA-442481,Input,OR,0
R-HSA-1856948,R-HSA-400382,R-HSA-421287,Input,OR,0
R-HSA-400219,R-HSA-400267,R-HSA-400368,Input,OR,0
R-HSA-400228,R-HSA-549355,R-HSA-400360,Input,OR,0
R-HSA-400228,R-HSA-421320,R-HSA-400360,Input,OR,0
R-HSA-400267,R-HSA-400219,R-HSA-174237,Input,AND,1
R-HSA-400272,R-HSA-400282,R-HSA-400351,Input,OR,0
R-HSA-400282,R-HSA-400272,R-HSA-400380,Input,AND,1
R-HSA-400342,R-HSA-400228,R-HSA-400353,Input,AND,1
R-HSA-400382,R-HSA-549385,R-HSA-421296,Input,AND,1
R-HSA-421320,R-HSA-5663127,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663124,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663156,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663122,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-8878702,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663132,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663165,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663170,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663138,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663105,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663155,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5669302,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663118,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663174,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-400256,R-HSA-421315,Input,OR,0
R-HSA-421320,R-HSA-5663120,R-HSA-421315,Input,OR,0
R-HSA-549385,R-HSA-400256,R-HSA-400277,Input,AND,1
R-HSA-549475,R-HSA-5663265,R-HSA-375499,Input,OR,0
R-HSA-549475,R-HSA-5663271,R-HSA-375499,Input,OR,0
R-HSA-549475,R-HSA-5663245,R-HSA-375499,Input,OR,0
R-HSA-549475,R-HSA-5663252,R-HSA-375499,Input,OR,0
R-HSA-549475,R-HSA-1368069,R-HSA-375499,Input,OR,0
R-HSA-549475,R-HSA-5663258,R-HSA-375499,Input,OR,0
R-HSA-5663105,R-HSA-879770,R-HSA-5663121,Positive Regulator,AND,1
R-HSA-5663118,R-HSA-549493,R-HSA-5663176,Positive Regulator,AND,1
R-HSA-5663120,R-HSA-549467,R-HSA-5663148,Positive Regulator,AND,1
R-HSA-5663122,R-HSA-1368889,R-HSA-5663154,Positive Regulator,AND,1
R-HSA-5663124,R-HSA-549364,R-HSA-5663104,Positive Regulator,AND,1
R-HSA-5663127,R-HSA-549428,R-HSA-5663136,Positive Regulator,AND,1
R-HSA-5663132,R-HSA-879762,R-HSA-5663186,Positive Regulator,AND,1
R-HSA-5663138,R-HSA-549424,R-HSA-5663134,Positive Regulator,AND,1
R-HSA-5663155,R-HSA-549475,R-HSA-5663173,Positive Regulator,AND,1
R-HSA-5663156,R-HSA-879724,R-HSA-5663137,Positive Regulator,AND,1
R-HSA-5663165,R-HSA-879782,R-HSA-5663184,Positive Regulator,AND,1
R-HSA-5663170,R-HSA-879798,R-HSA-5663107,Positive Regulator,AND,1
R-HSA-5663174,R-HSA-549533,R-HSA-5663110,Positive Regulator,AND,1
R-HSA-5663245,R-HSA-1368065,R-HSA-5663274,Negative Regulator,AND,-1
R-HSA-5663246,R-HSA-1368065,R-HSA-5663257,Positive Regulator,AND,1
R-HSA-5663258,R-HSA-1368140,R-HSA-5663272,Negative Regulator,AND,-1
R-HSA-5663264,R-HSA-1801587,R-HSA-5663244,Positive Regulator,AND,1
R-HSA-5663265,R-HSA-549475,R-HSA-5663262,Negative Regulator,AND,-1
R-HSA-5663271,R-HSA-1368119,R-HSA-5663248,Negative Regulator,AND,-1
R-HSA-5663273,R-HSA-549475,R-HSA-5663260,Positive Regulator,AND,1
R-HSA-5663293,R-HSA-1368081,R-HSA-5663295,Positive Regulator,AND,1
R-HSA-5669302,R-HSA-1368133,R-HSA-5669290,Positive Regulator,AND,1
R-HSA-8878702,R-HSA-8878679,R-HSA-8878725,Positive Regulator,AND,1
