First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-109955,R-HSA-6782141,R-HSA-109943,Input,OR,0
R-HSA-109955,R-HSA-5690991,R-HSA-109943,Input,OR,0
R-HSA-109955,R-HSA-6785732,R-HSA-109943,Input,OR,0
R-HSA-109955,R-HSA-5686657,R-HSA-109943,Input,OR,0
R-HSA-110156,R-HSA-110215,R-HSA-110152,Input,OR,0
R-HSA-110157,R-HSA-110217,R-HSA-110154,Input,OR,0
R-HSA-110158,R-HSA-110219,R-HSA-110150,Input,OR,0
R-HSA-110159,R-HSA-110218,R-HSA-110155,Input,OR,0
R-HSA-110164,R-HSA-110221,R-HSA-110163,Input,OR,0
R-HSA-110171,R-HSA-110231,R-HSA-110168,Input,OR,0
R-HSA-110172,R-HSA-110232,R-HSA-110170,Input,OR,0
R-HSA-110208,R-HSA-110226,R-HSA-110179,Input,OR,0
R-HSA-110210,R-HSA-110234,R-HSA-110190,Input,OR,0
R-HSA-110211,R-HSA-110224,R-HSA-110177,Input,OR,0
R-HSA-110212,R-HSA-110227,R-HSA-110181,Input,OR,0
R-HSA-110213,R-HSA-110229,R-HSA-110183,Input,OR,0
R-HSA-110215,R-HSA-110349,R-HSA-110188,Input,OR,0
R-HSA-110217,R-HSA-110349,R-HSA-110188,Input,OR,0
R-HSA-110218,R-HSA-110350,R-HSA-110191,Input,OR,0
R-HSA-110219,R-HSA-110350,R-HSA-110191,Input,OR,0
R-HSA-110224,R-HSA-110352,R-HSA-110193,Input,OR,0
R-HSA-110226,R-HSA-110352,R-HSA-110193,Input,OR,0
R-HSA-110227,R-HSA-110352,R-HSA-110193,Input,OR,0
R-HSA-110229,R-HSA-110352,R-HSA-110193,Input,OR,0
R-HSA-110231,R-HSA-110353,R-HSA-110194,Input,OR,0
R-HSA-110232,R-HSA-110353,R-HSA-110194,Input,OR,0
R-HSA-110234,R-HSA-110350,R-HSA-110191,Input,OR,0
R-HSA-110235,R-HSA-110243,R-HSA-110185,Input,OR,0
R-HSA-110236,R-HSA-110244,R-HSA-110186,Input,OR,0
R-HSA-110237,R-HSA-110246,R-HSA-110199,Input,OR,0
R-HSA-110238,R-HSA-110248,R-HSA-110202,Input,OR,0
R-HSA-110239,R-HSA-110250,R-HSA-110204,Input,OR,0
R-HSA-110240,R-HSA-110251,R-HSA-110206,Input,OR,0
R-HSA-110243,R-HSA-5649701,R-HSA-110195,Input,OR,0
R-HSA-110243,R-HSA-110354,R-HSA-110195,Input,OR,0
R-HSA-110244,R-HSA-5649701,R-HSA-110195,Input,OR,0
R-HSA-110244,R-HSA-110354,R-HSA-110195,Input,OR,0
R-HSA-110246,R-HSA-110355,R-HSA-110200,Input,OR,0
R-HSA-110248,R-HSA-110356,R-HSA-110207,Input,OR,0
R-HSA-110250,R-HSA-110356,R-HSA-110207,Input,OR,0
R-HSA-110251,R-HSA-110356,R-HSA-110207,Input,OR,0
R-HSA-110307,R-HSA-110308,R-HSA-110283,Input,AND,1
R-HSA-110308,R-HSA-5652151,R-HSA-110285,Input,AND,1
R-HSA-110311,R-HSA-5655835,R-HSA-110279,Input,OR,0
R-HSA-110311,R-HSA-5652151,R-HSA-110279,Input,OR,0
R-HSA-110311,R-HSA-5656105,R-HSA-110279,Input,OR,0
R-HSA-110316,R-HSA-110317,R-HSA-110288,Input,OR,0
R-HSA-110317,R-HSA-110319,R-HSA-110290,Input,OR,0
R-HSA-110319,R-HSA-5654986,R-HSA-5654981,Input,AND,1
R-HSA-110322,R-HSA-5655835,R-HSA-110279,Input,OR,0
R-HSA-110322,R-HSA-5652151,R-HSA-110279,Input,OR,0
R-HSA-110322,R-HSA-5656105,R-HSA-110279,Input,OR,0
R-HSA-110349,R-HSA-110359,R-HSA-110332,Input,AND,1
R-HSA-110349,R-HSA-110157,R-HSA-5634845,Input,OR,0
R-HSA-110349,R-HSA-110156,R-HSA-5634845,Input,OR,0
R-HSA-110350,R-HSA-110359,R-HSA-110332,Input,AND,1
R-HSA-110350,R-HSA-110210,R-HSA-65812,Input,OR,0
