First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-176956,R-HSA-176942,R-HSA-176952,Input,AND,1
R-HSA-176973,R-HSA-68688,R-HSA-68540,Input,AND,1
R-HSA-68595,R-HSA-68603,R-HSA-68514,Input,AND,1
R-HSA-68603,R-HSA-68610,R-HSA-68517,Input,AND,1
R-HSA-68610,R-HSA-68611,R-HSA-68520,Input,AND,1
R-HSA-68611,R-HSA-68615,R-HSA-68592,Input,AND,1
R-HSA-68615,R-HSA-176973,R-HSA-176958,Input,AND,1
R-HSA-68688,R-HSA-68826,R-HSA-68543,Input,AND,1
R-HSA-68712,R-HSA-68825,R-HSA-68585,Input,OR,0
R-HSA-68826,R-HSA-68849,R-HSA-68544,Input,AND,1
R-HSA-68849,R-HSA-68944,R-HSA-68559,Input,OR,0
R-HSA-68849,R-HSA-68919,R-HSA-68559,Input,OR,0
R-HSA-68913,R-HSA-68950,R-HSA-68423,Input,AND,1
R-HSA-68913,R-HSA-68960,R-HSA-68483,Input,AND,1
R-HSA-68914,R-HSA-68913,R-HSA-68510,Input,OR,0
R-HSA-68916,R-HSA-68960,R-HSA-68568,Positive Regulator,AND,1
R-HSA-68916,R-HSA-68914,R-HSA-68568,Positive Regulator,AND,1
R-HSA-68917,R-HSA-68916,R-HSA-68564,Input,AND,1
R-HSA-68918,R-HSA-68917,R-HSA-68561,Input,AND,1
R-HSA-68919,R-HSA-68940,R-HSA-68560,Input,OR,0
R-HSA-68940,R-HSA-68826,R-HSA-68536,Input,OR,0
R-HSA-68940,R-HSA-69299,R-HSA-68536,Input,OR,0
R-HSA-68940,R-HSA-68918,R-HSA-156564,Input,AND,1
R-HSA-68944,R-HSA-68946,R-HSA-68943,Input,AND,1
R-HSA-68946,R-HSA-68947,R-HSA-9032189,Input,AND,1
R-HSA-68947,R-HSA-68948,R-HSA-9032195,Input,OR,0
R-HSA-68950,R-HSA-69053,R-HSA-68425,Input,OR,0
R-HSA-68960,R-HSA-68914,R-HSA-68485,Input,AND,1
R-HSA-69005,R-HSA-69006,R-HSA-5661317,Input,AND,1
R-HSA-69006,R-HSA-69015,R-HSA-68583,Input,AND,1
R-HSA-69015,R-HSA-69016,R-HSA-68570,Input,OR,0
R-HSA-69053,R-HSA-69063,R-HSA-68437,Input,OR,0
R-HSA-69063,R-HSA-69068,R-HSA-68471,Input,OR,0
R-HSA-69068,R-HSA-69074,R-HSA-68441,Input,OR,0
R-HSA-69068,R-HSA-69053,R-HSA-68436,Input,OR,0
R-HSA-69074,R-HSA-69116,R-HSA-68451,Input,AND,1
R-HSA-69116,R-HSA-69127,R-HSA-68453,Input,AND,1
R-HSA-69127,R-HSA-69140,R-HSA-68455,Input,AND,1
R-HSA-69140,R-HSA-69142,R-HSA-68463,Input,AND,1
