First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-111919,R-HSA-9664332,R-HSA-111910,Input,OR,0
R-HSA-111919,R-HSA-9662708,R-HSA-111910,Input,OR,0
R-HSA-112333,R-HSA-8876948,R-HSA-1810408,Catalyst,AND,1
R-HSA-1176059,R-HSA-6791035,R-HSA-1176067,Input,OR,0
R-HSA-1222325,R-HSA-1222597,R-ALL-5607578,Input,AND,1
R-HSA-1222341,R-HSA-1222526,R-ALL-1222300,Input,OR,0
R-HSA-1222346,R-HSA-1222417,R-MTU-1222326,Input,OR,0
R-HSA-1222346,R-HSA-1222655,R-MTU-1222326,Input,OR,0
R-HSA-1222363,R-HSA-1222485,R-MTU-1222293,Input,OR,0
R-HSA-1222412,R-HSA-1222690,R-MTU-1222478,Input,OR,0
R-HSA-1222417,R-HSA-1222485,R-MTU-1222293,Input,OR,0
R-HSA-1222417,R-HSA-1222346,R-MTU-1222710,Input,OR,0
R-HSA-1222417,R-HSA-1222526,R-MTU-1222710,Input,OR,0
R-HSA-1222417,R-HSA-1222431,R-MTU-1222710,Input,OR,0
R-HSA-1222431,R-HSA-1222417,R-MTU-1222326,Input,OR,0
R-HSA-1222431,R-HSA-1222655,R-MTU-1222326,Input,OR,0
R-HSA-1222485,R-HSA-1222363,R-MTU-1222488,Input,OR,0
R-HSA-1222485,R-HSA-1222417,R-MTU-1222488,Input,OR,0
R-HSA-1222526,R-HSA-1222417,R-MTU-1222326,Input,OR,0
R-HSA-1222526,R-HSA-1222655,R-MTU-1222326,Input,OR,0
R-HSA-1222597,R-HSA-1222399,R-ALL-5607579,Input,OR,0
R-HSA-1222641,R-HSA-8951549,R-HSA-8951548,Input,AND,1
R-HSA-1222644,R-HSA-1222755,R-MTU-1222392,Input,OR,0
R-HSA-1222655,R-HSA-1222690,R-MTU-1222360,Input,OR,0
R-HSA-1222655,R-HSA-1222346,R-MTU-1222710,Input,OR,0
R-HSA-1222655,R-HSA-1222526,R-MTU-1222710,Input,OR,0
R-HSA-1222655,R-HSA-1222431,R-MTU-1222710,Input,OR,0
R-HSA-1222690,R-HSA-1222412,R-MTU-1222687,Input,OR,0
R-HSA-1222690,R-HSA-1222655,R-MTU-1222304,Input,OR,0
R-HSA-1222755,R-HSA-1222644,R-MTU-1222496,Input,OR,0
R-HSA-1225947,R-HSA-1225952,R-HSA-1225858,Input,OR,0
R-HSA-1225949,R-HSA-1225956,R-HSA-1225855,Input,OR,0
R-HSA-1225949,R-HSA-1225960,R-HSA-1225855,Input,OR,0
R-HSA-1225950,R-HSA-1225951,R-HSA-1225859,Catalyst,AND,1
R-HSA-1225952,R-HSA-1225961,R-HSA-1225854,Input,AND,1
R-HSA-1225960,R-HSA-1225956,R-HSA-1225857,Input,AND,1
R-HSA-1225961,R-HSA-1225957,R-HSA-1225856,Catalyst,AND,1
R-HSA-1226012,R-HSA-1226014,R-HSA-1226013,Catalyst,AND,1
R-HSA-1226016,R-HSA-1226012,R-HSA-1226015,Input,AND,1
R-HSA-1227964,R-HSA-1218833,R-HSA-1221657,Input,OR,0
R-HSA-1227964,R-HSA-1247999,R-HSA-1221657,Input,OR,0
R-HSA-1227964,R-HSA-1218833,R-HSA-1225828,Input,OR,0
R-HSA-1227964,R-HSA-1247999,R-HSA-1225828,Input,OR,0
R-HSA-1227964,R-HSA-1248694,R-HSA-1227936,Input,OR,0
R-HSA-1247841,R-HSA-1247844,R-HSA-1247845,Input,OR,0
R-HSA-1247844,R-HSA-1247842,R-HSA-1247846,Input,OR,0
R-HSA-1247999,R-HSA-5638137,R-HSA-1248004,Input,OR,0
R-HSA-1247999,R-HSA-1248002,R-HSA-1248004,Input,OR,0
R-HSA-1248002,R-HSA-1248655,R-HSA-1248010,Input,OR,0
R-HSA-1248655,R-HSA-5637766,R-HSA-1248654,Input,OR,0
R-HSA-1248655,R-HSA-5637764,R-HSA-1248654,Input,OR,0
R-HSA-1248655,R-HSA-5637794,R-HSA-1248654,Input,OR,0
R-HSA-1248655,R-HSA-5637792,R-HSA-1248654,Input,OR,0
R-HSA-1248655,R-HSA-5637770,R-HSA-1248654,Input,OR,0
R-HSA-1248694,R-HSA-9634391,R-HSA-1248686,Input,AND,1
R-HSA-1250253,R-HSA-1250264,R-HSA-1250246,Input,OR,0
R-HSA-1250253,R-HSA-1250272,R-HSA-1250246,Input,OR,0
R-HSA-1306876,R-HSA-873951,R-HSA-874112,Input,AND,1
R-HSA-162590,R-HSA-175250,R-HSA-175416,Input,OR,0
R-HSA-162590,R-HSA-164845,R-HSA-175416,Input,OR,0
R-HSA-162590,R-HSA-175174,R-HSA-175416,Input,OR,0
R-HSA-162590,R-HSA-175108,R-HSA-175416,Input,OR,0
R-HSA-162590,R-HSA-175117,R-HSA-175416,Input,OR,0
R-HSA-162914,R-HSA-3149454,R-HIV-167605,Input,OR,0
R-HSA-162914,R-HSA-200858,R-HIV-167605,Input,OR,0
R-HSA-162914,R-HSA-200954,R-HIV-167605,Input,OR,0
R-HSA-162914,R-HSA-200952,R-HIV-167605,Input,OR,0
R-HSA-162914,R-HSA-164943,R-HIV-167605,Input,OR,0
R-HSA-162914,R-HSA-200908,R-HIV-167605,Input,OR,0
R-HSA-162914,R-HSA-167566,R-HIV-167605,Input,OR,0
R-HSA-162914,R-HSA-200879,R-HIV-167605,Input,OR,0
R-HSA-162914,R-HSA-167630,R-HIV-167605,Input,OR,0
R-HSA-162914,R-HSA-182243,R-HIV-167605,Input,OR,0
R-HSA-163617,R-HSA-392129,R-HSA-163622,Catalyst,AND,1
R-HSA-164500,R-HSA-164515,R-HSA-173665,Input,AND,1
R-HSA-164503,R-HSA-164520,R-HSA-173779,Input,AND,1
R-HSA-164504,R-HSA-164519,R-HSA-173774,Input,OR,0
R-HSA-164504,R-HSA-180634,R-HSA-173774,Input,OR,0
R-HSA-164505,R-HSA-182876,R-HSA-188560,Input,OR,0
R-HSA-164507,R-HSA-164500,R-HSA-173663,Input,AND,1
R-HSA-164508,R-HSA-164524,R-HSA-173649,Input,OR,0
R-HSA-164509,R-HSA-164510,R-HSA-173650,Input,AND,1
R-HSA-164510,R-HSA-164507,R-HSA-173648,Input,AND,1
R-HSA-164512,R-HSA-164505,R-HSA-173792,Input,AND,1
R-HSA-164513,R-HSA-173769,R-HSA-182880,Input,AND,1
R-HSA-164514,R-HSA-164522,R-HSA-177532,Input,AND,1
R-HSA-164515,R-HSA-164521,R-HSA-173639,Input,AND,1
R-HSA-164519,R-HSA-182859,R-HSA-182804,Input,AND,1
R-HSA-164520,R-HSA-164528,R-HSA-173786,Input,AND,1
R-HSA-164521,R-HSA-164508,R-HSA-173656,Input,AND,1
R-HSA-164522,R-HSA-162590,R-HSA-177526,Input,OR,0
R-HSA-164522,R-HSA-180627,R-HSA-177526,Input,OR,0
R-HSA-164522,R-HSA-180622,R-HSA-177526,Input,OR,0
R-HSA-164522,R-HSA-180630,R-HSA-177526,Input,OR,0
R-HSA-164523,R-HSA-164506,R-HSA-175148,Input,OR,0
R-HSA-164524,R-HSA-173642,R-HSA-173664,Input,OR,0
R-HSA-164527,R-HSA-164504,R-HSA-173801,Input,OR,0
R-HSA-164528,R-HSA-182795,R-HSA-173789,Input,AND,1
R-HSA-165027,R-HSA-165033,R-HIV-165535,Input,OR,0
R-HSA-165028,R-HSA-165055,R-HSA-180686,Input,OR,0
R-HSA-165028,R-HSA-187213,R-HIV-187209,Input,AND,1
R-HSA-165028,R-HSA-180709,R-HIV-165543,Input,AND,1
R-HSA-165028,R-HSA-180739,R-HSA-167651,Input,OR,0
R-HSA-165028,R-HSA-165055,R-HSA-167651,Input,OR,0
R-HSA-165028,R-HSA-3149454,R-HIV-173267,Input,AND,1
R-HSA-165033,R-HSA-180885,R-HIV-165532,Input,OR,0
R-HSA-165034,R-HSA-165043,R-HSA-165537,Input,OR,0
R-HSA-165043,R-HSA-165047,R-HSA-165531,Input,OR,0
R-HSA-165047,R-HSA-165043,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-180622,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-180710,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-9614369,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-9614367,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-9636128,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-9629004,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-168880,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-192627,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-192925,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-1176059,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-168337,R-HSA-157689,Input,OR,0
R-HSA-165047,R-HSA-180739,R-HSA-165552,Input,OR,0
R-HSA-165047,R-HSA-165055,R-HSA-165552,Input,OR,0
R-HSA-167072,R-HSA-167083,R-HSA-167086,Input,AND,1
