First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-1008200,R-HSA-1008220,R-HSA-1008206,Positive Regulator,AND,1
R-HSA-1008240,R-HSA-1008200,R-HSA-1008229,Input,AND,1
R-HSA-114552,R-HSA-397891,R-HSA-397884,Input,OR,0
R-HSA-114558,R-HSA-397835,R-HSA-397802,Input,OR,0
R-HSA-114577,R-HSA-114600,R-HSA-434812,Input,OR,0
R-HSA-114600,R-HSA-139842,R-HSA-434822,Input,AND,1
R-HSA-114670,R-HSA-430096,R-HSA-435464,Input,OR,0
R-HSA-114670,R-HSA-430076,R-HSA-435464,Input,OR,0
R-HSA-114670,R-HSA-443418,R-HSA-435464,Input,OR,0
R-HSA-114670,R-HSA-429529,R-HSA-435464,Input,OR,0
R-HSA-114671,R-HSA-114670,R-HSA-114596,Input,AND,1
R-HSA-139842,R-HSA-453200,R-HSA-434911,Input,OR,0
R-HSA-139842,R-HSA-437118,R-HSA-434911,Input,OR,0
R-HSA-139941,R-HSA-139854,R-HSA-139839,Catalyst,AND,1
R-HSA-140599,R-HSA-140847,R-HSA-140789,Input,OR,0
R-HSA-140664,R-HSA-114697,R-HSA-156786,Input,OR,0
R-HSA-140664,R-HSA-429529,R-HSA-156786,Input,OR,0
R-HSA-140664,R-HSA-158419,R-HSA-156786,Input,OR,0
R-HSA-140664,R-HSA-158137,R-HSA-156786,Input,OR,0
R-HSA-140664,R-HSA-5578883,R-HSA-156786,Input,OR,0
R-HSA-140664,R-HSA-140696,R-HSA-156786,Input,OR,0
R-HSA-140664,R-HSA-140840,R-HSA-156786,Input,OR,0
R-HSA-140664,R-HSA-141046,R-HSA-156786,Input,OR,0
R-HSA-140664,R-HSA-140599,R-HSA-156786,Input,OR,0
R-HSA-140664,R-HSA-140791,R-HSA-156786,Input,OR,0
R-HSA-140686,R-HSA-140664,R-HSA-140662,Input,AND,1
R-HSA-140696,R-HSA-140686,R-HSA-140692,Input,OR,0
R-HSA-140696,R-HSA-141026,R-HSA-140692,Input,OR,0
R-HSA-140700,R-HSA-114697,R-HSA-156786,Input,OR,0
R-HSA-140700,R-HSA-429529,R-HSA-156786,Input,OR,0
R-HSA-140700,R-HSA-158419,R-HSA-156786,Input,OR,0
R-HSA-140700,R-HSA-158137,R-HSA-156786,Input,OR,0
R-HSA-140700,R-HSA-5578883,R-HSA-156786,Input,OR,0
R-HSA-140700,R-HSA-140696,R-HSA-156786,Input,OR,0
R-HSA-140700,R-HSA-140840,R-HSA-156786,Input,OR,0
R-HSA-140700,R-HSA-141046,R-HSA-156786,Input,OR,0
R-HSA-140700,R-HSA-140599,R-HSA-156786,Input,OR,0
R-HSA-140700,R-HSA-140791,R-HSA-156786,Input,OR,0
R-HSA-140736,R-HSA-140769,R-HSA-140689,Input,OR,0
R-HSA-140736,R-HSA-140825,R-HSA-140689,Input,OR,0
R-HSA-140736,R-HSA-140686,R-HSA-140689,Input,OR,0
R-HSA-140748,R-HSA-140736,R-HSA-140734,Input,AND,1
R-HSA-140748,R-HSA-140823,R-HSA-140734,Input,AND,1
R-HSA-140748,R-HSA-140825,R-HSA-140734,Input,AND,1
R-HSA-140761,R-HSA-140783,R-HSA-140704,Input,OR,0
R-HSA-140761,R-HSA-140748,R-HSA-140704,Input,OR,0
R-HSA-140769,R-HSA-140748,R-HSA-140751,Input,AND,1
R-HSA-140777,R-HSA-140769,R-HSA-140689,Input,OR,0
R-HSA-140777,R-HSA-140825,R-HSA-140689,Input,OR,0
R-HSA-140777,R-HSA-140686,R-HSA-140689,Input,OR,0
R-HSA-140783,R-HSA-140777,R-HSA-140775,Catalyst,AND,1
