First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-1006169,R-HSA-981728,R-HSA-1006173,Positive Regulator,AND,1
R-HSA-1006169,R-HSA-977363,R-HSA-1006173,Positive Regulator,AND,1
R-HSA-1015699,R-HSA-1015702,R-HSA-1015697,Positive Regulator,AND,1
R-HSA-1015702,R-HSA-8985201,R-HSA-1015684,Input,AND,1
R-HSA-1015702,R-HSA-1169397,R-HSA-936552,Input,OR,0
R-HSA-1015702,R-HSA-1169399,R-HSA-936552,Input,OR,0
R-HSA-1015702,R-HSA-1169307,R-HSA-936552,Input,OR,0
R-HSA-1028815,R-HSA-1028812,R-HSA-1027359,Positive Regulator,AND,1
R-HSA-1028816,R-HSA-1028820,R-HSA-1027365,Input,AND,1
R-HSA-1028816,R-HSA-1028817,R-HSA-177675,Input,OR,0
R-HSA-1028816,R-HSA-3134883,R-HSA-177675,Input,OR,0
R-HSA-1028816,R-HSA-933536,R-HSA-450306,Input,AND,1
R-HSA-1028817,R-HSA-1028815,R-HSA-1027364,Input,AND,1
R-HSA-1028819,R-HSA-9604499,R-HSA-1027368,Positive Regulator,AND,1
R-HSA-1028821,R-HSA-933531,R-HSA-450344,Input,OR,0
R-HSA-1028821,R-HSA-1028816,R-HSA-450344,Input,OR,0
R-HSA-1028821,R-HSA-9604487,R-HSA-450344,Input,OR,0
R-HSA-1028821,R-HSA-1028816,R-HSA-1027367,Input,OR,0
R-HSA-1028821,R-HSA-1028816,R-HSA-166272,Input,OR,0
R-HSA-1028821,R-HSA-2032396,R-HSA-166272,Input,OR,0
R-HSA-1031713,R-HSA-1031716,R-HSA-1031710,Positive Regulator,AND,1
R-HSA-1031716,R-HSA-983146,R-HSA-983063,Input,OR,0
R-HSA-1031716,R-HSA-2213240,R-HSA-1031704,Catalyst,AND,1
R-HSA-1031716,R-HSA-8856157,R-HSA-2213189,Input,AND,1
R-HSA-1067640,R-HSA-1067676,R-HSA-1067687,Input,OR,0
R-HSA-1067640,R-HSA-1067651,R-HSA-1067687,Input,OR,0
R-HSA-1067646,R-HSA-1067651,R-HSA-1067690,Input,OR,0
R-HSA-1067646,R-HSA-1067688,R-HSA-1067690,Input,OR,0
R-HSA-1067646,R-HSA-6783530,R-HSA-1067690,Input,OR,0
R-HSA-1067646,R-HSA-449976,R-HSA-1067690,Input,OR,0
R-HSA-1067646,R-HSA-448427,R-HSA-1067690,Input,OR,0
R-HSA-1067646,R-HSA-6809140,R-HSA-1067690,Input,OR,0
R-HSA-1067646,R-HSA-8983518,R-HSA-1067690,Input,OR,0
R-HSA-1067659,R-HSA-1112514,R-HSA-1112588,Input,OR,0
R-HSA-1067667,R-HSA-1067688,R-HSA-1067638,Input,AND,1
R-HSA-1067676,R-HSA-1067651,R-HSA-1067674,Negative Regulator,AND,-1
R-HSA-109700,R-HSA-109702,R-HSA-109696,Input,OR,0
R-HSA-109701,R-HSA-109702,R-HSA-109697,Catalyst,AND,1
R-HSA-109702,R-HSA-162363,R-HSA-162387,Catalyst,AND,1
