First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-111237,R-HSA-75090,R-HSA-111236,Input,AND,1
R-HSA-111237,R-HSA-77614,R-HSA-111236,Input,AND,1
R-HSA-111238,R-HSA-77613,R-HSA-111235,Input,AND,1
R-HSA-111238,R-HSA-77615,R-HSA-111235,Input,AND,1
R-HSA-111437,R-HSA-111439,R-HSA-156959,Input,OR,0
R-HSA-111437,R-HSA-77585,R-HSA-110765,Input,OR,0
R-HSA-111437,R-HSA-111438,R-HSA-110765,Input,OR,0
R-HSA-111438,R-HSA-111437,R-HSA-112045,Input,OR,0
R-HSA-111439,R-HSA-158481,R-HSA-158479,Input,AND,1
R-HSA-111439,R-HSA-77095,R-HSA-77088,Input,AND,1
R-HSA-156661,R-HSA-72160,R-HSA-156656,Input,OR,0
R-HSA-158441,R-HSA-158447,R-HSA-158442,Input,OR,0
R-HSA-158481,R-HSA-158484,R-HSA-158480,Input,OR,0
R-HSA-159046,R-HSA-159050,R-HSA-159045,Input,OR,0
R-HSA-159101,R-HSA-75096,R-HSA-159100,Input,OR,0
R-HSA-191763,R-HSA-191830,R-HSA-191778,Input,OR,0
R-HSA-191784,R-HSA-191763,R-HSA-191891,Input,AND,1
R-HSA-191786,R-HSA-191784,R-HSA-191813,Input,AND,1
R-HSA-191790,R-HSA-191786,R-HSA-191791,Input,AND,1
R-HSA-191825,R-HSA-191786,R-HSA-191853,Input,AND,1
R-HSA-191830,R-HSA-191763,R-HSA-191857,Input,AND,1
R-HSA-429845,R-HSA-429978,R-HSA-430001,Input,AND,1
R-HSA-429860,R-HSA-429845,R-HSA-429996,Input,OR,0
R-HSA-429955,R-HSA-450551,R-HSA-72584,Input,AND,1
R-HSA-429955,R-HSA-158484,R-HSA-72578,Input,OR,0
R-HSA-429955,R-HSA-159050,R-HSA-72578,Input,OR,0
R-HSA-429955,R-HSA-158447,R-HSA-72578,Input,OR,0
R-HSA-429955,R-HSA-450551,R-HSA-156803,Input,AND,1
R-HSA-429955,R-HSA-430028,R-ALL-429974,Input,OR,0
R-HSA-429955,R-HSA-429978,R-ALL-429974,Input,OR,0
R-HSA-429978,R-HSA-429860,R-HSA-429908,Input,OR,0
R-HSA-429992,R-HSA-450551,R-HSA-72584,Input,AND,1
R-HSA-429992,R-HSA-158484,R-HSA-72578,Input,OR,0
R-HSA-429992,R-HSA-159050,R-HSA-72578,Input,OR,0
R-HSA-429992,R-HSA-158447,R-HSA-72578,Input,OR,0
R-HSA-429992,R-HSA-450551,R-HSA-156803,Input,AND,1
R-HSA-429992,R-HSA-430028,R-ALL-429974,Input,OR,0
R-HSA-429992,R-HSA-429978,R-ALL-429974,Input,OR,0
R-HSA-430021,R-HSA-429955,R-HSA-429989,Input,OR,0
R-HSA-430021,R-HSA-8941312,R-HSA-429989,Input,OR,0
R-HSA-430021,R-HSA-429992,R-HSA-429989,Input,OR,0
R-HSA-430028,R-HSA-429961,R-ALL-429926,Input,OR,0
R-HSA-450387,R-HSA-450595,R-HSA-450537,Input,OR,0
R-HSA-450400,R-HSA-450431,R-HSA-450365,Input,OR,0
R-HSA-450400,R-HSA-450463,R-HSA-450365,Input,OR,0
R-HSA-450434,R-HSA-450551,R-HSA-450598,Input,AND,1
R-HSA-450463,R-HSA-450394,R-HSA-450541,Input,AND,1
R-HSA-450474,R-HSA-482788,R-HSA-450502,Input,AND,1
R-HSA-450490,R-HSA-450406,R-HSA-450378,Input,AND,1
R-HSA-450499,R-HSA-450620,R-HSA-450505,Input,AND,1
R-HSA-450517,R-HSA-450490,R-HSA-450589,Input,OR,0
R-HSA-450517,R-HSA-450474,R-HSA-450589,Input,OR,0
R-HSA-450517,R-HSA-450488,R-HSA-450589,Input,OR,0
R-HSA-450533,R-HSA-517705,R-HSA-450532,Input,AND,1
R-HSA-450550,R-HSA-517674,R-HSA-450576,Input,AND,1
R-HSA-450551,R-HSA-450580,R-HSA-450623,Input,AND,1
R-HSA-450580,R-HSA-450466,R-HSA-450458,Input,AND,1
R-HSA-450592,R-HSA-450422,R-HSA-450608,Input,AND,1
R-HSA-5696813,R-HSA-5696816,R-HSA-5696797,Input,OR,0
R-HSA-5696813,R-HSA-5696816,R-HSA-5696785,Input,OR,0
R-HSA-6782879,R-HSA-6782881,R-HSA-6782871,Input,OR,0
R-HSA-6782879,R-HSA-6783455,R-HSA-6782871,Input,OR,0
R-HSA-6782881,R-HSA-6782890,R-HSA-6782864,Input,OR,0
R-HSA-6782893,R-HSA-6782879,R-HSA-6782880,Input,OR,0
R-HSA-6782895,R-HSA-6782893,R-HSA-6782898,Input,OR,0
R-HSA-6783455,R-HSA-6783473,R-HSA-6783496,Input,OR,0
R-HSA-6785478,R-HSA-6783483,R-HSA-6783450,Input,OR,0
R-HSA-6785722,R-HSA-6793127,R-HSA-6792998,Input,OR,0
R-HSA-6785722,R-HSA-6793122,R-HSA-6792998,Input,OR,0
R-HSA-6785722,R-HSA-6793096,R-HSA-6792998,Input,OR,0
R-HSA-6785722,R-HSA-6793057,R-HSA-6792974,Input,OR,0
R-HSA-6785722,R-HSA-6793066,R-HSA-6792974,Input,OR,0
R-HSA-6790905,R-HSA-6790906,R-HSA-6790694,Input,OR,0
R-HSA-6790982,R-HSA-6790994,R-HSA-6790998,Input,OR,0
R-HSA-6791219,R-HSA-6791218,R-HSA-6791568,Input,OR,0
R-HSA-6791221,R-HSA-6791222,R-HSA-6791199,Input,OR,0
R-HSA-6791223,R-HSA-6791223,R-HSA-380315,Requirem Regulator,AND,0
R-HSA-6791223,R-HSA-6791223,R-HSA-205877,Requirem Regulator,AND,0
R-HSA-6791223,R-HSA-6791223,R-HSA-6791522,Input,OR,0
R-HSA-6791223,R-HSA-6791223,R-HSA-6791524,Catalyst,AND,1
R-HSA-6791227,R-HSA-6791228,R-HSA-6791211,Input,OR,0
R-HSA-6791228,R-HSA-6791221,R-HSA-6791185,Input,OR,0
R-HSA-72095,R-HSA-72103,R-HSA-71954,Input,OR,0
R-HSA-72095,R-HSA-75080,R-HSA-71954,Input,OR,0
R-HSA-72103,R-HSA-72107,R-HSA-71955,Input,AND,1
R-HSA-72107,R-HSA-72124,R-HSA-72057,Input,OR,0
R-HSA-72124,R-HSA-72107,R-HSA-8865928,Input,AND,1
R-HSA-72124,R-HSA-72127,R-HSA-72068,Input,OR,0
R-HSA-72127,R-HSA-72107,R-HSA-8867890,Input,AND,1
R-HSA-72127,R-HSA-72130,R-HSA-72069,Input,OR,0
R-HSA-72130,R-HSA-72127,R-HSA-8867897,Input,OR,0
R-HSA-72130,R-HSA-72107,R-HSA-71917,Input,AND,1
R-HSA-72130,R-HSA-72139,R-HSA-72074,Input,OR,0
R-HSA-72130,R-HSA-72124,R-HSA-8867895,Input,OR,0
R-HSA-72139,R-HSA-72130,R-HSA-8867885,Input,OR,0
R-HSA-72139,R-HSA-72143,R-HSA-72022,Input,AND,1
R-HSA-72143,R-HSA-156661,R-HSA-77505,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71935,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71933,Input,AND,1
R-HSA-72160,R-HSA-8849157,R-HSA-72157,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71931,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71927,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71925,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71921,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71919,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71951,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71949,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71947,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71945,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71943,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71941,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71939,Input,AND,1
R-HSA-72160,R-HSA-72103,R-HSA-71937,Input,AND,1
R-HSA-72180,R-HSA-72231,R-HSA-72015,Input,OR,0
R-HSA-72180,R-HSA-77591,R-HSA-72015,Input,OR,0
R-HSA-72180,R-HSA-72231,R-HSA-72006,Input,OR,0
R-HSA-72180,R-HSA-77590,R-HSA-72006,Input,OR,0
R-HSA-72180,R-HSA-72231,R-HSA-72020,Input,OR,0
R-HSA-72180,R-HSA-77591,R-HSA-72020,Input,OR,0
R-HSA-72180,R-HSA-72185,R-HSA-72177,Input,OR,0
R-HSA-72185,R-HSA-72185,R-HSA-71997,Input,OR,0
R-HSA-72185,R-HSA-72231,R-HSA-71997,Input,OR,0
R-HSA-72185,R-HSA-77591,R-HSA-71997,Input,OR,0
R-HSA-72185,R-HSA-72231,R-HSA-71995,Input,OR,0
R-HSA-72185,R-HSA-77589,R-HSA-71995,Input,OR,0
R-HSA-72185,R-HSA-72231,R-HSA-72008,Input,OR,0
R-HSA-72185,R-HSA-77591,R-HSA-72008,Input,OR,0
R-HSA-72185,R-HSA-159101,R-HSA-156769,Input,OR,0
R-HSA-72231,R-HSA-72130,R-HSA-72021,Input,OR,0
