First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-1017228,R-HSA-535717,R-HSA-532672,Input,AND,1
R-HSA-1022127,R-HSA-8853379,R-HSA-8866894,Input,OR,0
R-HSA-1022127,R-HSA-8850594,R-HSA-8866894,Input,OR,0
R-HSA-141671,R-HSA-5691512,R-ALL-5691496,Input,OR,0
R-HSA-141673,R-HSA-141671,R-HSA-143381,Input,OR,0
R-HSA-141691,R-HSA-141673,R-HSA-143397,Input,OR,0
R-HSA-156808,R-HSA-72673,R-HSA-72557,Input,OR,0
R-HSA-156808,R-HSA-72676,R-HSA-72557,Input,OR,0
R-HSA-156808,R-HSA-156808,R-HSA-72557,Input,OR,0
R-HSA-156808,R-HSA-157849,R-HSA-72557,Input,OR,0
R-HSA-156808,R-HSA-72697,R-HSA-72557,Input,OR,0
R-HSA-156808,R-HSA-156823,R-HSA-156804,Input,AND,1
R-HSA-156826,R-HSA-156832,R-HSA-72412,Input,OR,0
R-HSA-156832,R-HSA-156823,R-HSA-156829,Input,AND,1
R-HSA-156907,R-HSA-156923,R-HSA-156903,Input,OR,0
R-HSA-156908,R-HSA-156915,R-HSA-156911,Input,OR,0
R-HSA-156908,R-HSA-156907,R-HSA-156911,Input,OR,0
R-HSA-156909,R-HSA-156908,R-HSA-156921,Input,AND,1
R-HSA-156910,R-HSA-156913,R-HSA-156920,Input,OR,0
R-HSA-156912,R-HSA-156915,R-HSA-156927,Input,OR,0
R-HSA-156913,R-HSA-156908,R-HSA-156921,Input,AND,1
R-HSA-156915,R-HSA-156913,R-HSA-156929,Input,OR,0
R-HSA-156915,R-HSA-141691,R-HSA-141952,Input,AND,1
R-HSA-156923,R-HSA-156912,R-HSA-72506,Input,AND,1
R-HSA-156923,R-HSA-156913,R-HSA-156929,Input,OR,0
R-HSA-156930,R-HSA-156915,R-HSA-156916,Input,OR,0
R-HSA-157849,R-HSA-72673,R-HSA-72557,Input,OR,0
R-HSA-157849,R-HSA-72676,R-HSA-72557,Input,OR,0
R-HSA-157849,R-HSA-156808,R-HSA-72557,Input,OR,0
R-HSA-157849,R-HSA-157849,R-HSA-72557,Input,OR,0
R-HSA-157849,R-HSA-72697,R-HSA-72557,Input,OR,0
R-HSA-157849,R-HSA-72621,R-HSA-72592,Input,OR,0
R-HSA-159729,R-HSA-159773,R-HSA-159850,Input,OR,0
R-HSA-159752,R-HSA-159729,R-HSA-159770,Input,AND,1
R-HSA-159757,R-HSA-159733,R-HSA-159744,Input,OR,0
R-HSA-159761,R-HSA-159783,R-HSA-159722,Input,AND,1
R-HSA-159762,R-HSA-159771,R-HSA-159731,Input,OR,0
R-HSA-159783,R-HSA-159868,R-HSA-159767,Input,OR,0
R-HSA-159795,R-HSA-159762,R-HSA-159772,Input,AND,1
R-HSA-159803,R-HSA-159836,R-HSA-159866,Input,AND,1
R-HSA-159819,R-HSA-159757,R-HSA-159734,Input,AND,1
R-HSA-159826,R-HSA-159843,R-HSA-159800,Input,AND,1
