First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-111285,R-HSA-111289,R-HSA-73789,Input,AND,1
R-HSA-111289,R-HSA-111285,R-HSA-73790,Input,OR,0
R-HSA-111289,R-HSA-73815,R-HSA-73790,Input,OR,0
R-HSA-111742,R-HSA-111746,R-HSA-111740,Input,OR,0
R-HSA-111746,R-HSA-111742,R-HSA-55729,Input,OR,0
R-HSA-111746,R-HSA-8866405,R-HSA-55729,Input,OR,0
R-HSA-111751,R-HSA-73646,R-HSA-73668,Input,OR,0
R-HSA-111804,R-HSA-73646,R-HSA-73668,Input,OR,0
R-HSA-1362416,R-HSA-1362408,R-HSA-1362401,Input,OR,0
R-HSA-1474158,R-HSA-1474146,R-HSA-1474149,Negative Regulator,AND,-1
R-HSA-1475422,R-HSA-1474184,R-HSA-1475058,Catalyst,AND,1
R-HSA-1483087,R-HSA-1483211,R-HSA-1524122,Input,OR,0
R-HSA-1483211,R-HSA-1483219,R-HSA-1524110,Input,OR,0
R-HSA-1483219,R-HSA-1483229,R-HSA-1524117,Input,OR,0
R-HSA-1483229,R-HSA-1483087,R-HSA-1524150,Input,OR,0
R-HSA-1497784,R-HSA-202127,R-HSA-1497830,Input,OR,0
R-HSA-1497784,R-HSA-1497796,R-HSA-1497830,Input,OR,0
R-HSA-1497796,R-HSA-1497810,R-HSA-1497889,Catalyst,AND,1
R-HSA-1497853,R-HSA-1497869,R-HSA-1497817,Catalyst,AND,1
R-HSA-1497853,R-HSA-1475414,R-HSA-1497817,Catalyst,AND,1
R-HSA-158832,R-HSA-174967,R-HSA-158833,Input,OR,0
R-HSA-1605595,R-HSA-1605717,R-HSA-1605614,Input,AND,1
R-HSA-1605717,R-HSA-1605595,R-HSA-1605600,Input,OR,0
R-HSA-1614665,R-HSA-1614618,R-HSA-1614576,Input,OR,0
R-HSA-1614665,R-HSA-1614605,R-HSA-1614576,Input,OR,0
R-HSA-163213,R-HSA-70994,R-HSA-70990,Catalyst,AND,1
R-HSA-163214,R-HSA-164651,R-HSA-352607,Input,OR,0
R-HSA-163416,R-HSA-163489,R-HSA-162472,Input,OR,0
R-HSA-163416,R-HSA-163602,R-HSA-162472,Input,OR,0
R-HSA-163418,R-HSA-163568,R-HSA-163561,Input,OR,0
R-HSA-163489,R-HSA-163416,R-HSA-162503,Input,OR,0
R-HSA-163539,R-HSA-163418,R-HSA-163460,Input,OR,0
R-HSA-163549,R-HSA-163402,R-HSA-163535,Catalyst,AND,1
R-HSA-163549,R-HSA-163432,R-HSA-163535,Catalyst,AND,1
R-HSA-163549,R-HSA-163551,R-HSA-163535,Catalyst,AND,1
R-HSA-163554,R-HSA-163549,R-HSA-163435,Input,AND,1
R-HSA-163568,R-HSA-163418,R-HSA-163460,Input,OR,0
R-HSA-163602,R-HSA-163554,R-HSA-163513,Input,AND,1
R-HSA-163617,R-HSA-164377,R-HSA-163622,Catalyst,AND,1
R-HSA-163625,R-HSA-825631,R-HSA-163627,Catalyst,AND,1
R-HSA-163664,R-HSA-164151,R-HSA-163747,Input,OR,0
R-HSA-163666,R-HSA-163770,R-HSA-163700,Positive Regulator,AND,1
R-HSA-163670,R-HSA-163688,R-HSA-164349,Input,OR,0
R-HSA-163670,R-HSA-164423,R-HSA-164349,Input,OR,0
R-HSA-163672,R-HSA-163688,R-HSA-164349,Input,OR,0
R-HSA-163672,R-HSA-164423,R-HSA-164349,Input,OR,0
R-HSA-163676,R-HSA-163689,R-HSA-164351,Input,OR,0
R-HSA-163688,R-HSA-163691,R-HSA-163683,Input,OR,0
R-HSA-163688,R-HSA-163666,R-HSA-163683,Input,OR,0
R-HSA-163688,R-HSA-163672,R-HSA-163683,Input,OR,0
R-HSA-163689,R-HSA-163670,R-HSA-164365,Input,OR,0
R-HSA-163689,R-HSA-163676,R-HSA-164365,Input,OR,0
R-HSA-163691,R-HSA-164056,R-HSA-163687,Input,OR,0
R-HSA-163750,R-HSA-163773,R-HSA-71786,Input,OR,0
R-HSA-163756,R-HSA-75872,R-HSA-77380,Catalyst,AND,1
R-HSA-163769,R-HSA-163750,R-HSA-165961,Catalyst,AND,1
R-HSA-163769,R-HSA-163689,R-HSA-165961,Catalyst,AND,1
R-HSA-163770,R-HSA-75848,R-HSA-76188,Catalyst,AND,1
R-HSA-163773,R-HSA-163750,R-HSA-163745,Input,OR,0
R-HSA-163773,R-HSA-70262,R-HSA-163745,Input,OR,0
R-HSA-164056,R-HSA-163691,R-HSA-163683,Input,OR,0
R-HSA-164056,R-HSA-163666,R-HSA-163683,Input,OR,0
R-HSA-164056,R-HSA-163672,R-HSA-163683,Input,OR,0
R-HSA-164151,R-HSA-163691,R-HSA-163736,Catalyst,AND,1
R-HSA-164423,R-HSA-163670,R-HSA-164365,Input,OR,0
R-HSA-164423,R-HSA-163676,R-HSA-164365,Input,OR,0
R-HSA-164651,R-HSA-163214,R-HSA-352609,Input,OR,0
R-HSA-164832,R-HSA-164834,R-HSA-164835,Input,OR,0
R-HSA-164834,R-HSA-164840,R-HSA-74186,Input,AND,1
