First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-1013012,R-HSA-1013020,R-HSA-1013011,Catalyst,AND,1
R-HSA-1013013,R-HSA-1013012,R-HSA-1013017,Input,OR,0
R-HSA-111913,R-HSA-9619125,R-HSA-112281,Input,OR,0
R-HSA-111915,R-HSA-111912,R-HSA-111904,Catalyst,AND,1
R-HSA-112282,R-HSA-111913,R-HSA-112280,Input,AND,1
R-HSA-1297444,R-HSA-1296043,R-HSA-1297435,Catalyst,AND,1
R-HSA-170671,R-HSA-170666,R-HSA-170683,Input,OR,0
R-HSA-170671,R-HSA-170686,R-HSA-170683,Input,OR,0
R-HSA-170674,R-HSA-392206,R-HSA-170665,Input,AND,1
R-HSA-170686,R-HSA-170674,R-HSA-170656,Input,OR,0
R-HSA-210426,R-HSA-210430,R-HSA-210458,Input,OR,0
R-HSA-210430,R-HSA-374922,R-HSA-210374,Input,OR,0
R-HSA-210430,R-HSA-372505,R-HSA-210374,Input,OR,0
R-HSA-210430,R-HSA-380905,R-HSA-210374,Input,OR,0
R-HSA-210430,R-HSA-210426,R-HSA-210374,Input,OR,0
R-HSA-210430,R-HSA-380574,R-HSA-210374,Input,OR,0
R-HSA-210430,R-HSA-917744,R-HSA-210385,Input,OR,0
R-HSA-210430,R-HSA-374922,R-HSA-210385,Input,OR,0
R-HSA-210430,R-HSA-372505,R-HSA-210385,Input,OR,0
R-HSA-210430,R-HSA-380905,R-HSA-210385,Input,OR,0
R-HSA-210430,R-HSA-210426,R-HSA-210385,Input,OR,0
R-HSA-210430,R-HSA-380574,R-HSA-210385,Input,OR,0
R-HSA-210430,R-HSA-917744,R-HSA-210514,Input,OR,0
R-HSA-210430,R-HSA-374922,R-HSA-210514,Input,OR,0
R-HSA-210430,R-HSA-372505,R-HSA-210514,Input,OR,0
R-HSA-210430,R-HSA-380905,R-HSA-210514,Input,OR,0
R-HSA-210430,R-HSA-210426,R-HSA-210514,Input,OR,0
R-HSA-210430,R-HSA-380574,R-HSA-210514,Input,OR,0
R-HSA-210444,R-HSA-210426,R-HSA-210380,Input,AND,1
