First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-114252,R-HSA-211219,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-202947,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-201603,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-202967,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-202966,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-201622,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-201608,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-201629,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-351877,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-351876,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-202917,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-201636,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-202939,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-201595,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-202969,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-351871,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-201631,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-351913,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-201611,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-212552,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-201640,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-351849,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-202960,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-201630,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-350651,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-211651,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-9627104,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-418852,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-418846,R-HSA-350870,Input,OR,0
R-HSA-114252,R-HSA-373705,R-HSA-350870,Input,OR,0
R-HSA-114254,R-HSA-114256,R-HSA-6804555,Input,OR,0
R-HSA-114256,R-HSA-9627056,R-HSA-6804619,Input,OR,0
R-HSA-114256,R-HSA-6804596,R-HSA-6804619,Input,OR,0
R-HSA-114256,R-HSA-9627089,R-HSA-6804619,Input,OR,0
R-HSA-114259,R-HSA-114261,R-HSA-114258,Input,OR,0
R-HSA-114259,R-HSA-114252,R-HSA-114258,Input,OR,0
R-HSA-114259,R-HSA-9627078,R-HSA-114258,Input,OR,0
R-HSA-114261,R-HSA-201634,R-HSA-141643,Input,OR,0
R-HSA-114261,R-HSA-9029680,R-HSA-141643,Input,OR,0
R-HSA-114261,R-HSA-9627107,R-HSA-141643,Input,OR,0
R-HSA-114264,R-HSA-114275,R-HSA-139949,Input,AND,1
R-HSA-114284,R-HSA-114254,R-HSA-53259,Input,OR,0
R-HSA-114306,R-HSA-9627104,R-HSA-114305,Input,OR,0
R-HSA-114306,R-HSA-114419,R-HSA-114305,Input,OR,0
R-HSA-114307,R-HSA-9627106,R-HSA-114298,Input,AND,1
R-HSA-114352,R-HSA-139897,R-HSA-114339,Input,OR,0
R-HSA-114354,R-HSA-114392,R-HSA-114353,Input,OR,0
R-HSA-114361,R-HSA-114440,R-HSA-114318,Input,OR,0
R-HSA-114392,R-HSA-201634,R-HSA-141643,Input,OR,0
R-HSA-114392,R-HSA-9029680,R-HSA-141643,Input,OR,0
R-HSA-114392,R-HSA-9627107,R-HSA-141643,Input,OR,0
R-HSA-114419,R-HSA-211219,R-HSA-350870,Input,OR,0
R-HSA-114419,R-HSA-202947,R-HSA-350870,Input,OR,0
