First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-1299475,R-HSA-1299487,R-HSA-1252242,Input,OR,0
R-HSA-1299475,R-HSA-1299480,R-HSA-1252242,Input,OR,0
R-HSA-1299476,R-HSA-1299482,R-HSA-1299469,Input,OR,0
R-HSA-1299478,R-HSA-1299475,R-HSA-1299474,Input,OR,0
R-HSA-1299480,R-HSA-1299478,R-HSA-1299462,Input,OR,0
R-HSA-1299481,R-HSA-1955380,R-HSA-1955377,Input,AND,1
R-HSA-1299482,R-HSA-1299487,R-HSA-1252242,Input,OR,0
R-HSA-1299482,R-HSA-1299480,R-HSA-1252242,Input,OR,0
R-HSA-1299487,R-HSA-1299476,R-HSA-1299473,Input,OR,0
R-HSA-8953917,R-HSA-8953946,R-HSA-8953942,Input,OR,0
R-HSA-8953946,R-HSA-9033533,R-HSA-9033528,Input,AND,1
R-HSA-9033232,R-HSA-9033240,R-HSA-9033142,Input,AND,1
R-HSA-9033233,R-HSA-9033236,R-HSA-9033153,Input,AND,1
R-HSA-9033235,R-HSA-8953917,R-HSA-9033091,Input,AND,1
R-HSA-9033236,R-HSA-9033235,R-HSA-9033114,Input,OR,0
R-HSA-9033238,R-HSA-9033514,R-HSA-9033117,Input,OR,0
R-HSA-9033240,R-HSA-9033238,R-HSA-9033115,Input,AND,1
R-HSA-9033478,R-HSA-9033526,R-HSA-870499,Input,OR,0
R-HSA-9033478,R-HSA-9033509,R-HSA-870499,Input,OR,0
R-HSA-9033485,R-HSA-9033516,R-HSA-9033497,Input,AND,1
R-HSA-9033491,R-HSA-9033526,R-HSA-870499,Input,OR,0
R-HSA-9033491,R-HSA-9033509,R-HSA-870499,Input,OR,0
R-HSA-9033491,R-HSA-9033240,R-HSA-9033103,Input,OR,0
R-HSA-9033499,R-HSA-9033238,R-HSA-9033606,Input,OR,0
R-HSA-9033499,R-HSA-9033236,R-HSA-9033606,Input,OR,0
R-HSA-9033499,R-HSA-9033533,R-HSA-9033138,Input,OR,0
R-HSA-9033499,R-HSA-9033516,R-HSA-9033138,Input,OR,0
R-HSA-9033499,R-HSA-9033232,R-HSA-9033107,Input,AND,1
R-HSA-9033499,R-HSA-9033509,R-HSA-9033504,Input,AND,1
R-HSA-9033499,R-HSA-9033533,R-HSA-9033100,Input,OR,0
R-HSA-9033499,R-HSA-9033516,R-HSA-9033100,Input,OR,0
R-HSA-9033505,R-HSA-9033238,R-HSA-9033606,Input,OR,0
R-HSA-9033505,R-HSA-9033236,R-HSA-9033606,Input,OR,0
R-HSA-9033505,R-HSA-9033533,R-HSA-9033138,Input,OR,0
R-HSA-9033505,R-HSA-9033516,R-HSA-9033138,Input,OR,0
R-HSA-9033505,R-HSA-9033533,R-HSA-9033100,Input,OR,0
