First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-1297354,R-HSA-1297333,R-HSA-1297342,Input,AND,1
R-HSA-1297354,R-HSA-1297333,R-HSA-1297304,Input,AND,1
R-HSA-2534388,R-HSA-2534359,R-HSA-2534353,Catalyst,AND,1
R-HSA-9023941,R-HSA-9023943,R-HSA-9023945,Input,OR,0
R-HSA-9023943,R-HSA-912503,R-ALL-75156,Input,OR,0
R-HSA-912363,R-HSA-1214188,R-HSA-912415,Catalyst,AND,1
R-HSA-912368,R-HSA-9023941,R-HSA-912365,Input,AND,1
R-HSA-912389,R-HSA-912505,R-HSA-912338,Input,OR,0
R-HSA-912389,R-HSA-912408,R-HSA-912338,Input,OR,0
R-HSA-912429,R-HSA-912503,R-HSA-68462,Input,OR,0
R-HSA-912429,R-HSA-912496,R-HSA-912435,Input,OR,0
R-HSA-912429,R-HSA-912496,R-HSA-912455,Input,OR,0
R-HSA-912429,R-HSA-912496,R-HSA-912452,Input,OR,0
R-HSA-912429,R-HSA-912503,R-HSA-50951,Input,OR,0
R-HSA-912429,R-HSA-912496,R-HSA-174881,Input,OR,0
R-HSA-912429,R-HSA-912503,R-HSA-113843,Input,OR,0
R-HSA-912450,R-HSA-912470,R-HSA-912463,Catalyst,AND,1
R-HSA-912458,R-HSA-912496,R-HSA-912484,Input,OR,0
R-HSA-912467,R-HSA-912450,R-HSA-912476,Input,AND,1
R-HSA-912496,R-HSA-912503,R-HSA-62637,Input,OR,0
R-HSA-912496,R-HSA-912503,R-HSA-912490,Input,OR,0
R-HSA-912496,R-HSA-912429,R-HSA-912428,Input,OR,0
R-HSA-912503,R-HSA-912458,R-HSA-912507,Input,AND,1
