First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-109700,R-HSA-109702,R-HSA-109696,Input,OR,0
R-HSA-109701,R-HSA-109702,R-HSA-109697,Catalyst,AND,1
R-HSA-109702,R-HSA-162363,R-HSA-162387,Catalyst,AND,1
R-HSA-109702,R-HSA-165162,R-HSA-162387,Catalyst,AND,1
R-HSA-109702,R-HSA-165182,R-HSA-162387,Catalyst,AND,1
R-HSA-109807,R-HSA-170986,R-HSA-109783,Input,OR,0
R-HSA-109807,R-HSA-5672950,R-HSA-109783,Input,OR,0
R-HSA-109807,R-HSA-9658253,R-HSA-109783,Input,OR,0
R-HSA-109807,R-HSA-5658435,R-HSA-109783,Input,OR,0
R-HSA-109807,R-HSA-9649736,R-HSA-109783,Input,OR,0
R-HSA-109807,R-HSA-5674018,R-HSA-109783,Input,OR,0
R-HSA-109807,R-HSA-8981355,R-HSA-109783,Input,OR,0
R-HSA-109813,R-HSA-205286,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-1250486,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-1306969,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-1250488,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-74746,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-74736,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-5686073,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-8851804,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-8851900,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-1250380,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-9036949,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-9032073,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-9028328,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-5685366,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-177936,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-177943,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-5654423,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-5654664,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-5654416,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-5654646,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-5654615,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-5654406,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-5654586,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-5654597,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-186826,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-9029149,R-HSA-109797,Input,OR,0
R-HSA-109813,R-HSA-2179415,R-HSA-109797,Input,OR,0
R-HSA-109817,R-HSA-170986,R-HSA-109783,Input,OR,0
R-HSA-109817,R-HSA-5672950,R-HSA-109783,Input,OR,0
R-HSA-109817,R-HSA-9658253,R-HSA-109783,Input,OR,0
R-HSA-109817,R-HSA-5658435,R-HSA-109783,Input,OR,0
R-HSA-109817,R-HSA-9649736,R-HSA-109783,Input,OR,0
R-HSA-109817,R-HSA-5674018,R-HSA-109783,Input,OR,0
R-HSA-109817,R-HSA-8981355,R-HSA-109783,Input,OR,0
R-HSA-109822,R-HSA-5686074,R-HSA-5686063,Input,OR,0
R-HSA-109823,R-HSA-5686315,R-HSA-5686316,Input,OR,0
R-HSA-109857,R-HSA-109860,R-HSA-109838,Input,OR,0
R-HSA-109858,R-HSA-109862,R-HSA-109849,Input,OR,0
R-HSA-109860,R-HSA-109863,R-HSA-109843,Input,OR,0
R-HSA-109862,R-HSA-109864,R-HSA-109854,Input,OR,0
R-HSA-109863,R-HSA-109857,R-HSA-109837,Input,OR,0
R-HSA-109864,R-HSA-111898,R-HSA-109853,Input,OR,0
R-HSA-109864,R-HSA-109858,R-HSA-109848,Input,AND,1
R-HSA-110011,R-HSA-74740,R-HSA-110010,Negative Regulator,AND,-1
R-HSA-110011,R-HSA-74707,R-HSA-110010,Negative Regulator,AND,-1
R-HSA-111870,R-HSA-112037,R-HSA-111856,Input,OR,0
R-HSA-111870,R-HSA-111879,R-HSA-111856,Input,OR,0
R-HSA-111881,R-HSA-111883,R-HSA-111860,Catalyst,AND,1
R-HSA-111898,R-HSA-111881,R-HSA-111859,Input,AND,1
R-HSA-111912,R-HSA-9620717,R-HSA-111910,Input,OR,0
R-HSA-111912,R-HSA-111916,R-HSA-111910,Input,OR,0
R-HSA-111913,R-HSA-9619125,R-HSA-112281,Input,OR,0
R-HSA-111915,R-HSA-111912,R-HSA-111904,Catalyst,AND,1
R-HSA-111916,R-HSA-9031610,R-HSA-111911,Input,OR,0
R-HSA-111916,R-HSA-9612514,R-HSA-111911,Input,OR,0
R-HSA-111916,R-HSA-9613451,R-HSA-111911,Input,OR,0
R-HSA-111916,R-HSA-2976563,R-HSA-111911,Input,OR,0
R-HSA-111916,R-HSA-9623999,R-HSA-111911,Input,OR,0
R-HSA-111916,R-HSA-9623341,R-HSA-111911,Input,OR,0
R-HSA-111919,R-HSA-9620717,R-HSA-111910,Input,OR,0
R-HSA-111919,R-HSA-111916,R-HSA-111910,Input,OR,0
R-HSA-112037,R-HSA-167433,R-HSA-111864,Input,AND,1
R-HSA-112042,R-HSA-167427,R-HSA-112039,Input,OR,0
