First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-1445144,R-HSA-1445149,R-HSA-1445133,Input,AND,1
R-HSA-1449597,R-HSA-2316352,R-HSA-9605106,Requirem Regulator,AND,1
R-HSA-1454699,R-HSA-1454689,R-HSA-1454673,Input,AND,1
R-HSA-1458485,R-HSA-2255342,R-HSA-1458466,Input,OR,0
R-HSA-190519,R-HSA-190829,R-HSA-196145,Input,AND,1
R-HSA-190520,R-HSA-191737,R-HSA-190556,Input,AND,1
R-HSA-190662,R-HSA-190782,R-HSA-190652,Input,AND,1
R-HSA-190686,R-HSA-190662,R-HSA-190649,Input,AND,1
R-HSA-190693,R-HSA-190681,R-HSA-190656,Input,OR,0
R-HSA-190782,R-HSA-190541,R-HSA-190583,Input,OR,0
R-HSA-190782,R-HSA-190520,R-HSA-190583,Input,OR,0
R-HSA-190788,R-HSA-190790,R-HSA-191068,Input,AND,1
R-HSA-190877,R-HSA-190520,R-HSA-190599,Input,OR,0
R-HSA-190877,R-HSA-2316347,R-HSA-190599,Input,OR,0
R-HSA-191654,R-HSA-191636,R-HSA-191653,Input,OR,0
R-HSA-191737,R-HSA-190877,R-HSA-194780,Input,OR,0
R-HSA-196017,R-HSA-190519,R-HSA-196018,Input,AND,1
R-HSA-196026,R-HSA-196017,R-HSA-196033,Input,AND,1
R-HSA-203973,R-HSA-5694439,R-HSA-5694329,Input,AND,1
R-HSA-203973,R-HSA-5694417,R-HSA-5694307,Input,AND,1
R-HSA-203973,R-HSA-5694417,R-HSA-5694310,Input,AND,1
R-HSA-203977,R-HSA-5694522,R-HSA-204003,Input,OR,0
R-HSA-204008,R-HSA-203973,R-HSA-5694337,Input,OR,0
R-HSA-2168883,R-HSA-2230938,R-HSA-2168879,Input,AND,1
R-HSA-2168885,R-HSA-2168883,R-HSA-2168869,Input,AND,1
R-HSA-2168886,R-HSA-2168897,R-HSA-2168851,Input,AND,1
R-HSA-2168897,R-HSA-2230983,R-HSA-2168892,Input,AND,1
R-HSA-2173778,R-HSA-2507854,R-HSA-2173774,Input,AND,1
R-HSA-2173781,R-HSA-2247510,R-HSA-2173772,Input,AND,1
R-HSA-2187261,R-HSA-2981040,R-HSA-2187245,Input,AND,1
R-HSA-2187264,R-HSA-2247512,R-HSA-2187250,Input,AND,1
R-HSA-2187266,R-HSA-2299677,R-HSA-2187254,Input,AND,1
R-HSA-2197645,R-HSA-2247514,R-HSA-2197638,Input,AND,1
R-HSA-2197770,R-HSA-2247513,R-HSA-2197764,Input,AND,1
R-HSA-2203479,R-HSA-2247511,R-HSA-2203471,Input,AND,1
R-HSA-2203516,R-HSA-2168881,R-HSA-2168855,Input,AND,1
R-HSA-2255342,R-HSA-1458485,R-HSA-1458506,Input,OR,0
R-HSA-2255342,R-HSA-2316349,R-HSA-1458506,Input,OR,0
R-HSA-2316349,R-HSA-2316352,R-HSA-2316344,Input,OR,0
R-HSA-350769,R-HSA-421833,R-HSA-199981,Input,OR,0
R-HSA-350769,R-HSA-432712,R-HSA-199981,Input,OR,0
R-HSA-376357,R-HSA-376357,R-HSA-181519,Input,OR,0
R-HSA-376357,R-HSA-376369,R-HSA-181519,Input,OR,0
R-HSA-376357,R-HSA-376364,R-HSA-181519,Input,OR,0
R-HSA-376357,R-HSA-8863718,R-HSA-376361,Input,AND,1
R-HSA-376357,R-HSA-1449574,R-HSA-376345,Input,OR,0
R-HSA-376357,R-HSA-376357,R-HSA-376345,Input,OR,0
R-HSA-376357,R-HSA-376369,R-HSA-376345,Input,OR,0
R-HSA-376357,R-HSA-376364,R-HSA-376345,Input,OR,0
R-HSA-376364,R-HSA-376357,R-HSA-181519,Input,OR,0
R-HSA-376364,R-HSA-376369,R-HSA-181519,Input,OR,0
R-HSA-376364,R-HSA-376364,R-HSA-181519,Input,OR,0
R-HSA-376364,R-HSA-1449574,R-HSA-376345,Input,OR,0
R-HSA-376364,R-HSA-376357,R-HSA-376345,Input,OR,0
R-HSA-376364,R-HSA-376369,R-HSA-376345,Input,OR,0
R-HSA-376364,R-HSA-376364,R-HSA-376345,Input,OR,0
R-HSA-376369,R-HSA-376357,R-HSA-181519,Input,OR,0
R-HSA-376369,R-HSA-376369,R-HSA-181519,Input,OR,0
R-HSA-376369,R-HSA-376364,R-HSA-181519,Input,OR,0
R-HSA-376369,R-HSA-1449574,R-HSA-376345,Input,OR,0
R-HSA-376369,R-HSA-376357,R-HSA-376345,Input,OR,0
R-HSA-376369,R-HSA-376369,R-HSA-376345,Input,OR,0
R-HSA-376369,R-HSA-376364,R-HSA-376345,Input,OR,0
R-HSA-421831,R-HSA-350769,R-HSA-201340,Input,OR,0
R-HSA-421831,R-HSA-421835,R-HSA-350825,Input,OR,0
R-HSA-421833,R-HSA-421831,R-HSA-432669,Input,OR,0
R-HSA-421835,R-HSA-421831,R-HSA-2213180,Input,OR,0
R-HSA-421835,R-HSA-432706,R-HSA-2213180,Input,OR,0
R-HSA-421835,R-HSA-421831,R-HSA-182958,Input,OR,0
R-HSA-421835,R-HSA-432706,R-HSA-182958,Input,OR,0
R-HSA-421835,R-HSA-421836,R-HSA-351198,Input,OR,0
R-HSA-421836,R-HSA-421831,R-HSA-350827,Input,OR,0
R-HSA-421836,R-HSA-432706,R-HSA-350827,Input,OR,0
R-HSA-421836,R-HSA-421833,R-HSA-167717,Input,OR,0
R-HSA-421836,R-HSA-432712,R-HSA-167717,Input,OR,0
R-HSA-421836,R-HSA-421836,R-HSA-351175,Input,OR,0
R-HSA-421836,R-HSA-432688,R-HSA-351175,Input,OR,0
R-HSA-421836,R-HSA-421833,R-HSA-264470,Input,OR,0
R-HSA-421836,R-HSA-432712,R-HSA-264470,Input,OR,0
R-HSA-432688,R-HSA-421831,R-HSA-350827,Input,OR,0
R-HSA-432688,R-HSA-432706,R-HSA-350827,Input,OR,0
R-HSA-432688,R-HSA-421833,R-HSA-167717,Input,OR,0
R-HSA-432688,R-HSA-432712,R-HSA-167717,Input,OR,0
R-HSA-432688,R-HSA-421836,R-HSA-351175,Input,OR,0
R-HSA-432688,R-HSA-432688,R-HSA-351175,Input,OR,0
R-HSA-432688,R-HSA-421833,R-HSA-264470,Input,OR,0
R-HSA-432688,R-HSA-432712,R-HSA-264470,Input,OR,0
R-HSA-432706,R-HSA-350769,R-HSA-201340,Input,OR,0
R-HSA-432706,R-HSA-432707,R-HSA-432704,Input,OR,0
R-HSA-432707,R-HSA-421831,R-HSA-2213180,Input,OR,0
R-HSA-432707,R-HSA-432706,R-HSA-2213180,Input,OR,0
