Reaction,Input,Output,Catalyst,Regulator,Regulation
R-HSA-5663273,R-HSA-381325,R-HSA-5663260,null,null,null
R-HSA-5663273,R-HSA-442481,R-HSA-5663260,null,null,null
R-HSA-5663273,R-HSA-5641202,R-HSA-5663260,null,null,null
R-HSA-5663273,R-HSA-400325,R-HSA-5663260,null,null,null
R-HSA-5663273,R-HSA-4086031,R-HSA-5663260,null,null,null
R-HSA-549493,R-HSA-5641227,R-HSA-400399,null,R-HSA-8878884,NegativeGeneExpressionRegulation
R-HSA-549493,R-HSA-5641227,R-HSA-400399,null,R-HSA-5663176,PositiveGeneExpressionRegulation
R-HSA-549493,R-HSA-5641227,R-HSA-400399,null,R-HSA-879850,PositiveGeneExpressionRegulation
R-HSA-400382,R-ALL-113592,R-ALL-29370,null,R-HSA-163538,NegativeRegulation
R-HSA-400382,R-ALL-113592,R-HSA-421296,null,R-HSA-163538,NegativeRegulation
R-HSA-400382,R-HSA-421287,R-ALL-29370,null,R-HSA-163538,NegativeRegulation
R-HSA-400382,R-HSA-421287,R-HSA-421296,null,R-HSA-163538,NegativeRegulation
R-HSA-5663127,R-HSA-421315,R-HSA-5663136,null,null,null
R-HSA-5663127,R-HSA-5641222,R-HSA-5663136,null,null,null
R-HSA-879724,R-HSA-5640195,R-HSA-400186,null,R-HSA-5663137,PositiveGeneExpressionRegulation
R-HSA-879724,R-HSA-5640195,R-HSA-400186,null,R-HSA-400154,PositiveGeneExpressionRegulation
R-HSA-5663124,R-HSA-421315,R-HSA-5663104,null,null,null
R-HSA-5663124,R-HSA-2106592,R-HSA-5663104,null,null,null
R-HSA-5663156,R-HSA-421315,R-HSA-5663137,null,null,null
R-HSA-5663156,R-HSA-5640195,R-HSA-5663137,null,null,null
R-HSA-5663122,R-HSA-5641210,R-HSA-5663154,null,null,null
R-HSA-5663122,R-HSA-421315,R-HSA-5663154,null,null,null
R-HSA-8878702,R-HSA-421315,R-HSA-8878725,null,null,null
R-HSA-8878702,R-HSA-8878727,R-HSA-8878725,null,null,null
R-HSA-5663132,R-HSA-5641228,R-HSA-5663186,null,null,null
R-HSA-5663132,R-HSA-421315,R-HSA-5663186,null,null,null
R-HSA-5663165,R-HSA-421315,R-HSA-5663184,null,null,null
