TopLevelPathwayName,FirstLevelPathwayName,SecondLevelPathwayName,ReactionName,ReactionID
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,PI3K associates with phosphorylated GAB2,R-HSA-2730842
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of GAB2 by SYK/FYN,R-HSA-2730860
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Translocation of PDK1 to Plasma membrane,R-HSA-202164
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Recruitment of GAB2 to PM and FCERI by binding to GRB2,R-HSA-2730848
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Recruitment of GRB2:SOS to p-10Y-NTAL,R-HSA-2730837
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of NTAL by p-SYK/Lyn,R-HSA-2730884
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of PIP2 to PIP3 by PI3K,R-HSA-2730870
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of LAT by p-SYK,R-HSA-2730843
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Allergen dependent IgE bound FCERI aggregation,R-HSA-2454192
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of beta and gamma subunits by LYN,R-HSA-2454208
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Recruitment of SYK to p-FCERI gamma subunit,R-HSA-2454240
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Recruitment of TAK1 kinase complex to oligo-K63-pUb-TRAF6,R-HSA-2730861
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Ubiquitination of NEMO by TRAF6,R-HSA-202534
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,"beta-TRCP ubiquitinates IkB-alpha in p-S32,33-IkB-alpha:NF-kB complex",R-HSA-5607728
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of CARMA1 by PKC-theta,R-HSA-2730863
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,NFKB1:RELA translocates from the cytosol to the nucleus,R-HSA-2730894
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of PKC-theta,R-HSA-2730882
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,"p-S177,S181-IKKB:IKKA:pUb-NEMO phosphorylates IkB-alpha:NF-kB",R-HSA-202541
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Auto-ubiquitination of TRAF6,R-HSA-2730904
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of IKK-beta by TAK1,R-HSA-2730876
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Recruitment of TRAF6 to CBM complex by binding to MALT1,R-HSA-2730864
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,"26S proteasome processes K48PolyUb-K21,22-p-S32,36-IkBA:NF-kB complex to form NF-kB complex",R-HSA-5607724
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Autophosphorylation of PKC-theta,R-HSA-2730835
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Oligomerization of BCL10 and MALT1,R-HSA-2730899
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Translocation of PKC theta to plasma membrane,R-HSA-202328
