PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities
Keratan sulfate degradation,Keratan sulfate is cleaved from its proteoglycan by an unknown galactosidase,R-HSA-1793217,"[H2O [lysosomal lumen],KSPG(2) [lysosomal lumen]]","[Gal(S)-GlcNAc(S)-Gal-GlcNAc(S)-Gal [lysosomal lumen],KS core proteins [lysosomal lumen]]","[keratan sulfate 1,4-beta-D-galactosidase [lysosomal lumen]]"
Glucuronidation,UGT1A4 transfers GlcA from UDP-GlcA to BMG to form BDG,R-HSA-159179,"[BMG [endoplasmic reticulum lumen],UDP-GlcA [endoplasmic reticulum lumen]]","[BDG [endoplasmic reticulum lumen],UDP [endoplasmic reticulum lumen]]",[UGT1A4 [endoplasmic reticulum membrane]]
ABO blood group biosynthesis,ABO-A:Mn2+ transfers GalNAc to H antigen-RBC to form A antigen-RBC,R-HSA-9033959,"[UDP-GalNAc [Golgi lumen],H antigen-RBC [Golgi lumen]]","[UDP [Golgi lumen],A antigen-RBC [Golgi lumen]]","[ABO-A:Mn2+ [Golgi membrane],ABO-A [Golgi membrane],Mn2+ [Golgi membrane]]"
Pentose phosphate pathway,D-glyceraldehyde 3-phosphate + D-fructose 6-phosphate   <=> xylulose 5-phosphate + D-erythrose 4-phosphate,R-HSA-163751,"[GA3P [cytosol],Fru(6)P [cytosol]]","[XY5P [cytosol],E4P [cytosol]]","[TKT dimer [cytosol],Mg2+ [cytosol],TKT [cytosol],ThDP [cytosol]]"
Retinoid metabolism and transport,PLB1 hydrolyses RPALM to atROL,R-HSA-975594,"[H2O [extracellular region],RPALM [extracellular region]]","[atROL [plasma membrane],PALM [plasma membrane]]",[PLB1 [plasma membrane]]
Beta oxidation of palmitoyl-CoA to myristoyl-CoA,(S)-3-Hydroxyhexadecanoyl-CoA+NAD<=>3-Oxopalmitoyl-CoA+NADH+H,R-HSA-77303,"[NAD+ [mitochondrial matrix],(S)-3-Hydroxyhexadecanoyl-CoA [mitochondrial matrix]]","[H+ [mitochondrial matrix],3-Oxopalmitoyl-CoA [mitochondrial matrix],NADH [mitochondrial matrix]]","[Trifunctional Protein [mitochondrial matrix],HADHA [mitochondrial inner membrane],HADHB [mitochondrial inner membrane]]"
Metabolism of folate and pterines,"5,10-methyleneTHF polyglutamate + glycine <=> tetrahydrofolate polyglutamate (THF polyglutamate) + serine",R-HSA-200651,"[Gly [cytosol],5,10-methylene-THFPG [cytosol]]","[L-Ser [cytosol],THFPG [cytosol]]","[SHMT1 tetramer [cytosol],PXLP-SHMT1 [cytosol]]"
Carnitine metabolism,"pAMPK inactivates ACACB, inhibiting malonyl-CoA synthesis",R-HSA-200423,"[Btn-ACACB:2Mn2+ polymer [mitochondrial outer membrane],ATP [cytosol]]","[ADP [cytosol],Btn-p-S79-ACACB:2Mn2+ polymer [mitochondrial outer membrane]]","[AMPK heterotrimer (active) [cytosol],p-T172-PRKAA2 [cytosol],PRKAG2 [cytosol],PRKAB2 [cytosol]]"
Sulfur amino acid metabolism,BHMT tetramer transfers CH3 group from BET to HCYS to form DMGLY,R-HSA-1614654,"[BET [cytosol],HCYS [cytosol]]","[L-Met [cytosol],DMGLY [cytosol]]","[BHMT:Zn2+ tetramer [cytosol],BHMT:Zn2+ [cytosol],Zn2+ [cytosol],BHMT [cytosol]]"
Formation of selenosugars for excretion,MeSebGalNac is oxidatively cleaved to MeSeO2H and 2-acetamidoglucal,R-HSA-5333612,[MeSebGalNac [cytosol]],"[MeSeO2H [cytosol],2-acetamidoglucal [cytosol]]",[]
PKA-mediated phosphorylation of key metabolic factors,PhosphoChREBP (Thr 666)  is exported to cytosol,R-HSA-164423,[p-T666-MLXIPL [nucleoplasm]],[p-T666-MLXIPL [cytosol]],[]
Glycolysis,"GNPDA1,2 hexamers deaminate GlcN6P to Fru(6)P",R-HSA-6799604,"[H2O [cytosol],GlcN6P [cytosol]]","[Fru(6)P [cytosol],NH4+ [cytosol]]","[GNPDA1,2 hexamers [cytosol],GNPDA1 hexamer [cytosol],GNPDA1 [cytosol],GNPDA2 hexamer [cytosol],GNPDA2 [cytosol]]"
Chondroitin sulfate biosynthesis,"CHPF,CHPF2,CHSY3 transfer GlcA to chondroitin",R-HSA-1971491,"[UDP-GlcA [Golgi lumen],chondroitin(1)-core proteins [Golgi lumen]]","[chondroitin(2)-core proteins [Golgi lumen],UDP [Golgi lumen]]","[CHPF,CHPF2,CHSY3 [Golgi membrane],CHPF2 [Golgi membrane],CHPF [Golgi membrane],CHSY3 [Golgi membrane]]"
