First_Reaction,Second_Reaction
R-HSA-205262,R-HSA-1433514
R-HSA-1562641,R-HSA-1433514
R-HSA-205205,R-HSA-1433451
R-HSA-205234,R-HSA-1433454
R-HSA-205205,R-HSA-205238
R-HSA-1433428,R-HSA-205234
R-HSA-1433456,R-HSA-1470009
R-HSA-205205,R-HSA-1472121
R-HSA-1470009,R-HSA-1470010
R-HSA-205321,R-HSA-205231
R-HSA-1470010,R-HSA-1470012
R-HSA-205286,R-HSA-1433471
R-HSA-1433428,R-HSA-1433471
R-HSA-205231,R-HSA-205289
R-HSA-1433374,R-HSA-1433395
R-HSA-1433418,R-HSA-1433456
R-HSA-205289,R-HSA-205286
R-HSA-1433451,R-HSA-1433418
R-HSA-205289,R-HSA-205205
R-HSA-205289,R-HSA-205328
R-HSA-1433514,R-HSA-1433542
R-HSA-205205,R-HSA-1433542
R-HSA-1433542,R-HSA-1433415
R-HSA-205289,R-HSA-205262
R-HSA-1433395,R-HSA-205321
R-HSA-205289,R-HSA-1433501
R-HSA-1433454,R-HSA-1562641
R-HSA-205238,R-HSA-1433488
R-HSA-205319,R-HSA-1433506
R-HSA-1433506,R-HSA-205244
R-HSA-1433488,R-HSA-1433428
R-HSA-1963589,R-HSA-1963586
R-HSA-8847995,R-HSA-8848005
R-HSA-8848804,R-HSA-8847995
R-HSA-1963582,R-HSA-8847995
R-HSA-1963581,R-HSA-8847995
R-HSA-1963582,R-HSA-6785636
R-HSA-1963581,R-HSA-6785636
R-HSA-5665989,R-HSA-6785648
R-HSA-6785636,R-HSA-6785648
R-HSA-1963582,R-HSA-1306953
R-HSA-1963581,R-HSA-1306953
R-HSA-1236398,R-HSA-1963589
R-HSA-1247497,R-HSA-1963589
R-HSA-177942,R-HSA-1963589
R-HSA-1963582,R-HSA-1963563
R-HSA-1963581,R-HSA-1963563
R-HSA-1358801,R-HSA-1358790
R-HSA-198270,R-HSA-1358791
R-HSA-1358791,R-HSA-1358797
R-HSA-1358789,R-HSA-1358797
R-HSA-1963582,R-HSA-1358798
R-HSA-1963581,R-HSA-1358798
R-HSA-1358798,R-HSA-1358792
R-HSA-1358797,R-HSA-1358795
R-HSA-8864105,R-HSA-8864125
R-HSA-1963582,R-HSA-8863804
R-HSA-1963581,R-HSA-8863804
R-HSA-1963582,R-HSA-8864105
R-HSA-1963581,R-HSA-8864105
R-HSA-1251944,R-HSA-1251922
R-HSA-1963582,R-HSA-1251944
R-HSA-1963581,R-HSA-1251944
R-HSA-1250346,R-HSA-1306979
R-HSA-1963582,R-HSA-1306963
R-HSA-1963581,R-HSA-1306963
R-HSA-1306963,R-HSA-1306965
R-HSA-1963582,R-HSA-1250346
R-HSA-1963581,R-HSA-1250346
R-HSA-1250189,R-HSA-1250462
R-HSA-1963582,R-HSA-1250189
R-HSA-1963581,R-HSA-1250189
R-HSA-1306965,R-HSA-1306957
R-HSA-1963578,R-HSA-1250195
R-HSA-1250195,R-HSA-1250486
R-HSA-1963582,R-HSA-1963578
R-HSA-1963581,R-HSA-1963578
R-HSA-8934446,R-HSA-8934465
R-HSA-1250486,R-HSA-1250463
R-HSA-1250488,R-HSA-1250498
R-HSA-1963582,R-HSA-1306969
R-HSA-1963581,R-HSA-1306969
R-HSA-1963582,R-HSA-1250488
R-HSA-1963581,R-HSA-1250488
R-HSA-1306969,R-HSA-1306972
R-HSA-1963589,R-HSA-1963582
R-HSA-1963586,R-HSA-1963581
R-HSA-74716,R-HSA-74715
R-HSA-5252133,R-HSA-74723
R-HSA-74723,R-HSA-74726
R-HSA-74726,R-HSA-74730
R-HSA-74726,R-HSA-74733
R-HSA-74733,R-HSA-74734
R-HSA-74734,R-HSA-74716
R-HSA-74715,R-HSA-74740
R-HSA-74742,R-HSA-74743
R-HSA-74740,R-HSA-74742
R-HSA-74715,R-HSA-74707
R-HSA-74707,R-HSA-74711
R-HSA-74711,R-HSA-74712
R-HSA-74743,R-HSA-74746
R-HSA-109813,R-HSA-74746
R-HSA-74712,R-HSA-74747
R-HSA-74715,R-HSA-110011
R-HSA-109822,R-HSA-5686074
R-HSA-74743,R-HSA-74748
R-HSA-109823,R-HSA-5686315
R-HSA-109817,R-HSA-109823
R-HSA-74736,R-HSA-109823
R-HSA-74746,R-HSA-109822
R-HSA-74746,R-HSA-109807
R-HSA-2428926,R-HSA-74737
R-HSA-74712,R-HSA-74737
R-HSA-9607224,R-HSA-109699
R-HSA-74737,R-HSA-109699
R-HSA-188002,R-HSA-109699
R-HSA-109699,R-HSA-109701
R-HSA-109699,R-HSA-109700
R-HSA-109700,R-HSA-109702
R-HSA-109701,R-HSA-109702
R-HSA-109702,R-HSA-162363
R-HSA-162363,R-HSA-162425
R-HSA-74712,R-HSA-74736
R-HSA-109813,R-HSA-74736
R-HSA-74736,R-HSA-109817
R-HSA-74715,R-HSA-74718
R-HSA-6800198,R-HSA-6800315
R-HSA-6800315,R-HSA-8852522
R-HSA-8852522,R-HSA-8852552
R-HSA-2404200,R-HSA-2404199
R-HSA-2404195,R-HSA-2404193
R-HSA-2404199,R-HSA-2404195
R-HSA-5686073,R-HSA-5686318
R-HSA-2404193,R-HSA-5686072
R-HSA-5686072,R-HSA-5686073
R-HSA-109813,R-HSA-5686073
R-HSA-2404199,R-HSA-2428930
R-HSA-2428922,R-HSA-2428926
R-HSA-2428930,R-HSA-2428926
R-HSA-2404199,R-HSA-2428922
R-HSA-8875540,R-HSA-8875661
R-HSA-8875661,R-HSA-8875659
R-HSA-8875374,R-HSA-8875431
R-HSA-6806974,R-HSA-6807027
R-HSA-8875431,R-HSA-8875443
R-HSA-8875482,R-HSA-8875490
R-HSA-6806974,R-HSA-6807008
R-HSA-8875451,R-HSA-8875183
R-HSA-6806974,R-HSA-8874685
R-HSA-8874685,R-HSA-8875451
R-HSA-8875183,R-HSA-8875482
R-HSA-8851859,R-HSA-8851877
R-HSA-8851804,R-HSA-8851827
R-HSA-6806974,R-HSA-8851859
R-HSA-6806974,R-HSA-8851842
R-HSA-8851888,R-HSA-8851890
R-HSA-6806974,R-HSA-8851888
R-HSA-6806974,R-HSA-8851804
R-HSA-8851890,R-HSA-8851900
R-HSA-8851900,R-HSA-8851899
R-HSA-6806974,R-HSA-8851866
R-HSA-6806957,R-HSA-6806974
R-HSA-6800298,R-HSA-6806957
R-HSA-6800200,R-HSA-6800298
R-HSA-6800299,R-HSA-6800298
R-HSA-8875817,R-HSA-2730595
R-HSA-8848124,R-HSA-2730595
R-HSA-2671839,R-HSA-2730595
R-HSA-8875816,R-HSA-8875817
R-HSA-2730595,R-HSA-2730599
R-HSA-6806974,R-HSA-8875816
R-HSA-8851933,R-HSA-8865994
R-HSA-6806974,R-HSA-8851908
R-HSA-8851954,R-HSA-8852019
R-HSA-8851933,R-HSA-8851954
R-HSA-6806974,R-HSA-8851919
R-HSA-8851919,R-HSA-8851933
R-HSA-8851908,R-HSA-8851933
R-HSA-8875576,R-HSA-8875591
R-HSA-8875540,R-HSA-8875558
R-HSA-8851933,R-HSA-8875540
R-HSA-8875558,R-HSA-8875568
R-HSA-8875540,R-HSA-8875576
R-HSA-8874078,R-HSA-8874083
R-HSA-8874083,R-HSA-8874082
R-HSA-8874082,R-HSA-8874080
R-HSA-6806974,R-HSA-8874079
R-HSA-8874079,R-HSA-8874078
R-HSA-6806974,R-HSA-8875523
R-HSA-6806974,R-HSA-8875531
R-HSA-4420143,R-HSA-4420140
R-HSA-8951586,R-HSA-5218850
R-HSA-4420117,R-HSA-4420143
R-HSA-5218826,R-HSA-5218851
R-HSA-5218830,R-HSA-5218851
R-HSA-4420117,R-HSA-5218852
R-HSA-5218806,R-HSA-5218854
R-HSA-5218851,R-HSA-5218855
R-HSA-4420099,R-HSA-4420128
R-HSA-5218829,R-HSA-5218832
R-HSA-5218847,R-HSA-5218832
R-HSA-5218818,R-HSA-5218836
R-HSA-5218851,R-HSA-5218838
R-HSA-5218811,R-HSA-5218839
R-HSA-5218827,R-HSA-5218841
R-HSA-194310,R-HSA-4420117
R-HSA-5218854,R-HSA-5218847
R-HSA-4420117,R-HSA-5218818
R-HSA-5218852,R-HSA-5218819
R-HSA-5357479,R-HSA-5218819
R-HSA-434637,R-HSA-5218820
R-HSA-5218819,R-HSA-434637
R-HSA-437162,R-HSA-434637
R-HSA-437936,R-HSA-434637
R-HSA-5218809,R-HSA-5218822
R-HSA-5218828,R-HSA-5218822
R-HSA-4420117,R-HSA-4420107
R-HSA-5218815,R-HSA-5218824
R-HSA-5228992,R-HSA-5218826
R-HSA-5218643,R-HSA-5218826
R-HSA-5218850,R-HSA-5218827
R-HSA-5218855,R-HSA-5218828
R-HSA-5218836,R-HSA-5218830
R-HSA-4420117,R-HSA-4420099
R-HSA-5218812,R-HSA-5218804
R-HSA-5218824,R-HSA-5218806
R-HSA-5218838,R-HSA-5218809
R-HSA-5218822,R-HSA-5218811
R-HSA-5218814,R-HSA-5218812
R-HSA-5218832,R-HSA-5218814
R-HSA-4420117,R-HSA-5218815
R-HSA-4420128,R-HSA-4420083
R-HSA-4420140,R-HSA-4420206
R-HSA-187688,R-HSA-5218916
R-HSA-5218804,R-HSA-187688
R-HSA-171011,R-HSA-187688
R-HSA-5218820,R-HSA-8951586
R-HSA-4420206,R-HSA-5357432
R-HSA-2316429,R-HSA-2317314
R-HSA-198640,R-HSA-2317314
R-HSA-202129,R-HSA-202144
R-HSA-1497784,R-HSA-202127
R-HSA-202365,R-HSA-2316429
R-HSA-437162,R-HSA-2316429
R-HSA-392300,R-HSA-2316429
R-HSA-198266,R-HSA-2316429
R-HSA-2045911,R-HSA-2316429
R-HSA-2076220,R-HSA-2316429
R-HSA-389158,R-HSA-2316429
R-HSA-2316434,R-HSA-2316429
R-HSA-202111,R-HSA-1497784
R-HSA-5357445,R-HSA-5357472
R-HSA-202110,R-HSA-202129
R-HSA-2317332,R-HSA-198640
R-HSA-5357483,R-HSA-5357445
R-HSA-5357472,R-HSA-5357477
R-HSA-5218850,R-HSA-5357483
R-HSA-198270,R-HSA-202137
R-HSA-202132,R-HSA-202137
R-HSA-202144,R-HSA-202137
R-HSA-202137,R-HSA-202111
R-HSA-2317314,R-HSA-198270
R-HSA-203712,R-HSA-202110
R-HSA-74448,R-HSA-202110
R-HSA-169680,R-HSA-169683
R-HSA-139854,R-HSA-74448
R-HSA-2089943,R-HSA-74448
R-HSA-434798,R-HSA-74448
R-HSA-1855217,R-HSA-169680
R-HSA-1112666,R-HSA-169680
R-HSA-1855205,R-HSA-169680
R-HSA-1855221,R-HSA-169680
R-HSA-399998,R-HSA-169680
R-HSA-398193,R-HSA-169680
R-HSA-111879,R-HSA-169680
R-HSA-1855177,R-HSA-169680
R-HSA-202407,R-HSA-169680
R-HSA-167686,R-HSA-169680
R-HSA-1855214,R-HSA-169680
R-HSA-114689,R-HSA-169680
R-HSA-5218805,R-HSA-5218813
R-HSA-167686,R-HSA-5218813
R-HSA-5218823,R-HSA-5218845
R-HSA-5654169,R-HSA-167686
R-HSA-5654157,R-HSA-167686
R-HSA-212713,R-HSA-167686
R-HSA-4420202,R-HSA-167686
R-HSA-2029271,R-HSA-167686
R-HSA-2029272,R-HSA-167686
R-HSA-167684,R-HSA-167686
R-HSA-5654165,R-HSA-167686
R-HSA-5654148,R-HSA-167686
R-HSA-5218813,R-HSA-5218823
R-HSA-4420121,R-HSA-4420202
R-HSA-4420117,R-HSA-4420153
R-HSA-4420153,R-HSA-4420121
R-HSA-5218821,R-HSA-5218805
R-HSA-5357432,R-HSA-5357429
R-HSA-5218645,R-HSA-5218640
R-HSA-4420083,R-HSA-5218642
R-HSA-5218640,R-HSA-5218643
R-HSA-5218642,R-HSA-5218645
R-HSA-3928647,R-HSA-5228992
R-HSA-3928651,R-HSA-5228992
R-HSA-9666428,R-HSA-2029465
R-HSA-9666430,R-HSA-2029465
R-HSA-8848618,R-HSA-2029465
R-HSA-5218850,R-HSA-2029465
R-HSA-5218839,R-HSA-2029465
R-HSA-5357429,R-HSA-5357479
R-HSA-5218643,R-HSA-3928647
R-HSA-3928651,R-HSA-3928647
R-HSA-195378,R-HSA-194310
R-HSA-195378,R-HSA-194311
R-HSA-195378,R-HSA-194308
R-HSA-1236398,R-HSA-1250220
R-HSA-1250315,R-HSA-9612639
R-HSA-975340,R-HSA-9612639
R-HSA-1253300,R-HSA-1253282
R-HSA-1973956,R-HSA-1977296
R-HSA-1236398,R-HSA-1977959
R-HSA-177942,R-HSA-1977959
R-HSA-1250315,R-HSA-1250357
R-HSA-1250380,R-HSA-1250383
R-HSA-1250357,R-HSA-1250348
R-HSA-1250348,R-HSA-1250380
R-HSA-1236398,R-HSA-1977958
R-HSA-1247497,R-HSA-1977958
R-HSA-1250220,R-HSA-1250315
R-HSA-1250353,R-HSA-1250370
R-HSA-1250315,R-HSA-1250353
R-HSA-1251997,R-HSA-1252013
R-HSA-1251997,R-HSA-1254376
R-HSA-1254251,R-HSA-1254248
R-HSA-1254285,R-HSA-8954224
R-HSA-1251997,R-HSA-1254251
R-HSA-9612255,R-HSA-9612257
R-HSA-9612440,R-HSA-9612448
R-HSA-8954208,R-HSA-1254392
R-HSA-1254386,R-HSA-8954208
R-HSA-9612278,R-HSA-9612277
R-HSA-1252013,R-HSA-9612278
R-HSA-1252013,R-HSA-1254386
R-HSA-8939201,R-HSA-1254386
R-HSA-8954207,R-HSA-8954199
R-HSA-1254291,R-HSA-1254285
R-HSA-1251997,R-HSA-1253325
R-HSA-8954185,R-HSA-1253321
R-HSA-1254386,R-HSA-8954207
R-HSA-1253325,R-HSA-1253319
R-HSA-1254386,R-HSA-9612672
R-HSA-9612444,R-HSA-9612445
R-HSA-1252013,R-HSA-9612444
R-HSA-1253319,R-HSA-8954182
R-HSA-1251992,R-HSA-1251997
R-HSA-1252013,R-HSA-9612255
R-HSA-1251997,R-HSA-1253343
R-HSA-8954185,R-HSA-8954179
R-HSA-1250315,R-HSA-1251992
R-HSA-1252013,R-HSA-9612440
R-HSA-1252013,R-HSA-9612246
R-HSA-9612246,R-HSA-9612243
R-HSA-8954224,R-HSA-1254290
R-HSA-1253319,R-HSA-8954185
R-HSA-1251997,R-HSA-1254291
R-HSA-1671691,R-HSA-1254291
R-HSA-9034796,R-HSA-9034814
R-HSA-9034814,R-HSA-9034855
R-HSA-9603548,R-HSA-9603554
R-HSA-9603534,R-HSA-9603548
R-HSA-9034016,R-HSA-9034714
R-HSA-9034714,R-HSA-9603719
R-HSA-9603437,R-HSA-9603445
R-HSA-9603420,R-HSA-9603445
R-HSA-9603407,R-HSA-9603445
R-HSA-9034714,R-HSA-9603419
R-HSA-9034714,R-HSA-9603407
R-HSA-9603419,R-HSA-9603420
R-HSA-9603420,R-HSA-9603437
R-HSA-9034714,R-HSA-9603437
R-HSA-9034862,R-HSA-9034875
R-HSA-9036949,R-HSA-9036970
R-HSA-9034714,R-HSA-9034862
R-HSA-9034875,R-HSA-9036949
R-HSA-9028728,R-HSA-9032073
R-HSA-9028730,R-HSA-9028728
R-HSA-9032402,R-HSA-9032426
R-HSA-9028728,R-HSA-9031981
R-HSA-9031981,R-HSA-9032067
R-HSA-9032073,R-HSA-9032067
R-HSA-9026464,R-HSA-9032402
R-HSA-9026510,R-HSA-9032402
R-HSA-9024967,R-HSA-9026464
R-HSA-9024906,R-HSA-9024967
R-HSA-9026464,R-HSA-9032841
R-HSA-9032863,R-HSA-9033276
R-HSA-9033284,R-HSA-9033292
R-HSA-9032854,R-HSA-9032863
R-HSA-9033276,R-HSA-9033284
R-HSA-9032841,R-HSA-9032854
R-HSA-9026579,R-HSA-9026894
R-HSA-9026502,R-HSA-9026531
R-HSA-9026464,R-HSA-9026531
R-HSA-9026510,R-HSA-9026531
R-HSA-9026531,R-HSA-9026579
R-HSA-9028505,R-HSA-9028519
R-HSA-9026358,R-HSA-9026377
R-HSA-9026377,R-HSA-9026510
R-HSA-9032582,R-HSA-9032601
R-HSA-9032502,R-HSA-9032532
R-HSA-9032532,R-HSA-9032761
R-HSA-9032761,R-HSA-9032798
R-HSA-9026464,R-HSA-9032502
R-HSA-9032532,R-HSA-9032582
R-HSA-9026890,R-HSA-9028328
R-HSA-9026890,R-HSA-9026891
R-HSA-9026493,R-HSA-9026890
R-HSA-9026464,R-HSA-9026493
R-HSA-9025033,R-HSA-9026366
R-HSA-9026366,R-HSA-9026502
R-HSA-167047,R-HSA-167014
R-HSA-187045,R-HSA-167047
R-HSA-187020,R-HSA-187035
R-HSA-167014,R-HSA-187020
R-HSA-177501,R-HSA-177479
R-HSA-177491,R-HSA-177501
R-HSA-166538,R-HSA-166544
R-HSA-166544,R-HSA-190065
R-HSA-166542,R-HSA-166538
R-HSA-167014,R-HSA-166542
R-HSA-187678,R-HSA-9612996
R-HSA-187661,R-HSA-9613023
R-HSA-109813,R-HSA-5685366
R-HSA-167217,R-HSA-5685366
R-HSA-5685366,R-HSA-5686071
R-HSA-167217,R-HSA-167056
R-HSA-166544,R-HSA-167056
R-HSA-167019,R-HSA-167217
R-HSA-167056,R-HSA-167019
R-HSA-170986,R-HSA-171026
R-HSA-170991,R-HSA-171011
R-HSA-109807,R-HSA-170986
R-HSA-171026,R-HSA-170991
R-HSA-170975,R-HSA-170978
R-HSA-170978,R-HSA-170979
R-HSA-170965,R-HSA-9610163
R-HSA-170964,R-HSA-170977
R-HSA-5674385,R-HSA-9610166
R-HSA-5672980,R-HSA-5674385
R-HSA-109863,R-HSA-5674385
R-HSA-9610154,R-HSA-5674385
R-HSA-109864,R-HSA-5674385
R-HSA-190065,R-HSA-170964
R-HSA-170979,R-HSA-170965
R-HSA-9610156,R-HSA-9610154
R-HSA-9610163,R-HSA-9610152
R-HSA-9610163,R-HSA-9610153
R-HSA-170977,R-HSA-170975
R-HSA-9610153,R-HSA-9610156
R-HSA-169895,R-HSA-169904
R-HSA-169891,R-HSA-169905
R-HSA-169905,R-HSA-169895
R-HSA-169901,R-HSA-9612980
R-HSA-169904,R-HSA-169901
R-HSA-187697,R-HSA-187746
R-HSA-187746,R-HSA-187698
R-HSA-5674387,R-HSA-198756
R-HSA-5674387,R-HSA-198731
R-HSA-198714,R-HSA-198746
R-HSA-5674387,R-HSA-198746
R-HSA-198714,R-HSA-199929
R-HSA-198746,R-HSA-199895
R-HSA-198669,R-HSA-199910
