PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities
Negative regulation of MET activity,PTPN1 and PTPN2 dephosphorylate MET,R-HSA-6807027,"[H2O [cytosol],HGF:p-Y1234,Y1235,Y1349,Y1356-MET dimer [plasma membrane]]","[Pi [cytosol],HGF:p-Y,1349,Y1356-MET dimer [plasma membrane]]","[PTPN1,PTPN2 [cytosol],PTPN1 [cytosol],PTPN2 [cytosol]]"
ARMS-mediated activation,Rap1-GTP complex binds BRAF complex,R-HSA-169901,"[BRAF complex [cytosol],Rap1-GTP complex [plasma membrane]]",[Rap1-GTP complex:BRAF complex [plasma membrane]],[]
Signaling by PDGF,Autophosphorylation of PDGF alpha/beta receptors,R-HSA-389086,"[ATP [cytosol],PDGF alpha/beta:PDGF AB and BB dimers [plasma membrane]]","[ADP [cytosol],Phospho PDGF alpha-beta dimer:PDGF AB or BB dimers [plasma membrane]]","[PDGF alpha/beta:PDGF AB and BB dimers [plasma membrane],Alpha-Beta receptor heterodimer [plasma membrane],PDGFRA [plasma membrane],PDGFRB [plasma membrane],PDGF AB or BB homodimers [extracellular region],PDGF A/B heterodimer [extracellular region],PDGFA-2 [extracellular region],PDGFB (82-190) [extracellular region],active PDGF-BB dimer [extracellular region],Processed PDGF-B [extracellular region],PDGFB(82-241) [extracellular region]]"
Nuclear signaling by ERBB4,S100B gene expression is inhibited by ERBB4:TAB2:NCOR1,R-HSA-8954179,[S100B gene [nucleoplasm]],[S100B [extracellular region]],"[ERBB4s80:TAB2:NCOR1:S100B gene [nucleoplasm],ERBB4s80:TAB2:NCOR1 [nucleoplasm],ERBB4s80 [nucleoplasm],ERBB4jmAcyt1s80 dimer [nucleoplasm],ERBB4jmAcyt1s80 [nucleoplasm],ERBB4jmAcyt2s80 dimer [nucleoplasm],ERBB4jmAcyt2s80 [nucleoplasm],TAB2:NCOR1 [nucleoplasm],NCOR1 [nucleoplasm],TAB2 [nucleoplasm],S100B gene [nucleoplasm]]"
Signal attenuation,"MAPK3,(MAPK1) phosphorylates GRB2-1:SOS1:p-Y-IRS1,p-Y-IRS2",R-HSA-109823,"[ATP [cytosol],GRB2-1:SOS1:p-Y-IRS1,p-Y-IRS2 [cytosol]]","[ADP [cytosol],GRB2:p-4S-SOS1:p-Y-IRS1,p-Y-IRS2 [cytosol]]","[MAPK3,(MAPK1) [cytosol],MAPK1 [cytosol],MAPK3 [cytosol]]"
NGF-stimulated transcription,EGR2:NAB2 and CHD4 bind the ID2 and ID4 promoter regions,R-HSA-9613476,"[ID2, ID4 gene [nucleoplasm],EGR2 [nucleoplasm],CHD4 [nucleoplasm],NAB2 [nucleoplasm]]","[ID2,ID4 gene:EGR2:NAB2:CHD4 [nucleoplasm]]",[]
EGFR downregulation,PTPN12 dephosphorylates EGFR at Y1148 (Y1172),R-HSA-8864029,"[H2O [cytosol],EGF:p-6Y-EGFR dimer [plasma membrane]]","[Pi [cytosol],EGF:p-EGFR dimer dephosphorylated at Y1148 (Y1172) [plasma membrane]]",[PTPN12 [cytosol]]
CD28 dependent PI3K/Akt signaling,AKT binds PDPK1,R-HSA-2317314,"[PDPK1:PIP3 [plasma membrane],p-S-AKT:PIP3 [plasma membrane]]",[p-S-AKT:PDPK1:PIP3 [plasma membrane]],[]
MET Receptor Activation,HGFAC cleaves pro-HGF to form HGF dimer,R-HSA-6800299,"[H2O [extracellular region],pro-HGF [extracellular region]]",[HGF dimer [extracellular region]],"[HGFAC dimer [extracellular region],HGFAC(373-407) [cytosol],HGFAC(408-655) [cytosol],SPINT1 [extracellular region]]"
Signaling by EGFR,EGFR binds EGF ligand,R-HSA-177942,"[EGFR [plasma membrane],EGF-like ligands [extracellular region]]",[EGFR:EGF-like ligands [plasma membrane]],[LRIG1 [plasma membrane]]
TRKA activation by NGF,Activated TrkA receptor internalizes to endosomes,R-HSA-190065,[Activated TrkA receptor complex [plasma membrane]],[Activated TrkA receptor complex [endosome membrane]],[]
SHC-mediated cascade:FGFR1,Activated FGFR1:p-SHC1:GRB2:SOS1 activates RAS nucleotide exchange,R-HSA-5654600,"[GTP [cytosol],p21 RAS:GDP [plasma membrane]]","[GDP [cytosol],p21 RAS:GTP [plasma membrane]]","[Activated FGFR1:p-SHC1:GRB2:SOS1 [plasma membrane],GRB2-1:SOS1 [cytosol],SOS1 [cytosol],GRB2-1 [cytosol],Activated FGFR1:p-SHC1 [plasma membrane],Activated FGFR1 [plasma membrane],Activated FGFR1c bound to FGF23:Klotho [plasma membrane],p-8Y-FGFR1c [plasma membrane],HS [extracellular region],Klotho bound to FGF23 [plasma membrane],FGF23(25-251) [extracellular region],Klotho homodimer [plasma membrane],Klotho [extracellular region],Secreted Klotho homodimer [extracellular region],KL-2 [extracellular region],Membrane-bound Klotho homodimer [plasma membrane],KL-1 [plasma membrane],Activated FGFR1c homodimer  [plasma membrane],FGFR1c-binding FGFs [extracellular region],FGF4 [extracellular region],FGF1 [extracellular region],FGF20 [extracellular region],FGF8-1 [extracellular region],GalNAc-T178-FGF23(25-251) [extracellular region],FGF2(10-155) [extracellular region],FGF17-1 [extracellular region],FGF6 [extracellular region],FGF9 [extracellular region],FGF5-1 [extracellular region],Activated FGFR1b homodimer [plasma membrane],p-8Y-FGFR1b dimer [plasma membrane],p-8Y-FGFR1b [plasma membrane],FGFR1b-binding FGFs [extracellular region],FGF22 [extracellular region],FGF3 [extracellular region],FGF10 [extracellular region],p-SHC1 p46,p52 [plasma membrane],p-Y239,Y240,Y317-SHC1-2 [plasma membrane],p-Y194,Y195,Y272-SHC1-3 [plasma membrane]]"
Signalling to p38 via RIT and RIN,RIT/RIN are activated,R-HSA-187746,"[GTP [cytosol],Active TrkA receptor complex:RIT/RIN-GDP [plasma membrane]]","[GDP [cytosol],Active Trk receptor complex:RIT/RIN-GTP [plasma membrane]]",[Guanine nucleotide exchange factor [cytosol]]
Downregulation of ERBB2:ERBB3 signaling,RNF41 ubiquitinates activated ERBB3,R-HSA-1358792,"[Ub [cytosol],NRG1/2:p-10Y-ERBB3:p-ERBB2:RNF41 [plasma membrane]]","[NRG1/2:Ub-p-10Y-ERBB3:p-ERBB2 [plasma membrane],RNF41 [cytosol]]","[NRG1/2:p-10Y-ERBB3:p-ERBB2:RNF41 [plasma membrane],RNF41 [cytosol],Phosphorylated ERBB2:ERBB3 heterodimers [plasma membrane],NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2 [plasma membrane],NRG1/2:p-10Y-ERBB3 [plasma membrane],p-10Y-ERBB3-1 [plasma membrane],NRG1/2 [extracellular region],NRG2 [extracellular region],NRG1 [extracellular region],NRG1-10 [extracellular region],p-Y,Y877-ERBB2 [plasma membrane],NRG1/2:p-10Y-ERBB3:p-Y-ERBB2 [plasma membrane],p-Y-ERBB2 [plasma membrane]]"
Signaling by SCF-KIT,JAK2 binds to p-KIT,R-HSA-1433451,"[JAK2 [cytosol],SFKs:p-KIT complex [plasma membrane]]",[JAK2:SFKS:p-KIT complex [plasma membrane]],[]
FCERI mediated Ca+2 mobilization,"IP3R:I(1,4,5)P3 tetramer transports Ca2+ from ER lumen to cytosol",R-HSA-169683,[Ca2+ [endoplasmic reticulum lumen]],[Ca2+ [cytosol]],"[ITPR:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane],I(1,4,5)P3 [cytosol],ITPR tetramers [endoplasmic reticulum membrane],ITPR1 tetramer [endoplasmic reticulum membrane],ITPR1 [endoplasmic reticulum membrane],ITPR3 tetramer [endoplasmic reticulum membrane],ITPR3 [endoplasmic reticulum membrane],ITPR2 tetramer [endoplasmic reticulum membrane],ITPR2 [endoplasmic reticulum membrane],AHCYL1:NAD+:ITPR1:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane],AHCYL1:NAD+ [endoplasmic reticulum membrane],AHCYL1 [endoplasmic reticulum membrane],NAD+ [endoplasmic reticulum lumen]]"
Signalling to ERK5,ERK5 is activated,R-HSA-198733,"[ATP [cytosol],MAPK7 [cytosol]]","[ADP [cytosol],p-T218,Y220-MAPK7 [cytosol]]",[MAP2K5 [cytosol]]
PTK6 Activates STAT3,Phosphorylated STAT3 Forms Dimers,R-HSA-2730595,[p-Y705-STAT3 [cytosol]],[p-Y705-STAT3 dimer [cytosol]],[]
Downstream signal transduction,PI3-kinase binds to the active receptor,R-HSA-186780,"[PDGF:Phospho-PDGF receptor dimer [plasma membrane],PI3K [cytosol]]",[PDGF:Phospho-PDGF receptor dimer:PI3K [plasma membrane]],[]
PI3K events in ERBB4 signaling,Conversion of PIP2 into PIP3 by PI3K bound to p-ERBB4cyt1 homodimers,R-HSA-1250370,"[ATP [cytosol],PI(4,5)P2 [plasma membrane]]","[PI(3,4,5)P3 [plasma membrane],ADP [cytosol]]","[PI3K:p-ERBB4cyt1 [plasma membrane],PIK3CA:PIK3R1 [cytosol],PIK3CA [cytosol],PIK3R1 [cytosol],p-ERBB4cyt1 homodimers [plasma membrane],p-ERBB4jmBcyt1 [plasma membrane],NRGs/EGF-like ligands:P-ERBB4jmBcyt1 [plasma membrane],NRGs/EGF-like ligands [extracellular region],Neuregulins [extracellular region],NRG2 [extracellular region],NRG3 [extracellular region],NRG4 [extracellular region],NRG1 [extracellular region],EGF-like ligands [extracellular region],HBEGF(63-148) [extracellular region],EREG(60-108) [extracellular region],BTC(32-111) [extracellular region],p-Y1046,Y1178,Y1232-ERBB4 JM-B CYT-1 isoform [plasma membrane],p-ERBB4jmAcyt1 [plasma membrane],NRGs/EGF-like ligands:P-ERBB4jmAcyt1 [plasma membrane],p-Y1056,Y1188,Y1242-ERBB4 JM-A CYT-1 isoform [plasma membrane]]"
MET Receptor Activation,MET receptor dimerizes,R-HSA-6806957,[HGF dimer:MET [plasma membrane]],[HGF:MET dimer [plasma membrane]],[]
Insulin receptor recycling,Re-integration of insulin receptor into plasma membrane,R-HSA-74734,[insulin receptor [endosome membrane]],[Insulin receptor [plasma membrane]],[]
Activated NTRK2 signals through FRS2 and FRS3,Activated NTRK2 binds FRS2,R-HSA-9028730,"[FRS2 [cytosol],BDNF,NTF4:p-5Y-NTRK2 [plasma membrane]]","[BDNF,NTF4:p-5Y-NTRK2:FRS2 [plasma membrane]]",[]
Nuclear signaling by ERBB4,WWOX binds ERBB4s80,R-HSA-1253343,"[ERBB4s80 [cytosol],WWOX [cytosol]]",[ERBB4s80:WWOX [cytosol]],[]
Signal attenuation,GRB2-1:p-4S-SOS1:p-Y427-SHC1 dissociates,R-HSA-5686074,[GRB2-1:p-4S-SOS1:p-Y427-SHC1 [cytosol]],"[p-Y427-SHC1 [cytosol],GRB2-1:p-4S-SOS1 [cytosol]]",[]
