First_Reaction,Second_Reaction
R-HSA-9678128,R-HSA-9686731
R-HSA-9686731,R-HSA-9686699
R-HSA-9686710,R-HSA-9686699
R-HSA-9686699,R-HSA-9686709
R-HSA-9686711,R-HSA-9686710
R-HSA-9678128,R-HSA-9686711
R-HSA-9685681,R-HSA-9684016
R-HSA-9684016,R-HSA-9684033
R-HSA-9685639,R-HSA-9685681
R-HSA-9684033,R-HSA-9685906
R-HSA-9684032,R-HSA-9685519
R-HSA-9681651,R-HSA-9681674
R-HSA-9682563,R-HSA-9682603
R-HSA-9681314,R-HSA-9682695
R-HSA-9684017,R-HSA-9684032
R-HSA-9682603,R-HSA-9682465
R-HSA-9681674,R-HSA-9682563
R-HSA-9684030,R-HSA-9685597
R-HSA-9684018,R-HSA-9684030
R-HSA-9682718,R-HSA-9682712
R-HSA-9685597,R-HSA-9681840
R-HSA-9681840,R-HSA-9684017
R-HSA-9682465,R-HSA-9684018
R-HSA-9682695,R-HSA-9681651
R-HSA-9684241,R-HSA-9686174
R-HSA-9684234,R-HSA-9684238
R-HSA-9684218,R-HSA-9684238
R-HSA-9684229,R-HSA-9684234
R-HSA-9686174,R-HSA-9685531
R-HSA-9685531,R-HSA-9685542
R-HSA-9684238,R-HSA-9684241
R-HSA-9683751,R-HSA-9683734
R-HSA-9683622,R-HSA-9683718
R-HSA-9683622,R-HSA-9683751
R-HSA-9685939,R-HSA-9685950
R-HSA-9683760,R-HSA-9683769
R-HSA-9685939,R-HSA-9685956
R-HSA-9683712,R-HSA-9683760
R-HSA-9683618,R-HSA-9683712
R-HSA-9683769,R-HSA-9683746
R-HSA-9683769,R-HSA-9685939
R-HSA-9685956,R-HSA-9685939
R-HSA-9683664,R-HSA-9686061
R-HSA-9683634,R-HSA-9683630
R-HSA-9683634,R-HSA-9683765
R-HSA-9683634,R-HSA-9683606
R-HSA-9686061,R-HSA-9683687
R-HSA-9683735,R-HSA-9683664
R-HSA-9683735,R-HSA-9683714
R-HSA-9683687,R-HSA-9683634
R-HSA-9683663,R-HSA-9683772
R-HSA-9683755,R-HSA-9683663
R-HSA-9683624,R-HSA-9683755
R-HSA-9683719,R-HSA-9683764
R-HSA-9683772,R-HSA-9683653
R-HSA-9683653,R-HSA-9683719
R-HSA-9683764,R-HSA-9683648
R-HSA-9683720,R-HSA-9683679
R-HSA-9683656,R-HSA-9683720
R-HSA-9683656,R-HSA-9683669
R-HSA-9683679,R-HSA-9683670
R-HSA-9683670,R-HSA-9683635
R-HSA-9686015,R-HSA-9686013
R-HSA-9680812,R-HSA-9680811
R-HSA-9686013,R-HSA-9686005
R-HSA-9683393,R-HSA-9686005
R-HSA-9682718,R-HSA-9683393
R-HSA-9682258,R-HSA-9682626
R-HSA-9680811,R-HSA-9682258
R-HSA-9682544,R-HSA-9682258
R-HSA-9684261,R-HSA-9686015
R-HSA-9684290,R-HSA-9686015
R-HSA-5678490,R-HSA-9687435
R-HSA-8959571,R-HSA-9687435
R-HSA-9687109,R-HSA-9687435
R-HSA-9687121,R-HSA-9687435
R-HSA-5205663,R-HSA-9687435
R-HSA-9684321,R-HSA-9684261
R-HSA-9684275,R-HSA-9684352
R-HSA-9684290,R-HSA-9684321
R-HSA-9684352,R-HSA-9684290
R-HSA-9684351,R-HSA-9684323
R-HSA-9684301,R-HSA-9684350
R-HSA-9684350,R-HSA-9684351
R-HSA-9684340,R-HSA-9684282
R-HSA-9684309,R-HSA-9684282
R-HSA-9684273,R-HSA-9684282
R-HSA-9684277,R-HSA-9684340
R-HSA-9684323,R-HSA-9684340
R-HSA-9684273,R-HSA-9684309
R-HSA-9684323,R-HSA-9684309
R-HSA-9684340,R-HSA-9684336
R-HSA-9684273,R-HSA-9684336
R-HSA-9684323,R-HSA-9684273
R-HSA-9684336,R-HSA-9684275
R-HSA-9683478,R-HSA-9683467
