PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities,Author
Potential therapeutics for SARS,CYSLTR1 binds CYSLTR1 antagonists,R-HSA-9684627,"[CYSLTR1 antagonists [extracellular region],CYSLTR1 [plasma membrane]]",[CYSLTR1:CYSLTR1 antagonists [plasma membrane]],[],"Jassal, B"
Potential therapeutics for SARS,CRBN binds IMiDs,R-HSA-9681169,"[IMiDs [cytosol],CRBN [cytosol]]",[CRBN:IMiDs [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,TYK2 binds TYK2 inhibitors,R-HSA-9678737,"[TYK2 [cytosol],TYK2 inhibitors [cytosol]]",[TYK2:TYK2 inhibitors [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,AP2 binds chlorpromazine,R-HSA-9681616,"[chlorpromazine [cytosol],AP-2 Complex [cytosol]]",[AP2:chlorpromazine [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,"JAK1 binds JAK1,2 inhibitors",R-HSA-9678935,"[JAK1 [cytosol],JAK1,2 inhibitors [cytosol]]","[JAK1:JAK1,2 inhibitors [cytosol]]",[],"Jassal, B"
Potential therapeutics for SARS,"CQ, HCQ diffuses from cytosol to lysosomal lumen",R-HSA-9683478,"[CQ, HCQ [cytosol]]","[CQ, HCQ [lysosomal lumen]]",[],"Jassal, B"
Potential therapeutics for SARS,FURIN binds furin inhibitors,R-HSA-9683546,"[FURIN inhibitors [extracellular region],FURIN [plasma membrane]]",[FURIN:FURIN inhibitors [plasma membrane]],[],"Jassal, B"
Potential therapeutics for SARS,BRD4 binds fedratinib,R-HSA-9680408,"[BRD4 [nucleoplasm],fedratinib [nucleoplasm]]",[BRD4:fedratinib [nucleoplasm]],[],"Jassal, B"
Potential therapeutics for SARS,COMT binds COMT Inhibitors,R-HSA-9679775,"[COMT [plasma membrane],COMT inhibitors [extracellular region]]",[COMT:COMT inhibitors [plasma membrane]],[],"Jassal, B"
Potential therapeutics for SARS,RIPK1 binds ponatinib,R-HSA-9679839,"[RIPK1 [plasma membrane],ponatinib [extracellular region]]",[RIPK1:ponatinib [plasma membrane]],[],"Jassal, B"
Potential therapeutics for SARS,IMPDH tetramers binds IMPDH inhibitors,R-HSA-9678749,"[IMPDH inhibitors [cytosol],IMPDH tetramers [cytosol]]",[IMPDH tetramers:IMPDH inhibitors [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,S1PR1 binds S1PR1 agonists,R-HSA-9678854,"[S1PR1 [plasma membrane],S1PR1 agonists [extracellular region]]",[S1PR1:S1PR1 agonists [plasma membrane]],[],"Jassal, B"
Potential therapeutics for SARS,TUBB binds colchicine,R-HSA-9685830,"[TUBB [cytosol],colchicine [cytosol]]",[TUBB:colchicine [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,TLR9 binds HCQ,R-HSA-9679045,"[TLR9 [cytosol],HCQ [cytosol]]",[TLR9:HCQ [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,FKBP1A binds FKBP1A inhibitors,R-HSA-9679044,"[FKBP1A [cytosol],FKBP1A inhibitors [cytosol]]",[FKBP1A:FKBP1A inhibitors [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,NS5B binds ribavirin,R-HSA-9680836,"[NS5B [cytosol],ribavirin [cytosol]]",[NS5B:ribavirin [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,"CQ, HCQ are protonated to CQ2+, HCQ2+",R-HSA-9683467,"[H+ [lysosomal lumen],CQ, HCQ [lysosomal lumen]]","[CQ2+, HCQ2+ [lysosomal lumen]]",[],"Jassal, B"
Potential therapeutics for SARS,TBK1 binds amlexanox,R-HSA-9679819,"[amlexanox [cytosol],TBK1 [cytosol]]",[TBK1:amlexanox [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,SIGMAR1 binds dextromethorphan,R-HSA-9679816,"[SIGMAR1 [cytosol],dextromethorphan [cytosol]]",[SIGMAR1:dextromethorphan [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,IL6R binds tocilizumab,R-HSA-9681294,"[tocilizumab [extracellular region],IL6R [plasma membrane]]",[IL6R:tocilizumab [plasma membrane]],[],"Jassal, B"
Potential therapeutics for SARS,NR3C1 binds NR3C1 agonists,R-HSA-9678925,"[NR3C1 agonists [cytosol],NR3C1 [cytosol]]",[NR3C1:NR3C1 agonists [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,TLR7 binds HCQ,R-HSA-9679029,"[HCQ [cytosol],TLR7 [cytosol]]",[TLR7:HCQ [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,VEGFA binds VEGFA inhibitors,R-HSA-9679477,"[VEGFA [extracellular region],VEGFA inhibitors [extracellular region]]",[VEGFA:VEGFA inhibitors [extracellular region]],[],"Jassal, B"
Potential therapeutics for SARS,JAK3 binds JAK3 inhibitors,R-HSA-9679028,"[JAK3 inhibitors [cytosol],JAK3 [cytosol]]",[JAK3:JAK3 inhibitors [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,"ROCK1,2 bind ROCKi",R-HSA-9680443,"[ROCKi [cytosol],ROCK1,ROCK2 [cytosol]]","[ROCK1,ROCK2:ROCKi [cytosol]]",[],"Jassal, B"
Potential therapeutics for SARS,PDCD1 binds PDCD1 inhibitors,R-HSA-9679421,"[PDCD1 inhibitors [extracellular region],PDCD1 [plasma membrane]]",[PDCD1:PDCD1 inhibitors [plasma membrane]],[],"Jassal, B"
Potential therapeutics for SARS,ITGA4:ITGB1 binds natalizumab,R-HSA-9679740,"[ITGA4:ITGB1 [plasma membrane],natalizumab [extracellular region]]",[ITGA4:ITGB1:natalizumab [plasma membrane]],[],"Jassal, B"
Potential therapeutics for SARS,IL1R1:IL1RAP binds IL1R1 inhibitors,R-HSA-9681763,"[IL1R1 inhibitors [extracellular region],IL1R1:IL1RAP [plasma membrane]]",[IL1R1:IL1RAP:IL1R1 inhibitors [plasma membrane]],[],"Jassal, B"
Potential therapeutics for SARS,"JAK2 binds JAK1,2 inhibitors",R-HSA-9678561,"[JAK2 [cytosol],JAK1,2 inhibitors [cytosol]]","[JAK2:JAK1,2 inhibitors [cytosol]]",[],"Jassal, B"
Potential therapeutics for SARS,ACE2 is glycosylated to glycosylated-ACE2,R-HSA-9683488,"[N-glycan [endoplasmic reticulum lumen],ACE2 [endoplasmic reticulum lumen]]",[glycosylated-ACE2 [plasma membrane]],[CQ [endoplasmic reticulum lumen]],"Jassal, B"
Potential therapeutics for SARS,ATP1A1 binds cardiac glycosides,R-HSA-9684068,"[cardiac glycosides [extracellular region],ATP1A1 [plasma membrane]]",[ATP1A1:cardiac glycosides [plasma membrane]],[],"Jassal, B"
Potential therapeutics for SARS,SIGMAR1 binds fluvoxamine,R-HSA-9679780,"[SIGMAR1 [cytosol],fluvoxamine [cytosol]]",[SIGMAR1:fluvoxamine [cytosol]],[],"Jassal, B"
Potential therapeutics for SARS,HDAC2 binds HDAC2 Inhibitors,R-HSA-9679787,"[HDAC2 [nucleoplasm],HDAC2 inhibitors [nucleoplasm]]",[HDAC2:HDAC2 inhibitors [nucleoplasm]],[],"Jassal, B"
Translation of Replicase and Assembly of the Replication Transcription Complex,nsp8 binds MAP1LC3B,R-HSA-9687121,"[MAP1LC3B [cytosol],nsp8 [cytosol]]",[nsp8:MAP1LC3B [cytosol]],[],"Varusai, TM"
Translation of Replicase and Assembly of the Replication Transcription Complex,mRNA1 is translated to pp1ab,R-HSA-9684277,"[m7G(5')pppAm-capped, polyadenylated SARS-CoV-1 genomic RNA (plus strand) [cytosol]]",[pp1ab [cytosol]],[],"Stephan, R"
Maturation of replicase proteins,nsp3-4 is glycosylated,R-HSA-9684275,"[a nucleotide sugar [cytosol],nsp3-4 [cytosol]]","[nucleoside 5'-diphosphate(3-) [cytosol],N-glycan nsp3-4 [endoplasmic reticulum membrane],H+ [cytosol]]",[],"Stephan, R"
Maturation of replicase proteins,3CLp cleaves pp1a,R-HSA-9684273,"[H2O [cytosol],pp1a [cytosol]]","[pp1a-nsp1-4 [cytosol],pp1a-nsp6-11 [cytosol],pp1a-nsp5 [cytosol]]","[3CLp dimer [cytosol],nsp5 [cytosol],pp1a-nsp5 [cytosol],pp1ab-nsp5 [cytosol],3CLp dimer:α-Ketoamides [cytosol],α-Ketoamides [cytosol],compound 13b [cytosol],compound 11r [cytosol]]","Stephan, R"
Maturation of replicase proteins,nsp1-4 cleaves itself,R-HSA-9684336,"[H2O [cytosol],nsp1-4 [cytosol]]","[nsp2 [cytosol],nsp3-4 [cytosol],nsp1 [cytosol]]",[pp1a-nsp1-4 [cytosol]],"Stephan, R"
Maturation of replicase proteins,3CLp cleaves nsp6-11,R-HSA-9684309,"[H2O [cytosol],pp1a-nsp6-11 [cytosol]]","[pp1a-nsp11 [cytosol],pp1a-nsp6 [endoplasmic reticulum membrane],pp1a-nsp7 [cytosol],pp1a-nsp10 [cytosol],pp1a-nsp9 [cytosol],pp1a-nsp8 [cytosol]]","[3CLp dimer [cytosol],nsp5 [cytosol],pp1a-nsp5 [cytosol],pp1ab-nsp5 [cytosol],3CLp dimer:α-Ketoamides [cytosol],α-Ketoamides [cytosol],compound 13b [cytosol],compound 11r [cytosol]]","Stephan, R"
Maturation of replicase proteins,3CLp cleaves pp1ab,R-HSA-9684340,"[H2O [cytosol],pp1ab [cytosol]]","[pp1ab-nsp14 [cytosol],pp1ab-nsp1-4 [cytosol],pp1ab-nsp10 [cytosol],pp1ab-nsp12 [cytosol],pp1ab-nsp9 [cytosol],pp1ab-nsp13 [cytosol],pp1ab-nsp7 [cytosol],pp1ab-nsp5 [cytosol],pp1ab-nsp15 [cytosol],pp1ab-nsp16 [cytosol],pp1ab-nsp6 [endoplasmic reticulum membrane],pp1ab-nsp8 [cytosol]]","[3CLp dimer [cytosol],nsp5 [cytosol],pp1a-nsp5 [cytosol],pp1ab-nsp5 [cytosol],3CLp dimer:α-Ketoamides [cytosol],α-Ketoamides [cytosol],compound 13b [cytosol],compound 11r [cytosol]]","Stephan, R"
Maturation of replicase proteins,nsp9 forms a homodimer,R-HSA-9684282,[nsp9 [cytosol]],[nsp9 dimer [cytosol]],[],"Stephan, R"
Maturation of replicase proteins,pp1a cleaves itself,R-HSA-9684351,"[H2O [cytosol],pp1a [cytosol]]","[pp1a-nsp1-4 [cytosol],pp1a-nsp6-11 [cytosol],pp1a-nsp5 [cytosol]]","[pp1a dimer [cytosol],pp1a [cytosol]]","Stephan, R"
Maturation of replicase proteins,pp1a forms a dimer,R-HSA-9684350,[pp1a [cytosol]],[pp1a dimer [cytosol]],[],"Stephan, R"
Maturation of replicase proteins,3CLp dimer binds α-Ketoamides,R-HSA-9681596,"[α-Ketoamides [cytosol],3CLp dimer [cytosol]]",[3CLp dimer:α-Ketoamides [cytosol]],[],"Jassal, B"
Maturation of replicase proteins,3CLp forms a homodimer,R-HSA-9684323,[nsp5 [cytosol]],[3CLp dimer [cytosol]],[],"Stephan, R"
Maturation of replicase proteins,nsp3 is glycosylated,R-HSA-9684290,"[a nucleotide sugar [cytosol],nsp3 [cytosol]]","[N-glycan nsp3 [endoplasmic reticulum membrane],nucleoside 5'-diphosphate(3-) [cytosol],H+ [cytosol]]",[],"Stephan, R"
Maturation of replicase proteins,nsp3 cleaves nsp1-4,R-HSA-9684321,"[H2O [cytosol],nsp1-4 [cytosol]]","[nsp4 [cytosol],nsp3 [cytosol],nsp2 [cytosol],nsp1 [cytosol]]","[N-glycan nsp3 [endoplasmic reticulum membrane],N-glycan pp1a-nsp3 [endoplasmic reticulum membrane],N-glycan pp1ab-nsp3 [endoplasmic reticulum membrane]]","Stephan, R"
Maturation of replicase proteins,nsp3-4 cleaves itself,R-HSA-9684352,"[H2O [cytosol],nsp3-4 [cytosol]]","[nsp4 [cytosol],nsp3 [cytosol]]",[N-glycan pp1ab-nsp3-4 [endoplasmic reticulum membrane]],"Stephan, R"
Maturation of replicase proteins,nsp4 is glycosylated,R-HSA-9684261,"[nsp4 [cytosol],a nucleotide sugar [cytosol]]","[nucleoside 5'-diphosphate(3-) [cytosol],H+ [cytosol],N-glycan nsp4 [endoplasmic reticulum membrane]]",[],"Stephan, R"
Translation of Replicase and Assembly of the Replication Transcription Complex,8b binds to MAP1LC3B,R-HSA-9687109,"[MAP1LC3B [cytosol],8b [cytosol]]",[8b:MAP1LC3B [cytosol]],[],"Varusai, TM"
