PathwayName,Event,RelationType,PrecedingEventCurated
Autophagy,R-HSA-9626034,Preceding Event Relation,R-HSA-9626046
Autophagy,R-HSA-9626067,Preceding Event Relation,R-HSA-9626038
Autophagy,R-HSA-9626256,Preceding Event Relation,R-HSA-9626253
Autophagy,R-HSA-9626038,Preceding Event Relation,R-HSA-9626034
Autophagy,R-HSA-9626039,Preceding Event Relation,R-HSA-9626060
Autophagy,R-HSA-9626039,Preceding Event Relation,R-HSA-9626034
Autophagy,R-HSA-9626235,Preceding Event Relation,R-HSA-9626256
Autophagy,R-HSA-9622840,Preceding Event Relation,R-HSA-9620197
Autophagy,R-HSA-9624158,Preceding Event Relation,R-HSA-9622831
Autophagy,R-HSA-9626046,Preceding Event Relation,null
Autophagy,R-HSA-9626242,Preceding Event Relation,R-HSA-9626039
Autophagy,R-HSA-9625188,Preceding Event Relation,R-HSA-9625196
Autophagy,R-HSA-9626276,Preceding Event Relation,R-HSA-9626235
Autophagy,R-HSA-9620197,Preceding Event Relation,R-HSA-9615721
Autophagy,R-HSA-9620197,Preceding Event Relation,R-HSA-9626276
Autophagy,R-HSA-9615721,Preceding Event Relation,R-HSA-9646685
Autophagy,R-HSA-9615721,Preceding Event Relation,R-HSA-9613666
Autophagy,R-HSA-9622831,Preceding Event Relation,R-HSA-9622840
Autophagy,R-HSA-9625196,Preceding Event Relation,R-HSA-9625197
Autophagy,R-HSA-9626060,Preceding Event Relation,R-HSA-9625188
Autophagy,R-HSA-9625197,Preceding Event Relation,R-HSA-9624158
Autophagy,R-HSA-9626253,Preceding Event Relation,R-HSA-9626242
Autophagy,R-HSA-5678313,Preceding Event Relation,null
Autophagy,R-HSA-5673768,Preceding Event Relation,R-HSA-380930
Autophagy,R-HSA-5678315,Preceding Event Relation,null
Autophagy,R-HSA-5679266,Preceding Event Relation,null
Autophagy,R-HSA-5679205,Preceding Event Relation,null
Autophagy,R-HSA-5679206,Preceding Event Relation,null
Autophagy,R-HSA-5681981,Preceding Event Relation,null
Autophagy,R-HSA-5681980,Preceding Event Relation,null
Autophagy,R-HSA-5683583,Preceding Event Relation,null
Autophagy,R-HSA-5672817,Preceding Event Relation,R-HSA-5672011
Autophagy,R-HSA-5682377,Preceding Event Relation,null
Autophagy,R-HSA-5683593,Preceding Event Relation,null
Autophagy,R-HSA-5672008,Preceding Event Relation,null
Autophagy,R-HSA-5672011,Preceding Event Relation,null
Autophagy,R-HSA-5672010,Preceding Event Relation,null
Autophagy,R-HSA-5682893,Preceding Event Relation,null
Autophagy,R-HSA-5672012,Preceding Event Relation,null
Autophagy,R-HSA-5665868,Preceding Event Relation,null
Autophagy,R-HSA-5681999,Preceding Event Relation,null
Autophagy,R-HSA-5675790,Preceding Event Relation,null
Autophagy,R-HSA-5681987,Preceding Event Relation,null
Autophagy,R-HSA-5682690,Preceding Event Relation,null
Autophagy,R-HSA-5676229,Preceding Event Relation,null
Autophagy,R-HSA-1632843,Preceding Event Relation,R-HSA-5678315
