PathwayName,Event,RelationType,InputReaction
Autophagy,R-HSA-9626034,Shared entity relation,R-HSA-9626046
Autophagy,R-HSA-9626034,Shared entity relation,R-HSA-9626038
Autophagy,R-HSA-9626034,Shared entity relation,R-HSA-9626039
Autophagy,R-HSA-9626067,Shared entity relation,null
Autophagy,R-HSA-9626256,Shared entity relation,R-HSA-9626235
Autophagy,R-HSA-9626038,Shared entity relation,R-HSA-9626067
Autophagy,R-HSA-9626039,Shared entity relation,R-HSA-9626242
Autophagy,R-HSA-9626235,Shared entity relation,R-HSA-9626253
Autophagy,R-HSA-9626235,Shared entity relation,R-HSA-9615721
Autophagy,R-HSA-9626235,Shared entity relation,R-HSA-9613352
Autophagy,R-HSA-9626235,Shared entity relation,R-HSA-9626276
Autophagy,R-HSA-9622840,Shared entity relation,R-HSA-9622831
Autophagy,R-HSA-9622840,Shared entity relation,R-HSA-9626253
Autophagy,R-HSA-9622840,Shared entity relation,R-HSA-9615721
Autophagy,R-HSA-9622840,Shared entity relation,R-HSA-9613352
Autophagy,R-HSA-9624158,Shared entity relation,R-HSA-9625197
Autophagy,R-HSA-9626046,Shared entity relation,R-HSA-9626034
Autophagy,R-HSA-9626242,Shared entity relation,R-HSA-9626253
Autophagy,R-HSA-9626242,Shared entity relation,null
Autophagy,R-HSA-9625188,Shared entity relation,R-HSA-9626060
Autophagy,R-HSA-9626276,Shared entity relation,R-HSA-9622831
Autophagy,R-HSA-9626276,Shared entity relation,R-HSA-9620197
Autophagy,R-HSA-9620197,Shared entity relation,R-HSA-9622840
Autophagy,R-HSA-9615721,Shared entity relation,R-HSA-9620197
Autophagy,R-HSA-9615721,Shared entity relation,R-HSA-9631068
Autophagy,R-HSA-9622831,Shared entity relation,R-HSA-9624158
Autophagy,R-HSA-9625196,Shared entity relation,R-HSA-9625188
Autophagy,R-HSA-9626060,Shared entity relation,R-HSA-9626039
Autophagy,R-HSA-9626060,Shared entity relation,null
Autophagy,R-HSA-9625197,Shared entity relation,R-HSA-9625196
Autophagy,R-HSA-9626253,Shared entity relation,R-HSA-9626256
Autophagy,R-HSA-5678313,Shared entity relation,R-HSA-1632857
Autophagy,R-HSA-5673768,Shared entity relation,R-HSA-5675790
Autophagy,R-HSA-5678315,Shared entity relation,R-HSA-1632843
Autophagy,R-HSA-5678315,Shared entity relation,null
Autophagy,R-HSA-5678315,Shared entity relation,R-HSA-5679266
Autophagy,R-HSA-5678315,Shared entity relation,R-HSA-5678313
Autophagy,R-HSA-5679266,Shared entity relation,R-HSA-5679205
Autophagy,R-HSA-5679205,Shared entity relation,R-HSA-5682385
Autophagy,R-HSA-5679205,Shared entity relation,R-HSA-5672012
Autophagy,R-HSA-5681981,Shared entity relation,R-HSA-5683593
