PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Path_Start,Longest_Path_End,Longest_Path_Links
Cell Cycle,SCF(Skp2)-mediated degradation of p27/p21,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187545"",""Association of Cks1 with SCF(Skp2) complex"")",Yes,1,56,The role of GTSE1 in G2/M progression after G2 checkpoint,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8852362"",""GTSE1 binds CDKN1A"")",Yes,"[1, 4, 5, 7, 8, 9, 16, 21, 22, 23, 25, 27, 29, 31, 32, 33, 34, 36, 37, 28]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141409"",""Mad1 binds kinetochore"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912470"",""ATR phosphorylates Histone H2A.X at unsynapsed regions"")",41
Cell Cycle,Cohesin Loading onto Chromatin,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2468040"",""Cohesin binds PDS5 and WAPAL"")",Yes,2,1,G2 Phase,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187959"",""Phosphorylation of E2F1/E2F3 by Cyclin A:phosph-Cdk2(Thr 160)"")",Yes,"[1, 4, 5, 7, 8, 9, 16, 21, 22, 23, 25, 27, 29, 31, 32, 33, 34, 36, 37, 28]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141409"",""Mad1 binds kinetochore"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9670149"",""TERRA transcription"")",40
Cell Cycle,Stabilization of p53,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804741"",""MDM2 forms homo- or heterodimers"")",Yes,3,2,Regulation of APC/C activators between G1/S and early anaphase,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174139"",""Dissociation of phospho-Cdh1 from the APC/C complex"")",Yes,"[1, 4, 5, 7, 8, 9, 16, 21, 22, 23, 25, 27, 29, 31, 32, 33, 34, 36, 37, 28]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164616"",""Biogenesis and assembly of the telomerase RNP"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69299"",""Cdt1 associates with geminin"")",39
Cell Cycle,Meiotic recombination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912363"",""PRDM9 binds recombination hotspot motifs in DNA"")",Yes,4,56,Activation of the pre-replicative complex,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68954"",""Mcm2-7 is phosphorylated by DDK"")",Yes,[23],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164616"",""Biogenesis and assembly of the telomerase RNP"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176942"",""Multiple proteins are localized at replication fork"")",39
Cell Cycle,Cyclin D associated events in G1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9659820"",""RB1 translocates to the nucleus"")",Yes,5,56,Recruitment of NuMA to mitotic centrosomes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380316"",""Association of NuMA with microtubules"")",Yes,"[1, 4, 5, 7, 8, 9, 16, 21, 22, 23, 25, 27, 29, 31, 32, 33, 34, 35, 36, 37, 28]",21,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141409"",""Mad1 binds kinetochore"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912505"",""Synapsis"")",39
Cell Cycle,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8854051"",""SCF-FBXL18 ubiquitinates FBXL7"")",Yes,6,1,Processive synthesis on the lagging strand,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69173"",""Joining of adjacent Okazaki fragments"")",Yes,"[1, 4, 5, 7, 8, 9, 16, 21, 22, 23, 25, 27, 29, 31, 32, 33, 34, 36, 37, 28]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170057"",""Formation of Cyclin B:Cdc2 complexes"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912470"",""ATR phosphorylates Histone H2A.X at unsynapsed regions"")",39
Cell Cycle,G0 and Early G1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362270"",""Phosphorylation of LIN52 component of MuvB by DYRK1A"")",Yes,7,59,Loss of Nlp from mitotic centrosomes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380303"",""Dissociation of Phospho-Nlp from the centrosome"")",Yes,"[1, 4, 5, 7, 8, 9, 16, 21, 22, 23, 25, 27, 29, 31, 32, 33, 34, 36, 37, 28]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-349444"",""Phosphorylation of COP1 at Ser-387  by ATM"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912470"",""ATR phosphorylates Histone H2A.X at unsynapsed regions"")",38
Cell Cycle,Cyclin A:Cdk2-associated events at S phase entry,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187828"",""Translocation of p21 to the nucleus"")",Yes,8,56,G1/S-Specific Transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8961632"",""POLA1 gene transcription is stimulated by E2F1"")",Yes,"[1, 4, 5, 7, 8, 9, 16, 21, 22, 23, 25, 27, 29, 31, 32, 33, 34, 36, 37, 28]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1227671"",""Recruitment of HDAC1 by p107 (RBL1)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912470"",""ATR phosphorylates Histone H2A.X at unsynapsed regions"")",38
Cell Cycle,Cyclin A:Cdk2-associated events at S phase entry,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187506"",""Translocation of p27 to the nucleoplasm"")",Yes,9,56,Golgi Cisternae Pericentriolar Stack Reorganization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2314566"",""GORASP1 phosphorylated by PLK1 and GORASP2 phosphorylated by MAPK3-3/MAPK1 are unable to promote Golgi cisternae stacking"")",Yes,"[1, 4, 5, 7, 8, 9, 12, 16, 21, 22, 23, 25, 27, 29, 31, 32, 33, 34, 36, 37, 28]",21,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164616"",""Biogenesis and assembly of the telomerase RNP"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8961632"",""POLA1 gene transcription is stimulated by E2F1"")",38
Cell Cycle,Cyclin A/B1/B2 associated events during G2/M transition,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170084"",""Formation of Cyclin A:Cdc2 complexes"")",Yes,10,1,Cyclin A:Cdk2-associated events at S phase entry,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187916"",""Cyclin A:Cdk2 mediated phosphorylation of p27/p21"")",Yes,"[1, 4, 5, 7, 8, 9, 16, 21, 22, 23, 25, 27, 29, 31, 32, 33, 34, 36, 37, 28]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-164616"",""Biogenesis and assembly of the telomerase RNP"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8961934"",""CDK1 gene expression is stimulated by E2F1 and repressed by RBL1 and RBL2"")",38
