PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Path_Start,Longest_Path_End,Longest_Path_Links
Cellular responses to external stimuli,HSF1 activation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3371586"",""Dissociation of cytosolic HSF1:HSP90 complex"")",Yes,1,10,Oxidative Stress Induced Senescence,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3229152"",""MAP3K5 (ASK1) phosphorylates MAP2K4 (SEK1)"")",Yes,[6],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168162"",""Phosphorylation of human JNKs by activated MKK4/MKK7"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3788705"",""CDKN1A (p21) prevents phosphorylation of Cdh1 by Cyclin A:Cdk2"")",18
Cellular responses to external stimuli,Regulation of gene expression by Hypoxia-inducible Factor,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1234161"",""HIF-alpha translocates from cytosol to nucleus"")",Yes,3,4,Detoxification of Reactive Oxygen Species,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3323079"",""GSR catalyzes glutathione (oxidized) + NADPH + H+ => 2 glutathione (reduced) + NADP+"")",Yes,[29],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3223236"",""RAS signaling and prolonged interferon-beta stimulation promote generation of reactive oxygen species (ROS)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3788705"",""CDKN1A (p21) prevents phosphorylation of Cdh1 by Cyclin A:Cdk2"")",17
Cellular responses to external stimuli,Response of EIF2AK1 (HRI) to heme deficiency,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9648880"",""Ferriheme dissociates from p-T-EIF2AK1:2xferriheme dimer"")",Yes,2,9,HSP90 chaperone cycle for steroid hormone receptors (SHR),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5618093"",""ATP hydrolysis by HSP90"")",Yes,"[1, 27, 30]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168162"",""Phosphorylation of human JNKs by activated MKK4/MKK7"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69562"",""Inactivation of Cyclin E:Cdk2 complexes by p27/p21"")",17
Cellular responses to external stimuli,Detoxification of Reactive Oxygen Species,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3697855"",""Superoxide and nitric oxide react to form peroxynitrite in mitochondria"")",No,-,-,Detoxification of Reactive Oxygen Species,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3343700"",""PRDX6:GSTP1 catalyzes 2 glutathione, reduced + H2O2 => glutathione, oxidized + 2 H2O"")",Yes,[37],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3223236"",""RAS signaling and prolonged interferon-beta stimulation promote generation of reactive oxygen species (ROS)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69562"",""Inactivation of Cyclin E:Cdk2 complexes by p27/p21"")",16
Cellular responses to external stimuli,Oncogene Induced Senescence,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209160"",""Activated ERKs phosphorylate ERF"")",Yes,4,1,Oncogene Induced Senescence,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209179"",""ERF inhibits ETS2 expression"")",Yes,[24],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3240765"",""E2F1/2/3:DP1/2 binds EED gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3788705"",""CDKN1A (p21) prevents phosphorylation of Cdh1 by Cyclin A:Cdk2"")",16
Cellular responses to external stimuli,Interconversion of nucleotide di- and triphosphates,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71682"",""glutathione (oxidized) + NADPH + H+ => 2 glutathione (reduced) + NADP+"")",Yes,5,1,Regulation of HMOX1 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9708536"",""HMOX1 translocates from the cytosol to the nucleoplasm"")",Yes,"[16, 19, 31]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-450325"",""c-FOS activation by phospho ERK1/2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3788705"",""CDKN1A (p21) prevents phosphorylation of Cdh1 by Cyclin A:Cdk2"")",16
Cellular responses to external stimuli,Oxidative Stress Induced Senescence,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3223236"",""RAS signaling and prolonged interferon-beta stimulation promote generation of reactive oxygen species (ROS)"")",Yes,6,7,Stabilization of p53,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804879"",""MDM2 ubiquitinates TP53"")",Yes,"[6, 11, 12, 39, 20, 25, 34, 8]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3240766"",""E2F1/2/3:DP1/2 binds SUZ12 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3788705"",""CDKN1A (p21) prevents phosphorylation of Cdh1 by Cyclin A:Cdk2"")",16
Cellular responses to external stimuli,MTF1 activates gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5660479"",""MTF1 dimer:12Zn2+ binds SNCB gene (beta-synuclein)"")",Yes,7,1,Heme signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9707856"",""PGRMC2:Hemes dissociates"")",Yes,[16],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3240777"",""E2F1/2/3:DP1/2 binds EZH2 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3788705"",""CDKN1A (p21) prevents phosphorylation of Cdh1 by Cyclin A:Cdk2"")",16
Cellular responses to external stimuli,Senescence-Associated Secretory Phenotype (SASP),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3858387"",""Activated STAT3 positively regulates CEBPB transcription"")",Yes,9,4,Response of EIF2AK1 (HRI) to heme deficiency,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9650710"",""Translation of PPP1R15A"")",Yes,"[2, 33]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3240765"",""E2F1/2/3:DP1/2 binds EED gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69562"",""Inactivation of Cyclin E:Cdk2 complexes by p27/p21"")",15
Cellular responses to external stimuli,MTF1 activates gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5660514"",""MTF1 dimer:12Zn2+ binds CSRP1 gene"")",Yes,10,1,Oncogene Induced Senescence,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209159"",""Phosphorylated ERF translocates to the cytosol"")",Yes,[4],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-168162"",""Phosphorylation of human JNKs by activated MKK4/MKK7"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4647594"",""SAHF formation"")",15
