PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID
Circadian Clock,,,,,Circadian Clock,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-549355"",""CRY proteins stabilize unphosphorylated BMAL1:CLOCK,NPAS2"")",No,-
Circadian Clock,,,,,"BMAL1:CLOCK,NPAS2 activates circadian gene expression","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8878679"",""Expression of KLF15"")",No,-
Circadian Clock,,,,,"BMAL1:CLOCK,NPAS2 activates circadian gene expression","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-879770"",""Expression of DEC2 (BHLHE41, BHLHB3)"")",No,-
Circadian Clock,,,,,"BMAL1:CLOCK,NPAS2 activates circadian gene expression","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-549424"",""Expression of CCRN4L (NOCTURNIN)"")",No,-
Circadian Clock,,,,,NR1D1 (REV-ERBA) represses gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5663252"",""NR1D1 (REV-ERBA) binds heme, the ELOVL3 gene, and recruits corepressors"")",No,-
Circadian Clock,,,,,"BMAL1:CLOCK,NPAS2 activates circadian gene expression","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-549428"",""Expression of FACTOR VII (F7)"")",No,-
Circadian Clock,,,,,"BMAL1:CLOCK,NPAS2 activates circadian gene expression","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-879762"",""Expression of DBP"")",No,-
Circadian Clock,,,,,"BMAL1:CLOCK,NPAS2 activates circadian gene expression","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-879798"",""Expression of DEC1 (BHLHE40, BHLHB2)"")",No,-
Circadian Clock,,,,,"BMAL1:CLOCK,NPAS2 activates circadian gene expression","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-549364"",""Expression of SERPINE1 (PAI-1)"")",No,-
Circadian Clock,,,,,"BMAL1:CLOCK,NPAS2 activates circadian gene expression","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-879724"",""Expression of PPARA"")",No,-
Circadian Clock,,,,,"BMAL1:CLOCK,NPAS2 activates circadian gene expression","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-879782"",""Expression of AVP"")",No,-
Circadian Clock,,,,,RORA activates gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1368081"",""Expression of SREBF1 (SREBP1)"")",No,-
Circadian Clock,,,,,RORA activates gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1801587"",""Expression of CPT1A"")",No,-
Circadian Clock,,,,,"BMAL1:CLOCK,NPAS2 activates circadian gene expression","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1368889"",""Expression of NAMPT (NamPRT, PBEF, Visfatin)"")",No,-
