PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Path_Start,Longest_Path_End,Longest_Path_Links
DNA Replication,Unwinding of DNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176956"",""Formation of GINS complex"")",Yes,1,2,Activation of the pre-replicative complex,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68954"",""Mcm2-7 is phosphorylated by DDK"")",Yes,"[2, 3, 4]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68595"",""Orc3 associates with Orc2 constitutively bound at origins of replication"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69173"",""Joining of adjacent Okazaki fragments"")",28
DNA Replication,CDC6 association with the ORC:origin complex,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68637"",""CDC6 protein is synthesized under the control of E2F transcription factors"")",Yes,2,7,Processive synthesis on the lagging strand,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69173"",""Joining of adjacent Okazaki fragments"")",Yes,"[2, 3, 4]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68637"",""CDC6 protein is synthesized under the control of E2F transcription factors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69173"",""Joining of adjacent Okazaki fragments"")",23
DNA Replication,CDT1 association with the CDC6:ORC:origin complex,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68712"",""The geminin component of geminin:Cdt1 complexes is ubiquitinated, releasing Cdt1"")",Yes,3,7,Orc1 removal from chromatin,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68948"",""Ubiquitinated Orc1 is degraded by the proteasome"")",Yes,"[2, 3, 4]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68712"",""The geminin component of geminin:Cdt1 complexes is ubiquitinated, releasing Cdt1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69173"",""Joining of adjacent Okazaki fragments"")",22
DNA Replication,Assembly of the ORC complex at the origin of replication,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68595"",""Orc3 associates with Orc2 constitutively bound at origins of replication"")",Yes,4,6,CDK-mediated phosphorylation and removal of Cdc6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69016"",""Ubiquitinated Cdc6 is degraded by the proteasome"")",Yes,[2],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68595"",""Orc3 associates with Orc2 constitutively bound at origins of replication"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68954"",""Mcm2-7 is phosphorylated by DDK"")",13
DNA Replication,,,,,-,Activation of the pre-replicative complex,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69299"",""Cdt1 associates with geminin"")",Yes,"[2, 3, 4]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68595"",""Orc3 associates with Orc2 constitutively bound at origins of replication"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68948"",""Ubiquitinated Orc1 is degraded by the proteasome"")",13
DNA Replication,,,,,-,Unwinding of DNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169468"",""MCM2-7 mediated fork unwinding"")",Yes,"[2, 3, 4]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68595"",""Orc3 associates with Orc2 constitutively bound at origins of replication"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69299"",""Cdt1 associates with geminin"")",12
DNA Replication,,,,,-,CDT1 association with the CDC6:ORC:origin complex,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68825"",""Ubiquitinated geminin is degraded by the proteasome"")",Yes,[3],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68595"",""Orc3 associates with Orc2 constitutively bound at origins of replication"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169468"",""MCM2-7 mediated fork unwinding"")",10
DNA Replication,,,,,-,Unwinding of DNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169461"",""MCM8 mediated fork unwinding"")",Yes,"[1, 2, 3, 4]",4,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68595"",""Orc3 associates with Orc2 constitutively bound at origins of replication"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169461"",""MCM8 mediated fork unwinding"")",10
DNA Replication,,,,,-,Unwinding of DNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176942"",""Multiple proteins are localized at replication fork"")",Yes,[1],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68637"",""CDC6 protein is synthesized under the control of E2F transcription factors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68954"",""Mcm2-7 is phosphorylated by DDK"")",8
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68637"",""CDC6 protein is synthesized under the control of E2F transcription factors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68948"",""Ubiquitinated Orc1 is degraded by the proteasome"")",8
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68637"",""CDC6 protein is synthesized under the control of E2F transcription factors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69299"",""Cdt1 associates with geminin"")",7
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68712"",""The geminin component of geminin:Cdt1 complexes is ubiquitinated, releasing Cdt1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68954"",""Mcm2-7 is phosphorylated by DDK"")",7
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68712"",""The geminin component of geminin:Cdt1 complexes is ubiquitinated, releasing Cdt1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68948"",""Ubiquitinated Orc1 is degraded by the proteasome"")",7
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68712"",""The geminin component of geminin:Cdt1 complexes is ubiquitinated, releasing Cdt1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69299"",""Cdt1 associates with geminin"")",6
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68637"",""CDC6 protein is synthesized under the control of E2F transcription factors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69016"",""Ubiquitinated Cdc6 is degraded by the proteasome"")",5
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68637"",""CDC6 protein is synthesized under the control of E2F transcription factors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169468"",""MCM2-7 mediated fork unwinding"")",5
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68637"",""CDC6 protein is synthesized under the control of E2F transcription factors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169461"",""MCM8 mediated fork unwinding"")",5
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68712"",""The geminin component of geminin:Cdt1 complexes is ubiquitinated, releasing Cdt1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169468"",""MCM2-7 mediated fork unwinding"")",4
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68712"",""The geminin component of geminin:Cdt1 complexes is ubiquitinated, releasing Cdt1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169461"",""MCM8 mediated fork unwinding"")",4
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176956"",""Formation of GINS complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169461"",""MCM8 mediated fork unwinding"")",2
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176956"",""Formation of GINS complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-176942"",""Multiple proteins are localized at replication fork"")",2
DNA Replication,,,,,-,,,,,,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68712"",""The geminin component of geminin:Cdt1 complexes is ubiquitinated, releasing Cdt1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-68825"",""Ubiquitinated geminin is degraded by the proteasome"")",2
