PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Path_Start,Longest_Path_End,Longest_Path_Links
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1602466"",""Activation of MT-MMPs by FURIN"")",Yes,1,14,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4086223"",""Collagen type IX binds integrin alpha11beta1"")",Yes,[4],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2129357"",""Fibrillin C-terminal processing"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161282"",""Elastic fibres bind associated proteins"")",8
Extracellular matrix organization,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1564143"",""Collagen type X degradation by MMP1,2"")",Yes,2,2,Crosslinking of collagen fibrils,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2243931"",""Formation of dehydro-lysinonorleucine cross-links"")",Yes,"[4, 13]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2089971"",""Secretion of collagens"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395223"",""Formation of hydroxylysyl-pyridinoline cross-links"")",6
Extracellular matrix organization,Laminin interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2327803"",""Laminins bind Nidogens 1, 2"")",Yes,3,2,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534240"",""HSPG2 (perlecan) degradation by MMP14, MMP15"")",Yes,[1],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2089971"",""Secretion of collagens"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395324"",""Formation of hydroxylysyl-pyrrole cross-links"")",6
Extracellular matrix organization,Collagen biosynthesis and modifying enzymes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2089971"",""Secretion of collagens"")",Yes,4,47,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8940554"",""MMP2 cleaves OPTC"")",Yes,"[4, 10]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2089971"",""Secretion of collagens"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395322"",""Formation of lysyl-pyridinoline cross-links"")",6
Extracellular matrix organization,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9679740"",""ITGA4:ITGB1 binds natalizumab"")",Yes,5,2,Extracellular matrix organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2327733"",""FN1 binds Collagen types I-V, VII"")",Yes,[4],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2089971"",""Secretion of collagens"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213192"",""Hemidesmosome formation"")",6
Extracellular matrix organization,Elastic fibre formation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161293"",""Tropoelastin forms aggregate globules"")",Yes,6,1,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088264"",""Endostatin binds integrin alphaVbeta3, alphaVbeta5, alpha3beta1, alpha5beta1"")",Yes,[20],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2089971"",""Secretion of collagens"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2250301"",""Formation of lysyl-pyrrole cross-links"")",6
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1602458"",""Activation of proMMP10"")",Yes,7,3,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2533965"",""NID1 degradation by MMP14, MMP15"")",Yes,[1],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161293"",""Tropoelastin forms aggregate globules"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161282"",""Elastic fibres bind associated proteins"")",6
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1602488"",""Initial activation of proMMP13 by plasmin and trypsin"")",Yes,8,1,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8942302"",""MMP13 cleaves OPTC"")",Yes,"[1, 4, 8, 14]",4,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592316"",""Initial activation of proMMP1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8940554"",""MMP2 cleaves OPTC"")",6
Extracellular matrix organization,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2484882"",""Collagen type X degradation by MMP3, 13"")",Yes,9,2,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2168960"",""Collagen type XVII ectodomain shedding"")",Yes,[11],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1602466"",""Activation of MT-MMPs by FURIN"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8942302"",""MMP13 cleaves OPTC"")",5
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592316"",""Initial activation of proMMP1"")",Yes,10,4,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3828025"",""DCN (decorin) degradation by MMP14"")",Yes,[1],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2089971"",""Secretion of collagens"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2243931"",""Formation of dehydro-lysinonorleucine cross-links"")",5
