PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID
Gene expression (Transcription),FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625406"",""FOXO1,FOXO3 bind KLF4 gene promoter"")",Yes,1,Negative regulation of activity of TFAP2 (AP-2) family transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3234081"",""SUMOylation of TFAP2A with SUMO1"")",Yes,[26]
Gene expression (Transcription),RUNX1 regulates estrogen receptor mediated transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8932070"",""ESR1 binds the AXIN1 gene"")",Yes,2,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007462"",""CDC7 gene expression is repressed by the PRC1L4 complex"")",Yes,[12]
Gene expression (Transcription),Transcriptional Regulation by VENTX,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8853890"",""VENTX binds the IL6 gene promoter"")",Yes,3,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625124"",""GCK gene expression is inhibited by FOXO1, SIN3A and HDACs"")",No,-
Gene expression (Transcription),Regulation of RUNX1 Expression and Activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8936068"",""H19 is cleaved to produce miR-675"")",Yes,5,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622981"",""NPY gene expression is stimulated by FOXO1"")",No,-
Gene expression (Transcription),Regulation of RUNX2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939938"",""ESRRA:PPARG1CB binds the RUNX2 gene promoter"")",Yes,4,PI5P Regulates TP53 Acetylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810376"",""ING2 binds PI5P"")",Yes,"[31, 32, 56, 59, 61, 63, 65]"
Gene expression (Transcription),DNA methylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5334099"",""UHRF1 binds chromatin with hemimethylated cytosine"")",Yes,6,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2106586"",""WWTR1:SMAD stimulates transcription of SERPINE1 while TGIF:SMAD and SMAD7 inhibit it"")",Yes,"[4, 10, 11, 17, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),Oncogene Induced Senescence,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209151"",""miR-24 binds p16INK4A and p14ARF mRNAs"")",Yes,7,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6801195"",""STEAP3 binds BNIP3L"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6798624"",""ZNF420 binds TP53AIP1 gene"")",Yes,8,MECP2 regulates transcription of neuronal ligands,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9006122"",""BDNF gene transcription"")",Yes,[23]
Gene expression (Transcription),Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007514"",""E2F1 binds APAF1 gene promoter"")",Yes,9,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8955885"",""SOCS3 gene expression is inhibited by RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),Regulation of RUNX2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007707"",""DLX5,(DLX6) binds RUNX2 gene promoter"")",Yes,10,Post-transcriptional silencing by small RNAs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-426522"",""Nonendonucleolytic RISC binds exactly matching target RNAs"")",Yes,"[14, 46]"
