PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Path_Start,Longest_Path_End,Longest_Path_Links
Metabolism of proteins,Zinc efflux and compartmentalization by the SLC30 family,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-437129"",""ZnT7 transports zinc into the golgi apparatus"")",Yes,1,3,Reactions specific to the complex N-glycan synthesis pathway,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6786034"",""CHST8 transfers SO4(2-) from PAPS to glyco-Lutropin"")",Yes,[53],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4085021"",""GNE hydrolyzes/epimerises UDP-GlcNAc to ManNAc and UDP"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446194"",""Addition of a third glucose to the N-glycan precursor by an ALG10 homologue"")",32
Metabolism of proteins,Ub-specific processing proteases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5696564"",""USP25 deubiquitinates DDX58"")",Yes,2,6,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9023633"",""DPP4(1-766) hydrolyzes Glucagon-like Peptide-1 (GLP-1)"")",Yes,[77],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4084999"",""NEU1 hydrolyses Neu5Ac from glycoconjugates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446194"",""Addition of a third glucose to the N-glycan precursor by an ALG10 homologue"")",23
Metabolism of proteins,O-linked glycosylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5615637"",""POMT1:POMT2 transfers Man from Dol-P-Man to DAG1(30-653)"")",Yes,3,1,Mitochondrial tRNA aminoacylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380158"",""cysteine + tRNA(Cys) + ATP => Cys-tRNA(Cys) + AMP + pyrophosphate"")",No,-,-,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381158"",""ATF6:HSPA5 (ATF6-alpha:BiP) dissociates and HSPA5 binds unfolded protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6809015"",""NSF ATPase activity dissociates cis-SNARE at cis-Golgi"")",21
Metabolism of proteins,Zinc efflux and compartmentalization by the SLC30 family,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-437136"",""SLC30A8 transports Zn2+ from cytosol to secretory granule"")",Yes,4,2,Mitochondrial tRNA aminoacylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380199"",""valine + tRNA(Val) + ATP => Val-tRNA(Val) + AMP + pyrophosphate"")",No,-,-,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381217"",""IRE1:BiP dissociates in response to unfolded protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6809015"",""NSF ATPase activity dissociates cis-SNARE at cis-Golgi"")",21
Metabolism of proteins,GDP-fucose biosynthesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6787677"",""FUOM isomerises alpha-Fuc to beta-Fuc"")",Yes,5,1,XBP1(S) activates chaperone genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8953336"",""Expression of EXTL1"")",Yes,"[84, 85]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191414"",""MVD decarboxylates MVA5PP to IPPP"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446194"",""Addition of a third glucose to the N-glycan precursor by an ALG10 homologue"")",19
Metabolism of proteins,NOD1/2 Signaling Pathway,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-688136"",""TNFAIP3 (A20) deubiquitinates RIP2"")",Yes,6,4,XBP1(S) activates chaperone genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791143"",""Expression of YIF1A"")",Yes,"[84, 85]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-449715"",""GFPT1,2 transfer an amino group from L-Gln to F6P to form GlcN6P"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446194"",""Addition of a third glucose to the N-glycan precursor by an ALG10 homologue"")",18
Metabolism of proteins,Synthesis of glycosylphosphatidylinositol (GPI),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-162730"",""phosphatidylinositol + UDP-N-acetyl-D-glucosamine -> N-acetylglucosaminyl-PI + UDP"")",Yes,7,4,XBP1(S) activates chaperone genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791092"",""Expression of DCTN1"")",Yes,"[84, 85]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381158"",""ATF6:HSPA5 (ATF6-alpha:BiP) dissociates and HSPA5 binds unfolded protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694413"",""SEC4C,D bind GOSR2 and STX5"")",18
Metabolism of proteins,Cholesterol biosynthesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-191414"",""MVD decarboxylates MVA5PP to IPPP"")",Yes,8,1,XBP1(S) activates chaperone genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791123"",""Expression of KDELR3"")",Yes,"[84, 85]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381158"",""ATF6:HSPA5 (ATF6-alpha:BiP) dissociates and HSPA5 binds unfolded protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694415"",""SEC24A,B:SEC23A bind SEC22B"")",18
Metabolism of proteins,RAB geranylgeranylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8870457"",""FarC-PTP4A2 binds RABGGTB"")",Yes,9,1,Amyloid fiber formation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8871506"",""SORL1 transports APP(18-770) from endosome lumen to Golgi lumen"")",Yes,[37],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381217"",""IRE1:BiP dissociates in response to unfolded protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694413"",""SEC4C,D bind GOSR2 and STX5"")",18
Metabolism of proteins,Amyloid fiber formation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5693001"",""NAT8,8B acetylate BACE1"")",Yes,10,1,Removal of aminoterminal propeptides from gamma-carboxylated proteins,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-159771"",""Furin cleaves pro-protein C to protein C"")",Yes,[46],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-381217"",""IRE1:BiP dissociates in response to unfolded protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694415"",""SEC24A,B:SEC23A bind SEC22B"")",18
Metabolism of proteins,Neddylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8956234"",""Translation of DCUN1D3 is inhibited by PUM2"")",Yes,11,2,CREB3 factors activate genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8874849"",""CREBRF binds CREB3"")",Yes,[33],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5694427"",""MIA3 binds procollagen VII"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6809015"",""NSF ATPase activity dissociates cis-SNARE at cis-Golgi"")",17
Metabolism of proteins,Ovarian tumor domain proteases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5690856"",""TNFAIP3 (A20) deubiquitinates K63polyUb-RIPK1"")",Yes,12,5,XBP1(S) activates chaperone genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791186"",""Expression of ZBTB17"")",Yes,"[84, 85]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-72622"",""Release of eIF4E from the inactive eIF4E:4E-BP complex "")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5691512"",""APEH hydrolyses NAc-Ser-protein"")",16
Metabolism of proteins,Ub-specific processing proteases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6781897"",""USP11 deubiquitinates NFKBIA"")",Yes,13,6,XBP1(S) activates chaperone genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1791137"",""Expression of Talin-1"")",Yes,"[84, 85]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-379994"",""methionine + tRNA(Met) + ATP => Met-tRNA(Met) + AMP + pyrophosphate"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5691512"",""APEH hydrolyses NAc-Ser-protein"")",15
Metabolism of proteins,CREB3 factors activate genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8874208"",""CREB3L3 translocates from the endoplasmic reticulum membrane to the Golgi membrane"")",Yes,14,1,Surfactant metabolism,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5686286"",""PALM-C100-CKAP4 transports SFTPAs from extracellular region to lamellar body"")",Yes,"[32, 40]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446200"",""DOLPP1 dephosphorylates DOLDP to DOLP"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-446194"",""Addition of a third glucose to the N-glycan precursor by an ALG10 homologue"")",15
