PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Short_Path,High_Degree_Path,Low_High_Degree_Path
Cell Cycle,Mitotic Prometaphase,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375302"",""Kinetochore capture of astral microtubules"")",Yes,1,2,EML4 and NUDC in mitotic spindle formation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9648114"",""EML4 recruits NUDC to mitotic spindle"")",Yes,"[1, 2, 3, 4, 5, 6, 8, 10, 12, 16, 18, 21, 22, 23, 27, 28, 31, 32, 33, 36, 37, 39]",22,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141409"",""Mad1 binds kinetochore"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362270"",""Phosphorylation of LIN52 component of MuvB by DYRK1A"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170084"",""Formation of Cyclin A:Cdc2 complexes"")"
Cell Cycle,Cyclin D associated events in G1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-182594"",""Association of INK4 family proteins with CDK4/6"")",Yes,2,58,G1/S-Specific Transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8961934"",""CDK1 gene expression is stimulated by E2F1 and repressed by RBL1 and RBL2"")",Yes,"[2, 3, 4, 5, 6, 8, 10, 16, 18, 21, 22, 23, 27, 28, 31, 32, 33, 36, 37, 39]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141431"",""MAD2 associates with the Mad1 kinetochore complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362261"",""p130 (RBL2) associates with MuvB to form DREAM complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170116"",""Myt-1 mediated phosphorylation of Cyclin A:Cdc2"")"
Cell Cycle,Meiotic recombination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-912363"",""PRDM9 binds recombination hotspot motifs in DNA"")",Yes,3,56,Regulation of PLK1 Activity at G2/M Transition,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3002811"",""Myosin phosphatase dephosphorylates PLK1"")",Yes,"[2, 3, 4, 5, 6, 8, 10, 16, 18, 21, 22, 23, 27, 28, 31, 32, 33, 36, 37, 39]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141422"",""MAD2 converted  to an inhibitory state via interaction with Mad1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8964471"",""DREAM complex binds the CDC25A gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170088"",""Translocation of Cyclin A:phospho-Cdc2 (Thr 14) to the nucleus"")"
Cell Cycle,Cyclin E associated events during G1/S transition ,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8932400"",""MYC:MAX binds the CDC25A gene"")",Yes,4,56,Activation of ATR in response to replication stress,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69604"",""Phosphorylation of Cdc25A at Ser-123 by Chk1"")",Yes,"[2, 3, 4, 5, 6, 8, 10, 16, 18, 21, 22, 23, 27, 28, 31, 32, 33, 36, 37, 39]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141439"",""Release of activated MAD2 from kinetochores"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-188345"",""The CDC25A gene transcription is stimulated by MYC and E2F1 and inhibited by the DREAM complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170087"",""CAK-mediated phosphorylation of Cyclin A:Cdc2 complexes"")"
Cell Cycle,Cyclin D associated events in G1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9659820"",""RB1 translocates to the nucleus"")",Yes,5,56,Mitotic Telophase/Cytokinesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-156673"",""Regulation of KIF23 (MKLP1) by phosphorylation"")",Yes,"[2, 3, 4, 5, 6, 8, 10, 16, 18, 21, 22, 23, 27, 28, 31, 32, 33, 36, 37, 39]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141437"",""Formation of the MCC complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69199"",""Dephosphorylation of Cyclin E:Cdk2 complexes by Cdc25A"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170156"",""Wee1-mediated phosphorylation of Cyclin A:phospho-Cdc2 complexes"")"
Cell Cycle,Cyclin A/B1/B2 associated events during G2/M transition,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170084"",""Formation of Cyclin A:Cdc2 complexes"")",Yes,7,1,G1/S-Specific Transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8961874"",""DHFR gene expression is stimulated by E2F1"")",Yes,"[2, 3, 4, 5, 6, 8, 10, 16, 18, 21, 22, 23, 27, 28, 31, 32, 33, 36, 37, 39]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-141423"",""Binding of the MCC complex to the APC/C complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69562"",""Inactivation of Cyclin E:Cdk2 complexes by p27/p21"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-170158"",""Dephosphorylation of nuclear Cyclin A:phospho-Cdc2 complexes"")"
Cell Cycle,Telomere C-strand synthesis initiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9668831"",""CST complex formation"")",Yes,6,56,Unwinding of DNA,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-169461"",""MCM8 mediated fork unwinding"")",Yes,[34],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174238"",""Activation of APC/C:Cdc20 by dissociation of Cdc20:phospho-APC/C from Cdc20:phospho-APC/C:Mad2:Bub3:BubR1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187520"",""Cyclin E/A:Cdk2-mediated  phosphorylation of p27/p21"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69756"",""Phosphorylation of proteins involved in G2/M transition by active Cyclin A2:Cdc2 complexes"")"
Cell Cycle,G0 and Early G1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362270"",""Phosphorylation of LIN52 component of MuvB by DYRK1A"")",Yes,8,59,MASTL Facilitates Mitotic Progression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2430552"",""p-S62-ARPP19/p-S67-ENSA binds PP2A-PPP2R2D"")",Yes,"[2, 3, 4, 5, 6, 8, 10, 16, 18, 21, 22, 23, 27, 28, 31, 32, 33, 36, 37, 39]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174224"",""Dissociation of Cdc20 from APC/C complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187552"",""Binding of phospho-p27/p21:Cdk2:Cyclin E/A to the SCF(Skp2):Cks1 complex"")",
Cell Cycle,Stabilization of p53,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804741"",""MDM2 forms homo- or heterodimers"")",Yes,9,2,Polo-like kinase mediated events,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088298"",""FOXM1 stimulates CCNB1 transcription"")",Yes,"[2, 3, 4, 5, 6, 8, 10, 16, 18, 21, 22, 23, 27, 28, 31, 32, 33, 36, 37, 39]",20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174070"",""Association of Cdh1 with the APC/C"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187575"",""Ubiquitination of phospho-p27/p21"")",
Cell Cycle,Cyclin A:Cdk2-associated events at S phase entry,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187828"",""Translocation of p21 to the nucleus"")",Yes,10,56,Initiation of Nuclear Envelope (NE) Reformation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2995389"",""ANKLE2 binds VRK1,(VRK2)"")",Yes,[30],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-174088"",""Association of cell cycle proteins with the APC/C:Cdh1 complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187574"",""Degradation of ubiquitinated p27/p21 by the 26S proteasome"")",
